n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
3500,pevmean_ga,-1,0.028373646027970507,100,2235.717038262904,1,Myken,4,131593733,body_mass,300,26668,111.64623096492141
4000,pevmean_ga,-1,0.02650322171096499,100,2235.717038262904,1,Myken,4,131593733,body_mass,300,26521,121.03625941183418
4500,pevmean_ga,-1,0.025087894313533258,100,2235.717038262904,1,Myken,4,131593733,body_mass,300,26536,126.43208149867132
500,pevmean_ga,-1,0.08550368335217579,100,2235.717038262904,2,Træna,0,405385771,body_mass,300,26591,53.622805698309094
1000,pevmean_ga,-1,0.05517785749647383,100,2235.717038262904,2,Træna,0,405385771,body_mass,300,26730,63.244846371002495
1500,pevmean_ga,-1,0.04368464275334868,100,2235.717038262904,2,Træna,0,405385771,body_mass,300,26516,73.64748536609113
2000,pevmean_ga,-1,0.036873175798527606,100,2235.717038262904,2,Træna,0,405385771,body_mass,300,26563,82.88093343703076
2500,pevmean_ga,-1,0.033426492532981494,100,2235.717038262904,2,Træna,0,405385771,body_mass,300,26478,92.48957444587722
3000,pevmean_ga,-1,0.02955597240141871,100,2235.717038262904,2,Træna,0,405385771,body_mass,300,26705,102.71198395779356
3500,pevmean_ga,-1,0.027506503922580788,100,2235.717038262904,2,Træna,0,405385771,body_mass,300,26566,111.8892264040187
4000,pevmean_ga,-1,0.025819059490269705,100,2235.717038262904,2,Træna,0,405385771,body_mass,300,26600,122.33510903874412
4500,pevmean_ga,-1,0.024302079841665988,100,2235.717038262904,2,Træna,0,405385771,body_mass,300,26432,123.92928566597402
500,pevmean_ga,-1,0.08776831227616307,100,2235.717038262904,2,Træna,1,1256116569,body_mass,300,26408,53.45388205302879
1000,pevmean_ga,-1,0.05570308532510288,100,2235.717038262904,2,Træna,1,1256116569,body_mass,300,26530,63.30516207404435
1500,pevmean_ga,-1,0.04336374266184263,100,2235.717038262904,2,Træna,1,1256116569,body_mass,300,26557,73.08649031212553
2000,pevmean_ga,-1,0.037177019389941994,100,2235.717038262904,2,Træna,1,1256116569,body_mass,300,26734,83.78151964722201
2500,pevmean_ga,-1,0.03289296791545236,100,2235.717038262904,2,Træna,1,1256116569,body_mass,300,26608,91.91671788319945
3000,pevmean_ga,-1,0.029745544129770658,100,2235.717038262904,2,Træna,1,1256116569,body_mass,300,26717,102.82887317799032
3500,pevmean_ga,-1,0.027429350391665018,100,2235.717038262904,2,Træna,1,1256116569,body_mass,300,26649,112.87769196368754
4000,pevmean_ga,-1,0.02567089258732656,100,2235.717038262904,2,Træna,1,1256116569,body_mass,300,26700,121.96653104992583
4500,pevmean_ga,-1,0.024239371709118548,100,2235.717038262904,2,Træna,1,1256116569,body_mass,300,26490,124.44769530696794
500,pevmean_ga,-1,0.08625105949563099,100,2235.717038262904,2,Træna,2,803481440,body_mass,300,26541,53.83983974624425
1000,pevmean_ga,-1,0.05580882259861436,100,2235.717038262904,2,Træna,2,803481440,body_mass,300,26617,63.112095618154854
1500,pevmean_ga,-1,0.04360951677258535,100,2235.717038262904,2,Træna,2,803481440,body_mass,300,26590,73.34969313116744
2000,pevmean_ga,-1,0.036648482430423845,100,2235.717038262904,2,Træna,2,803481440,body_mass,300,26464,83.76764371711761
2500,pevmean_ga,-1,0.03243677871012892,100,2235.717038262904,2,Træna,2,803481440,body_mass,300,26726,92.77969342703
3000,pevmean_ga,-1,0.029696687235869643,100,2235.717038262904,2,Træna,2,803481440,body_mass,300,26599,102.54563666321337
3500,pevmean_ga,-1,0.0274471553447272,100,2235.717038262904,2,Træna,2,803481440,body_mass,300,26575,112.4977155579254
4000,pevmean_ga,-1,0.025661473922076464,100,2235.717038262904,2,Træna,2,803481440,body_mass,300,26520,122.15762158390135
4500,pevmean_ga,-1,0.024233464426569696,100,2235.717038262904,2,Træna,2,803481440,body_mass,300,26610,128.0773133179173
500,pevmean_ga,-1,0.0849705719066084,100,2235.717038262904,2,Træna,3,1705764116,body_mass,300,26533,53.734669712372124
1000,pevmean_ga,-1,0.05713183027034421,100,2235.717038262904,2,Træna,3,1705764116,body_mass,300,26755,63.59227370470762
1500,pevmean_ga,-1,0.04473354858584094,100,2235.717038262904,2,Træna,3,1705764116,body_mass,300,26585,73.54582411097363
2000,pevmean_ga,-1,0.03724386003037734,100,2235.717038262904,2,Træna,3,1705764116,body_mass,300,26524,83.47286119312048
2500,pevmean_ga,-1,0.032793405983427885,100,2235.717038262904,2,Træna,3,1705764116,body_mass,300,26574,91.84257432911545
3000,pevmean_ga,-1,0.02969541402284879,100,2235.717038262904,2,Træna,3,1705764116,body_mass,300,26677,102.91726748878136
3500,pevmean_ga,-1,0.027666396224844816,100,2235.717038262904,2,Træna,3,1705764116,body_mass,300,26610,112.76138529507443
4000,pevmean_ga,-1,0.02558411774701001,100,2235.717038262904,2,Træna,3,1705764116,body_mass,300,26478,121.05731232324615
4500,pevmean_ga,-1,0.024303485436750327,100,2235.717038262904,2,Træna,3,1705764116,body_mass,300,26496,129.78338428027928
500,pevmean_ga,-1,0.08628257721418794,100,2235.717038262904,2,Træna,4,2026676072,body_mass,300,26544,54.03605199698359
1000,pevmean_ga,-1,0.056589644766949464,100,2235.717038262904,2,Træna,4,2026676072,body_mass,300,26564,63.383444936946034
1500,pevmean_ga,-1,0.04415816739826321,100,2235.717038262904,2,Træna,4,2026676072,body_mass,300,26545,73.0129500888288
2000,pevmean_ga,-1,0.037452185418453694,100,2235.717038262904,2,Træna,4,2026676072,body_mass,300,26652,83.77659560134634
2500,pevmean_ga,-1,0.03265919569838436,100,2235.717038262904,2,Træna,4,2026676072,body_mass,300,26616,92.64306081226096
3000,pevmean_ga,-1,0.029734977522062424,100,2235.717038262904,2,Træna,4,2026676072,body_mass,300,26596,102.41824080282822
3500,pevmean_ga,-1,0.027419907429130586,100,2235.717038262904,2,Træna,4,2026676072,body_mass,300,26738,112.53771275514737
4000,pevmean_ga,-1,0.0256775923358514,100,2235.717038262904,2,Træna,4,2026676072,body_mass,300,26619,122.67221522470936
4500,pevmean_ga,-1,0.02432369955210446,100,2235.717038262904,2,Træna,4,2026676072,body_mass,300,26661,129.90659705456346
500,pevmean_ga,-1,0.07790212546469943,100,2235.717038262904,3,Selvær,0,261820732,body_mass,300,26490,52.92076229909435
1000,pevmean_ga,-1,0.04830302512281155,100,2235.717038262904,3,Selvær,0,261820732,body_mass,300,26383,62.393949061166495
1500,pevmean_ga,-1,0.03763552171313987,100,2235.717038262904,3,Selvær,0,261820732,body_mass,300,26550,73.50951699307188
2000,pevmean_ga,-1,0.0315959447247894,100,2235.717038262904,3,Selvær,0,261820732,body_mass,300,26711,83.3956671319902
2500,pevmean_ga,-1,0.027942313470175104,100,2235.717038262904,3,Selvær,0,261820732,body_mass,300,26559,90.64948755502701
3000,pevmean_ga,-1,0.02523581038637132,100,2235.717038262904,3,Selvær,0,261820732,body_mass,300,26585,101.7596929478459
3500,pevmean_ga,-1,0.023463007664286384,100,2235.717038262904,3,Selvær,0,261820732,body_mass,300,26505,111.3040043017827
4000,pevmean_ga,-1,0.021742763846479125,100,2235.717038262904,3,Selvær,0,261820732,body_mass,300,26528,121.09631836600602
4500,pevmean_ga,-1,0.020614688131205882,100,2235.717038262904,3,Selvær,0,261820732,body_mass,300,26608,126.85492031788453
500,pevmean_ga,-1,0.07922585827862087,100,2235.717038262904,3,Selvær,1,1117512274,body_mass,300,26547,52.64185578096658
1000,pevmean_ga,-1,0.049972638975260546,100,2235.717038262904,3,Selvær,1,1117512274,body_mass,300,26540,62.69340571016073
1500,pevmean_ga,-1,0.037583539320796895,100,2235.717038262904,3,Selvær,1,1117512274,body_mass,300,26525,72.05559287406504
2000,pevmean_ga,-1,0.03215826520188731,100,2235.717038262904,3,Selvær,1,1117512274,body_mass,300,26694,82.8064304892905
2500,pevmean_ga,-1,0.02818955554217852,100,2235.717038262904,3,Selvær,1,1117512274,body_mass,300,26630,91.94018523115665
3000,pevmean_ga,-1,0.025133825483170974,100,2235.717038262904,3,Selvær,1,1117512274,body_mass,300,26576,102.00734083401039
3500,pevmean_ga,-1,0.023378021217129855,100,2235.717038262904,3,Selvær,1,1117512274,body_mass,300,26643,111.17724154982716
4000,pevmean_ga,-1,0.021788218615349297,100,2235.717038262904,3,Selvær,1,1117512274,body_mass,300,26707,121.38931751996279
4500,pevmean_ga,-1,0.020571111594700254,100,2235.717038262904,3,Selvær,1,1117512274,body_mass,300,26525,128.5343973892741
500,pevmean_ga,-1,0.07675544626395603,100,2235.717038262904,3,Selvær,2,1562338001,body_mass,300,26363,52.61122280964628
1000,pevmean_ga,-1,0.050390806691448756,100,2235.717038262904,3,Selvær,2,1562338001,body_mass,300,26621,62.667145517189056
1500,pevmean_ga,-1,0.03818038497643473,100,2235.717038262904,3,Selvær,2,1562338001,body_mass,300,26671,72.94381256820634
2000,pevmean_ga,-1,0.0318116383789403,100,2235.717038262904,3,Selvær,2,1562338001,body_mass,300,26589,83.3530686981976
2500,pevmean_ga,-1,0.028362135141341303,100,2235.717038262904,3,Selvær,2,1562338001,body_mass,300,26523,91.64538303995505
