trait,target_island,method,n_individuals,pevmean_mean,pevmean_std,ga_elapsed_sum,n_rows
body_mass,2,pevmean_ga,4000,0.025682627216506798,8.504174609438707e-05,610.1887892205268,5
body_mass,2,pevmean_ga,4500,0.02428042019324174,4.112198561631907e-05,636.144275625702,5
body_mass,3,pevmean_ga,500,0.07767023128368876,0.0011367271882774495,264.22135488083586,5
body_mass,3,pevmean_ga,1000,0.04908280507156188,0.001030703415311677,313.54371769493446,5
body_mass,3,pevmean_ga,1500,0.03794668358574778,0.0003083766640753751,364.1659035924822,5
body_mass,3,pevmean_ga,2000,0.031798108636691705,0.00023841576223130446,415.89188514929265,5
body_mass,3,pevmean_ga,2500,0.028004121348126083,0.0003037424495678171,457.2068991395644,5
body_mass,3,pevmean_ga,3000,0.0252102109044156,6.550543762547087e-05,509.5931628555991,5
body_mass,3,pevmean_ga,3500,0.023330806255673082,0.000114008855880548,558.6739379549399,5
body_mass,3,pevmean_ga,4000,0.02179377297911354,4.585227236395932e-05,607.1997581748292,5
body_mass,3,pevmean_ga,4500,0.02060675141467638,2.3735471011717102e-05,637.3143473239616,5
body_mass,4,pevmean_ga,500,0.4366052877226695,0.004175137902286384,285.3021680964157,5
body_mass,4,pevmean_ga,1000,0.30095840395317486,0.0036212337470182985,333.02609203383327,5
body_mass,4,pevmean_ga,1500,0.23816054533885297,0.0015497556133330307,383.08990083122626,5
body_mass,4,pevmean_ga,2000,0.20212053924327508,0.001011149615650612,433.73547644075006,5
body_mass,4,pevmean_ga,2500,0.1768570526100131,0.0006431589028887363,474.5899652815424,5
body_mass,4,pevmean_ga,3000,0.15846408823787592,0.000679600942589075,522.3827684684657,5
body_mass,4,pevmean_ga,3500,0.14440764646304832,0.00022697481742730516,574.364176475443,5
body_mass,4,pevmean_ga,4000,0.13352258627174343,0.00011290738681585022,624.0925936843269,5
body_mass,4,pevmean_ga,4500,0.12509699722178808,6.960495384716242e-05,648.3184767747298,5
body_mass,5,pevmean_ga,500,0.4037795333136877,0.008334162935801488,306.98127789003775,5
body_mass,5,pevmean_ga,1000,0.26653775554920467,0.0007458928548514877,354.460497001186,5
body_mass,5,pevmean_ga,1500,0.21083788657548555,0.0012397217607107575,402.9282272635028,5
body_mass,5,pevmean_ga,2000,0.1778241219511359,0.0013043950340633885,450.55874989926815,5
body_mass,5,pevmean_ga,2500,0.15455152369398537,0.0005723474489877665,495.7772964304313,5
body_mass,5,pevmean_ga,3000,0.13888536005245547,0.0002604816700161651,544.3296772544272,5
body_mass,5,pevmean_ga,3500,0.12678850269121358,0.00011268990297589324,595.2667913720943,5
body_mass,5,pevmean_ga,4000,0.11750618055861231,0.00013044488575895556,646.5696432306431,5
body_mass,5,pevmean_ga,4500,0.11120999418859161,1.565080403974186e-05,659.2207275885157,5
body_mass,6,pevmean_ga,500,0.1551904346761262,0.003410329550609134,276.3439788715914,5
body_mass,6,pevmean_ga,1000,0.10677887294546724,0.0017878472276442342,325.33609165390953,5
body_mass,6,pevmean_ga,1500,0.08529134396407027,0.0007330592659982788,376.23305650334805,5
body_mass,6,pevmean_ga,2000,0.07427319042375305,0.00019358927642203381,428.2819463163614,5
body_mass,6,pevmean_ga,2500,0.0669532554981047,0.00030145175014890973,471.938861571718,5
body_mass,6,pevmean_ga,3000,0.06112397070684308,0.0002297842424790441,521.0952473436482,5
body_mass,6,pevmean_ga,3500,0.0568370043162705,0.00024286312469484284,570.7839407897554,5
body_mass,6,pevmean_ga,4000,0.05355740426944796,4.103693189542118e-05,619.4163610157557,5
body_mass,6,pevmean_ga,4500,0.05097257336434276,3.9831482420001284e-05,649.3758996762335,5
body_mass,7,pevmean_ga,500,0.15971065794911737,0.002489482163678004,273.86255717324093,5
body_mass,7,pevmean_ga,1000,0.11387424133127917,0.0005987386938605725,321.99662468442693,5
body_mass,7,pevmean_ga,1500,0.09369235535953681,0.0009521865660190104,375.26189731340855,5
body_mass,7,pevmean_ga,2000,0.08161853152647927,0.00034340691719748364,424.2444182485342,5
body_mass,7,pevmean_ga,2500,0.07303643657021328,0.00018116033220640763,466.8612890955992,5
body_mass,7,pevmean_ga,3000,0.06714911976275084,0.0003085523544732832,518.029465268366,5
body_mass,7,pevmean_ga,3500,0.06260904863502208,0.00016019223039106294,568.1860165521502,5
body_mass,7,pevmean_ga,4000,0.058914065158230354,9.29909292954782e-05,616.7648513419554,5
body_mass,7,pevmean_ga,4500,0.055906018043896964,8.086880448909128e-05,635.8437090762891,5
body_mass,8,pevmean_ga,500,0.057870497747738225,0.0003949907764968434,270.5712028304115,5
body_mass,8,pevmean_ga,1000,0.0336293539104184,0.0001323258749094688,322.3651497946121,5
body_mass,8,pevmean_ga,1500,0.025125232973185717,0.0002718452935765616,367.801725207828,5
body_mass,8,pevmean_ga,2000,0.020539626012716382,0.00016930702186361397,421.32002560887486,5
body_mass,8,pevmean_ga,2500,0.0176478086043693,8.175068761483577e-05,464.85171817895025,5
body_mass,8,pevmean_ga,3000,0.015765622101712,7.71876100322324e-05,516.2530871629715,5
body_mass,8,pevmean_ga,3500,0.014242419146811462,9.996639342164979e-05,565.6689858185127,5
body_mass,8,pevmean_ga,4000,0.01309450497081486,4.3857339967926935e-05,612.111900750082,5
body_mass,8,pevmean_ga,4500,0.012269077708609941,2.3449181678013642e-05,627.6700702742673,5
body_mass,9,pevmean_ga,500,0.06561880514749134,0.0007572529227098964,270.39115570345894,5
body_mass,9,pevmean_ga,1000,0.041119050467233076,0.0006509749048416659,320.7242881124839,5
body_mass,9,pevmean_ga,1500,0.03266486498915187,0.00017446514933347766,369.2292569177225,5
body_mass,9,pevmean_ga,2000,0.027653136101409438,0.00021685551999272272,421.369303741958,5
body_mass,9,pevmean_ga,2500,0.02448289345786528,0.00010974355798420329,464.14724238123745,5
body_mass,9,pevmean_ga,3000,0.02233986687323334,0.00010104324005866194,516.142031236086,5
body_mass,9,pevmean_ga,3500,0.02057405652362946,9.114826690563163e-05,568.1206816243939,5
body_mass,9,pevmean_ga,4000,0.019345505752397178,3.7254052522423394e-05,614.189541480504,5
body_mass,9,pevmean_ga,4500,0.01831383422776866,3.146938878652968e-05,645.85059078224,5
body_mass,10,pevmean_ga,500,1.1121744702962695,0.009261235874241004,272.6524298801087,5
body_mass,10,pevmean_ga,1000,0.7319041999935564,0.00512151868675322,322.21429115301,5
body_mass,10,pevmean_ga,1500,0.5595116750938836,0.005674446606451812,369.9740048991516,5
