trait,fold,method,selection_method,lambda_label,lambda_div,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_fit,alpha,pearson_r,mse_adj,avg_grm_target_obj,avg_grm_train_train_obj,objective_obj,selection_time_seconds,fit_time_seconds
thr_tarsus,3,random_pc_ridge,random,,,7,300021,1000,5085,565,3250,3250,107097.74831514445,0.2667739408343662,0.5039629936218262,-0.00016118565614717283,,,0.0,0.03405434591695666
thr_tarsus,3,random_pc_ridge,random,,,7,300021,1500,5085,565,3250,3250,107097.74831514445,0.34823694439716296,0.49060675501823425,-0.00018783903544398672,,,0.0,0.07089532702229917
thr_tarsus,3,random_pc_ridge,random,,,7,300021,2000,5085,565,3250,3250,107097.74831514445,0.3816174489452288,0.48036351799964905,-0.00018662957936608197,,,0.0,0.10694695496931672
thr_tarsus,3,random_pc_ridge,random,,,7,300021,2500,5085,565,3250,3250,107097.74831514445,0.3716806886269493,0.4767872393131256,-0.00017714237076528133,,,0.0,0.17679474595934153
thr_tarsus,3,random_pc_ridge,random,,,7,300021,3000,5085,565,3250,3250,107097.74831514445,0.37734405159859846,0.47292405366897583,-0.0001715940853187668,,,0.0,0.225852811941877
thr_tarsus,3,random_pc_ridge,random,,,7,300021,3500,5085,565,3250,3250,107097.74831514445,0.3771071506136429,0.4698927700519562,-0.00018763109324716873,,,0.0,0.2832293650135398
thr_tarsus,3,random_pc_ridge,random,,,7,300021,4000,5085,565,3250,3250,107097.74831514445,0.3877155351671591,0.46534639596939087,-0.0001888524098471222,,,0.0,0.3008135608397424
thr_tarsus,3,random_pc_ridge,random,,,7,300021,4500,5085,565,3250,3250,107097.74831514445,0.39582257005932336,0.4646031856536865,-0.0001851473862212199,,,0.0,0.3061283950228244
thr_tarsus,3,random_pc_ridge,random,,,8,300022,500,5085,565,3250,3250,107097.74831514445,0.18197515224298375,0.5234814882278442,-0.00024069213821976732,,,0.0,0.017894295044243336
thr_tarsus,3,random_pc_ridge,random,,,8,300022,1000,5085,565,3250,3250,107097.74831514445,0.25130957894735145,0.5101630091667175,-0.00020481000473521966,,,0.0,0.03409427008591592
thr_tarsus,3,random_pc_ridge,random,,,8,300022,1500,5085,565,3250,3250,107097.74831514445,0.2917789754320186,0.5014693737030029,-0.00018740486090726094,,,0.0,0.08902361779473722
thr_tarsus,3,random_pc_ridge,random,,,8,300022,2000,5085,565,3250,3250,107097.74831514445,0.30668095458171946,0.49597427248954773,-0.0001775690164196433,,,0.0,0.13470087689347565
thr_tarsus,3,random_pc_ridge,random,,,8,300022,2500,5085,565,3250,3250,107097.74831514445,0.3365262087489919,0.48774105310440063,-0.00018137496133273628,,,0.0,0.1644923808053136
thr_tarsus,3,random_pc_ridge,random,,,8,300022,3000,5085,565,3250,3250,107097.74831514445,0.3549623455751507,0.48185494542121887,-0.00018501823140168388,,,0.0,0.23037840495817363
thr_tarsus,3,random_pc_ridge,random,,,8,300022,3500,5085,565,3250,3250,107097.74831514445,0.3764510572060038,0.47353407740592957,-0.00018713438732223406,,,0.0,0.28504510084167123
thr_tarsus,3,random_pc_ridge,random,,,8,300022,4000,5085,565,3250,3250,107097.74831514445,0.3871451205048189,0.46948540210723877,-0.0001850074004289733,,,0.0,0.29569285083562136
thr_tarsus,3,random_pc_ridge,random,,,8,300022,4500,5085,565,3250,3250,107097.74831514445,0.3857964170146946,0.46772024035453796,-0.00018609173330379585,,,0.0,0.3063785978592932
thr_tarsus,3,random_pc_ridge,random,,,9,300023,500,5085,565,3250,3250,107097.74831514445,0.2474586371668755,0.5124149918556213,-0.00019847972655677692,,,0.0,0.017869305098429322
thr_tarsus,3,random_pc_ridge,random,,,9,300023,1000,5085,565,3250,3250,107097.74831514445,0.25832745341201285,0.5088961124420166,-0.00016043139595615358,,,0.0,0.05122924200259149
thr_tarsus,3,random_pc_ridge,random,,,9,300023,1500,5085,565,3250,3250,107097.74831514445,0.3017875635522949,0.49508047103881836,-0.0001649053738111936,,,0.0,0.07155124214477837
thr_tarsus,3,random_pc_ridge,random,,,9,300023,2000,5085,565,3250,3250,107097.74831514445,0.3176930750691991,0.49063384532928467,-0.00016366690424658313,,,0.0,0.11899481294676661
