target_island,target_island_name,method,n_individuals,corr_eval_mean
7,Onøy og Lurøy,random_individual,2500,0.01002163232002262
7,Onøy og Lurøy,random_individual,3000,0.0003959132990320885
7,Onøy og Lurøy,random_individual,3500,-0.00220027402887674
7,Onøy og Lurøy,random_individual,4000,-0.01680010324729376
7,Onøy og Lurøy,random_individual,4500,-0.01767819943271135
8,Lovund,avggrm_topk,50,0.1609736687221907
8,Lovund,avggrm_topk,100,0.2143865842839614
8,Lovund,avggrm_topk,250,0.2820462405926324
8,Lovund,avggrm_topk,500,0.242792549211817
8,Lovund,avggrm_topk,1000,0.3099941242547527
8,Lovund,avggrm_topk,1500,0.3283640153000162
8,Lovund,avggrm_topk,2000,0.3513815352047298
8,Lovund,avggrm_topk,2500,0.3427424932719705
8,Lovund,avggrm_topk,3000,0.3341613178414703
8,Lovund,avggrm_topk,3500,0.330578147431134
8,Lovund,avggrm_topk,4000,0.3544680989869852
8,Lovund,avggrm_topk,4500,0.3664181063858118
8,Lovund,random_individual,50,0.11497873609019835
8,Lovund,random_individual,100,0.1081014117616174
8,Lovund,random_individual,250,0.11192903339387217
8,Lovund,random_individual,500,0.17349689260458404
8,Lovund,random_individual,1000,0.24182648374721238
8,Lovund,random_individual,1500,0.26885448359487907
8,Lovund,random_individual,2000,0.30832865946373006
8,Lovund,random_individual,2500,0.3210959178155294
8,Lovund,random_individual,3000,0.3362446253503569
8,Lovund,random_individual,3500,0.35963610390005496
8,Lovund,random_individual,4000,0.3688100073587566
8,Lovund,random_individual,4500,0.37209354075684026
9,Sleneset,avggrm_topk,50,0.0444315781043798
9,Sleneset,avggrm_topk,100,0.0758826017150599
9,Sleneset,avggrm_topk,250,0.1763139395773186
9,Sleneset,avggrm_topk,500,0.1502729789384565
9,Sleneset,avggrm_topk,1000,0.154272349035277
9,Sleneset,avggrm_topk,1500,0.1493660902988451
9,Sleneset,avggrm_topk,2000,0.1678064590839015
9,Sleneset,avggrm_topk,2500,0.1943235795808295
9,Sleneset,avggrm_topk,3000,0.2026953456244436
9,Sleneset,avggrm_topk,3500,0.1974478200838511
9,Sleneset,avggrm_topk,4000,0.1853092302325869
9,Sleneset,avggrm_topk,4500,0.1719614267707738
9,Sleneset,random_individual,50,0.05296955257131636
9,Sleneset,random_individual,100,0.05314507261036676
9,Sleneset,random_individual,250,0.04625090173423502
9,Sleneset,random_individual,500,0.08287743011111492
9,Sleneset,random_individual,1000,0.10072591166421434
9,Sleneset,random_individual,1500,0.11089578997075689
9,Sleneset,random_individual,2000,0.12970213711839204
9,Sleneset,random_individual,2500,0.14482245346869121
9,Sleneset,random_individual,3000,0.14796867638761654
9,Sleneset,random_individual,3500,0.1524668333131664
9,Sleneset,random_individual,4000,0.1610401232782842
9,Sleneset,random_individual,4500,0.16392113510356598
10,Aldra,avggrm_topk,50,0.0996320983701175
10,Aldra,avggrm_topk,100,0.1783180268170328
10,Aldra,avggrm_topk,250,0.123655197601737
10,Aldra,avggrm_topk,500,0.1918364934580519
10,Aldra,avggrm_topk,1000,0.2233828615944866
10,Aldra,avggrm_topk,1500,0.285569168055204
10,Aldra,avggrm_topk,2000,0.2819226315046376
10,Aldra,avggrm_topk,2500,0.3213243836818918
10,Aldra,avggrm_topk,3000,0.3255944950225845
10,Aldra,avggrm_topk,3500,0.3286462515194472
10,Aldra,avggrm_topk,4000,0.338480478222283
10,Aldra,avggrm_topk,4500,0.3455201777818827
10,Aldra,random_individual,50,-0.006941399130677322
10,Aldra,random_individual,100,0.0865024729709857
10,Aldra,random_individual,250,0.10542138103199301
10,Aldra,random_individual,500,0.14633916236715167
10,Aldra,random_individual,1000,0.16350324724933082
10,Aldra,random_individual,1500,0.1935874847331606
10,Aldra,random_individual,2000,0.20920452633294975
10,Aldra,random_individual,2500,0.22750836463694551
10,Aldra,random_individual,3000,0.2081768242428887
10,Aldra,random_individual,3500,0.25870041029942237
10,Aldra,random_individual,4000,0.26817051284800275
10,Aldra,random_individual,4500,0.2958694198549682
11,Southern 1,avggrm_topk,50,0.1602017772641859
11,Southern 1,avggrm_topk,100,0.1304517318691007
11,Southern 1,avggrm_topk,250,0.1329339806711256
11,Southern 1,avggrm_topk,500,0.1479911236568255
11,Southern 1,avggrm_topk,1000,0.1286006253186753
11,Southern 1,avggrm_topk,1500,0.1129717967337131
11,Southern 1,avggrm_topk,2000,0.1245835348478188
11,Southern 1,avggrm_topk,2500,0.1113022462898218
11,Southern 1,avggrm_topk,3000,0.1086938434649667
11,Southern 1,avggrm_topk,3500,0.1024910424549122
11,Southern 1,avggrm_topk,4000,0.1043560946312238
11,Southern 1,avggrm_topk,4500,0.1104349160666651
11,Southern 1,random_individual,50,0.009243821992449188
11,Southern 1,random_individual,100,0.03174055727206572
11,Southern 1,random_individual,250,0.04491075829379369
11,Southern 1,random_individual,500,0.05622439615521568
11,Southern 1,random_individual,1000,0.08430113879910399
11,Southern 1,random_individual,1500,0.08654011784926455
11,Southern 1,random_individual,2000,0.09084452568414725
11,Southern 1,random_individual,2500,0.1019509352298869
11,Southern 1,random_individual,3000,0.09365674503783342
11,Southern 1,random_individual,3500,0.10266282511881893
11,Southern 1,random_individual,4000,0.11036724247941307
11,Southern 1,random_individual,4500,0.11769129423514388
12,Southern 2,avggrm_topk,50,0.1749143705803984
12,Southern 2,avggrm_topk,100,0.1744813893565181
12,Southern 2,avggrm_topk,250,0.112226723834755
12,Southern 2,avggrm_topk,500,0.0870707542800449
12,Southern 2,avggrm_topk,1000,0.0929592241148445
12,Southern 2,avggrm_topk,1500,0.0838644222632159
12,Southern 2,avggrm_topk,2000,0.0706249220964536
12,Southern 2,avggrm_topk,2500,0.0319277213463597
12,Southern 2,avggrm_topk,3000,-0.0053429753654813
12,Southern 2,avggrm_topk,3500,-0.0185966531285681
12,Southern 2,avggrm_topk,4000,-0.0171037404332953
12,Southern 2,avggrm_topk,4500,-0.005366884810256
12,Southern 2,random_individual,50,0.00712690085498241
12,Southern 2,random_individual,100,0.006000549878540899
12,Southern 2,random_individual,250,0.029238485547581537
12,Southern 2,random_individual,500,0.01896231762570572
12,Southern 2,random_individual,1000,0.01317039643917894
12,Southern 2,random_individual,1500,0.01258446666364158
12,Southern 2,random_individual,2000,0.010005804189555509
12,Southern 2,random_individual,2500,0.0039324141774490385
12,Southern 2,random_individual,3000,-0.0032922874671139093
