Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24361691
Array task ID: 15
The job was run on these nodes: idun-05-33
[I 2026-04-29 19:19:22,353] Trial 0 finished with value: 0.14577431575986702 and parameters: {'alpha': 233144.78773166405, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.003473407124083527, 'iw_n_components': 10, 'iw_logistic_c': 4.788440522914161e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 0 with value: 0.14577431575986702.
[I 2026-04-29 19:47:26,819] Trial 11 finished with value: 0.1434432278411754 and parameters: {'alpha': 469398.68270554196, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.04486782599453378, 'iw_n_components': 30, 'iw_logistic_c': 0.0008143368974548389, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 19:52:03,226] Trial 12 finished with value: 0.14346820235394797 and parameters: {'alpha': 128445.20476496856, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.009835675871242497, 'iw_n_components': 30, 'iw_logistic_c': 0.00012315900192990645, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 19:54:49,502] Trial 13 finished with value: 0.13849905893492695 and parameters: {'alpha': 378720.81659451796, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.001125229205016159, 'iw_n_components': 1, 'iw_logistic_c': 0.08029098569344124, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 19:59:45,318] Trial 14 finished with value: 0.14848081012403685 and parameters: {'alpha': 932946.0195582481, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0227467639563748, 'iw_n_components': 40, 'iw_logistic_c': 8.824025081925335, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:04:36,129] Trial 15 finished with value: 0.14761825989440877 and parameters: {'alpha': 343377.25411248615, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.005785401634851256, 'iw_n_components': 50, 'iw_logistic_c': 1.0275409827307459e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:09:25,194] Trial 16 finished with value: 0.13753247671625662 and parameters: {'alpha': 130530.60834199573, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.006775733158028111, 'iw_n_components': 30, 'iw_logistic_c': 0.016757413654517588, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:13:22,513] Trial 17 finished with value: 0.1537045372176241 and parameters: {'alpha': 167682.04044335545, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0010635552710269946, 'iw_n_components': 10, 'iw_logistic_c': 5.7654571321776916e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:13:52,083] Trial 18 finished with value: 0.1346659456773288 and parameters: {'alpha': 634587.8189740558, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:18:28,384] Trial 19 finished with value: 0.1337948679643387 and parameters: {'alpha': 90166.06245861982, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.018065383286156433, 'iw_n_components': 40, 'iw_logistic_c': 2.746050909780869e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:23:33,728] Trial 20 finished with value: 0.14207677764657908 and parameters: {'alpha': 303341.2662583334, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.034803722793640635, 'iw_n_components': 50, 'iw_logistic_c': 0.00715827609704771, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:27:49,787] Trial 21 finished with value: 0.1535225082658449 and parameters: {'alpha': 175645.14046893327, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0011346667404230617, 'iw_n_components': 10, 'iw_logistic_c': 3.987446967201551e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:31:53,833] Trial 22 finished with value: 0.1540946783394749 and parameters: {'alpha': 174610.02872079174, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.001671944349221341, 'iw_n_components': 10, 'iw_logistic_c': 6.10916835925166e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:35:59,105] Trial 23 finished with value: 0.14294693634635597 and parameters: {'alpha': 90427.21087939707, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002007852145142113, 'iw_n_components': 10, 'iw_logistic_c': 0.0036567795285280965, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:38:59,419] Trial 24 finished with value: 0.14311787539912074 and parameters: {'alpha': 222607.80126861768, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.004610629721073424, 'iw_n_components': 1, 'iw_logistic_c': 0.0002325382924326102, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:42:09,403] Trial 25 finished with value: 0.13637609695353495 and parameters: {'alpha': 100986.23664127963, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0018930531815287538, 'iw_n_components': 5, 'iw_logistic_c': 1.1631814902713207e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:42:39,380] Trial 26 finished with value: 0.13478889869998664 and parameters: {'alpha': 498715.01723385626, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:47:15,006] Trial 27 finished with value: 0.14307709920119227 and parameters: {'alpha': 192490.89104806128, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.010241044954250031, 'iw_n_components': 30, 'iw_logistic_c': 2.0297590828058176e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:51:06,744] Trial 28 finished with value: 0.15002525150370144 and parameters: {'alpha': 706837.25813281, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0015937984882653242, 'iw_n_components': 10, 'iw_logistic_c': 3.3401008332889873e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:55:09,442] Trial 29 finished with value: 0.1512113704084938 and parameters: {'alpha': 297664.3755337686, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.004368653554728548, 'iw_n_components': 10, 'iw_logistic_c': 0.0016292817099888967, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 20:59:47,498] Trial 30 finished with value: 0.14916801722048573 and parameters: {'alpha': 253242.59886281466, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.008720989605189812, 'iw_n_components': 30, 'iw_logistic_c': 9.907277955795077e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:03:41,369] Trial 31 finished with value: 0.15223459003263523 and parameters: {'alpha': 156287.4342006683, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0010264538643455572, 'iw_n_components': 10, 'iw_logistic_c': 3.826399677905474e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:07:29,175] Trial 32 finished with value: 0.15382459377908148 and parameters: {'alpha': 185924.38440590524, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0015574320411944813, 'iw_n_components': 10, 'iw_logistic_c': 5.246075828360093e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:11:33,878] Trial 33 finished with value: 0.1556925376524963 and parameters: {'alpha': 208555.18413677317, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0015223975662948415, 'iw_n_components': 10, 'iw_logistic_c': 0.0002896862510686547, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:15:29,241] Trial 34 finished with value: 0.14735182651418732 and parameters: {'alpha': 107143.23704353358, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0024372748690257274, 'iw_n_components': 10, 'iw_logistic_c': 0.00034024904881204944, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:19:31,678] Trial 35 finished with value: 0.14663431265323107 and parameters: {'alpha': 201603.4189403281, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0016214115959006443, 'iw_n_components': 10, 'iw_logistic_c': 0.0008887044299097971, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:20:01,964] Trial 36 finished with value: 0.13463144792612755 and parameters: {'alpha': 258624.62436540943, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:23:55,882] Trial 37 finished with value: 0.14987758637297285 and parameters: {'alpha': 398758.57915572554, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.003639072851754348, 'iw_n_components': 10, 'iw_logistic_c': 9.399889454379401e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:26:47,619] Trial 38 finished with value: 0.1376368645719867 and parameters: {'alpha': 572563.3727641971, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.01512287662806506, 'iw_n_components': 1, 'iw_logistic_c': 1.3473975352162635e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:27:21,625] Trial 39 finished with value: 0.13352535436060692 and parameters: {'alpha': 139157.39326341118, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:31:25,300] Trial 40 finished with value: 0.14832958964993986 and parameters: {'alpha': 225183.82082728433, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0013502734116426535, 'iw_n_components': 20, 'iw_logistic_c': 1.4661474814981809e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:34:54,696] Trial 41 finished with value: 0.15425957537098428 and parameters: {'alpha': 193592.8693196689, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0015629134032247346, 'iw_n_components': 10, 'iw_logistic_c': 0.00017713390120127102, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 9 with value: 0.1573350554519798.
[I 2026-04-29 21:38:28,818] Trial 42 finished with value: 0.16125533983074675 and parameters: {'alpha': 839024.4247182003, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002352363068612992, 'iw_n_components': 10, 'iw_logistic_c': 0.00018703702046171254, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 21:41:56,839] Trial 43 finished with value: 0.15539150726454382 and parameters: {'alpha': 846302.0930748639, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0023489277113782304, 'iw_n_components': 10, 'iw_logistic_c': 0.00021217025004031278, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 21:45:29,695] Trial 44 finished with value: 0.15619674454272145 and parameters: {'alpha': 805160.6676794294, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002355264682503018, 'iw_n_components': 10, 'iw_logistic_c': 0.00024287264479303793, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 21:48:24,442] Trial 45 finished with value: 0.14639957472578902 and parameters: {'alpha': 794541.0403091769, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0023639867349785812, 'iw_n_components': 5, 'iw_logistic_c': 0.0032455370450650244, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 21:52:26,266] Trial 46 finished with value: 0.15203842941464293 and parameters: {'alpha': 847821.049183206, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0031753487257108514, 'iw_n_components': 50, 'iw_logistic_c': 0.0003110143442762083, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 21:52:54,448] Trial 47 finished with value: 0.13457971936398722 and parameters: {'alpha': 719528.4207408667, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 21:56:37,714] Trial 48 finished with value: 0.1551898041010341 and parameters: {'alpha': 580191.4951651217, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0023989846122694928, 'iw_n_components': 20, 'iw_logistic_c': 0.0007170159418722802, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:00:39,260] Trial 49 finished with value: 0.1477944595516944 and parameters: {'alpha': 880982.2110794454, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0027456870286334113, 'iw_n_components': 30, 'iw_logistic_c': 0.001318640035366236, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:04:43,553] Trial 50 finished with value: 0.15158320246170562 and parameters: {'alpha': 796248.2712481087, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0036784713825269363, 'iw_n_components': 40, 'iw_logistic_c': 0.012905653274908568, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:08:30,726] Trial 51 finished with value: 0.1556606461980094 and parameters: {'alpha': 569618.4414340229, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002285002587423812, 'iw_n_components': 20, 'iw_logistic_c': 0.000586668386337604, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:12:13,733] Trial 52 finished with value: 0.15736724109633887 and parameters: {'alpha': 958285.753025784, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0020722100333947615, 'iw_n_components': 20, 'iw_logistic_c': 0.000158273484651219, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:16:06,828] Trial 53 finished with value: 0.16011341134528462 and parameters: {'alpha': 988985.6894818826, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0019742123799851977, 'iw_n_components': 20, 'iw_logistic_c': 0.0004265258533566261, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:19:56,387] Trial 54 finished with value: 0.1558542054140572 and parameters: {'alpha': 972997.2313247846, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0013565845387465687, 'iw_n_components': 20, 'iw_logistic_c': 0.003112406818343694, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:23:49,056] Trial 55 finished with value: 0.1506150536279968 and parameters: {'alpha': 954659.294256937, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.001953647280134001, 'iw_n_components': 20, 'iw_logistic_c': 0.05470017127011541, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:27:49,654] Trial 56 finished with value: 0.1512221442292694 and parameters: {'alpha': 651243.802282197, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0013218685934250477, 'iw_n_components': 20, 'iw_logistic_c': 1.074839276272471, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:31:41,941] Trial 57 finished with value: 0.1557095231266363 and parameters: {'alpha': 974487.658554939, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0012952979127953154, 'iw_n_components': 20, 'iw_logistic_c': 0.003176245272182737, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:32:14,705] Trial 58 finished with value: 0.1345252528420578 and parameters: {'alpha': 773635.0523869762, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:36:02,098] Trial 59 finished with value: 0.15574268374893555 and parameters: {'alpha': 511431.78764189634, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.00301164877321317, 'iw_n_components': 20, 'iw_logistic_c': 0.00010379608775520282, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:39:48,568] Trial 60 finished with value: 0.1491973119711026 and parameters: {'alpha': 711384.5488277747, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0019945176011523253, 'iw_n_components': 20, 'iw_logistic_c': 0.0017902207862017332, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:43:27,489] Trial 61 finished with value: 0.15669885050278395 and parameters: {'alpha': 502835.9982253481, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002965383044083652, 'iw_n_components': 20, 'iw_logistic_c': 0.000116468610580385, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:47:01,341] Trial 62 finished with value: 0.1582827043259899 and parameters: {'alpha': 626686.9359425985, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002751802362611129, 'iw_n_components': 20, 'iw_logistic_c': 0.00010947229213306914, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:50:42,861] Trial 63 finished with value: 0.15567133612186035 and parameters: {'alpha': 416120.63446505443, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.004629844325126672, 'iw_n_components': 20, 'iw_logistic_c': 0.00010854298715699985, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 42 with value: 0.16125533983074675.
[I 2026-04-29 22:54:25,116] Trial 64 finished with value: 0.13316594116792366 and parameters: {'alpha': 50207.26422256814, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002760878815877086, 'iw_n_components': 20, 'iw_logistic_c': 0.00040865893482088536, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 42 with value: 0.16125533983074675.
