Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_mlp_iw
ID of job: 24388830
The job was run on these nodes: idun-11-16
Config path: config/nested_cv_importance_weighted_mlp_uniform_config.json
[I 2026-05-05 17:39:26,650] Trial 38 finished with value: 0.2087238306566738 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.20976012042902115, 'batch_norm': False, 'lr': 8.485422205950842e-06, 'weight_decay': 0.0002097659355373657, 'epochs': 172, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:39:58,890] Trial 39 finished with value: 0.21807999072698464 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.0015881857107821196, 'batch_norm': False, 'lr': 1.8775410084482562e-05, 'weight_decay': 7.1975400780480005e-06, 'epochs': 74, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 22 with value: 0.2285486169827562.
[I 2026-05-05 17:41:04,771] Trial 0 finished with value: 0.14869073313849984 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.18584155530312246, 'batch_norm': False, 'lr': 0.0007461243578022468, 'weight_decay': 3.677761493113531e-06, 'epochs': 129, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 0 with value: 0.14869073313849984.
[I 2026-05-05 17:42:26,506] Trial 1 finished with value: 0.17290714173801486 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.5595345557272271, 'batch_norm': False, 'lr': 1.3265824528578217e-05, 'weight_decay': 5.782219985187962e-05, 'epochs': 241, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 1 with value: 0.17290714173801486.
[I 2026-05-05 17:42:57,196] Trial 2 finished with value: 0.17901720015199502 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.10920465462713655, 'batch_norm': False, 'lr': 9.251006337777395e-06, 'weight_decay': 0.0002739600801554822, 'epochs': 70, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 2 with value: 0.17901720015199502.
[I 2026-05-05 17:43:44,724] Trial 3 finished with value: 0.14298597164527488 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.21097588325962954, 'batch_norm': False, 'lr': 0.00013945529197043052, 'weight_decay': 6.125997514421991e-07, 'epochs': 62, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 2 with value: 0.17901720015199502.
[I 2026-05-05 17:45:01,279] Trial 4 finished with value: 0.176201112648802 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.07948656777033702, 'batch_norm': False, 'lr': 4.227110266060512e-06, 'weight_decay': 0.0009515677674579354, 'epochs': 111, 'loss': 'mae', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 2 with value: 0.17901720015199502.
[I 2026-05-05 17:46:45,311] Trial 5 finished with value: 0.17883374014271675 and parameters: {'hidden_dims': '[512, 64]', 'dropout': 0.07220834610702047, 'batch_norm': False, 'lr': 2.8779057444450007e-06, 'weight_decay': 1.7819387991359787e-06, 'epochs': 157, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 2 with value: 0.17901720015199502.
[I 2026-05-05 17:47:52,635] Trial 6 finished with value: 0.17946127837574424 and parameters: {'hidden_dims': '[256, 128]', 'dropout': 0.2505465890537582, 'batch_norm': False, 'lr': 2.5144473235736295e-05, 'weight_decay': 2.6022323891275268e-08, 'epochs': 193, 'loss': 'mse', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 6 with value: 0.17946127837574424.
[I 2026-05-05 17:51:00,894] Trial 7 finished with value: 0.18617717744222642 and parameters: {'hidden_dims': '[512, 128]', 'dropout': 0.26053077688769005, 'batch_norm': False, 'lr': 4.4060479596036606e-05, 'weight_decay': 0.0004731892192938172, 'epochs': 299, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 7 with value: 0.18617717744222642.
[I 2026-05-05 17:52:27,358] Trial 8 finished with value: 0.18418776823754604 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.14217118023780909, 'batch_norm': False, 'lr': 1.5072012341348237e-05, 'weight_decay': 2.5901569052680897e-08, 'epochs': 256, 'loss': 'mse', 'optimizer': 'adamw', 'use_snp_selection': False}. Best is trial 7 with value: 0.18617717744222642.
[I 2026-05-05 17:53:40,857] Trial 9 finished with value: 0.19601754279393552 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.18128694708490736, 'batch_norm': False, 'lr': 2.644789330745559e-05, 'weight_decay': 5.030108342609318e-05, 'epochs': 213, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 9 with value: 0.19601754279393552.
[I 2026-05-05 17:54:52,622] Trial 10 finished with value: 0.18906987755103385 and parameters: {'hidden_dims': '[256, 64]', 'dropout': 0.3938620828116578, 'batch_norm': False, 'lr': 0.00017483153375413737, 'weight_decay': 2.2485273624420345e-05, 'epochs': 207, 'loss': 'mae', 'optimizer': 'adam', 'use_snp_selection': False}. Best is trial 9 with value: 0.19601754279393552.
