Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24351987
Array task ID: 12
The job was run on these nodes: idun-05-18
[I 2026-04-28 16:19:09,665] Trial 0 finished with value: 0.17510702054474428 and parameters: {'alpha': 233144.78773166405, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.010431250548547025, 'iw_n_components': 5, 'iw_logistic_c': 0.024278386754340225, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.17510702054474428.
[I 2026-04-28 17:04:34,245] Trial 11 finished with value: 0.18691588703579015 and parameters: {'alpha': 548486.078742819, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0022954648947567046, 'iw_n_components': 2, 'iw_logistic_c': 1.1355813409079313e-05, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 6 with value: 0.1874698819228185.
[I 2026-04-28 17:08:38,456] Trial 12 finished with value: 0.18084613176536649 and parameters: {'alpha': 129631.67225383865, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.00201033365881683, 'iw_n_components': 2, 'iw_logistic_c': 4.075248804284901e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 6 with value: 0.1874698819228185.
[I 2026-04-28 17:12:22,381] Trial 13 finished with value: 0.18579045754626883 and parameters: {'alpha': 691381.8610082542, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0031703189771331614, 'iw_n_components': 2, 'iw_logistic_c': 1.4274714666126328e-05, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 6 with value: 0.1874698819228185.
[I 2026-04-28 17:16:06,715] Trial 14 finished with value: 0.1877130036069534 and parameters: {'alpha': 147859.84275712972, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.007121351942373396, 'iw_n_components': 2, 'iw_logistic_c': 1.5724381082983434e-05, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 14 with value: 0.1877130036069534.
[I 2026-04-28 17:20:12,578] Trial 15 finished with value: 0.18514304221706201 and parameters: {'alpha': 139402.67820827817, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.010144808562936172, 'iw_n_components': 2, 'iw_logistic_c': 0.0003287972647076044, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 14 with value: 0.1877130036069534.
[I 2026-04-28 17:24:27,839] Trial 16 finished with value: 0.17907243488573452 and parameters: {'alpha': 97902.20258967008, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.006234041003791558, 'iw_n_components': 10, 'iw_logistic_c': 0.003342045081556647, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 14 with value: 0.1877130036069534.
[I 2026-04-28 17:29:12,971] Trial 17 finished with value: 0.18791390146733278 and parameters: {'alpha': 166206.55423529644, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.007269388393132537, 'iw_n_components': 30, 'iw_logistic_c': 1.7654708754036089e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 17 with value: 0.18791390146733278.
[I 2026-04-28 17:33:32,854] Trial 18 finished with value: 0.1794998597846716 and parameters: {'alpha': 324749.553117366, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.006910891843516954, 'iw_n_components': 30, 'iw_logistic_c': 1.1321239921340979e-07, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 17 with value: 0.18791390146733278.
[I 2026-04-28 17:38:14,723] Trial 19 finished with value: 0.17282949901572447 and parameters: {'alpha': 50661.92456676116, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.008170570844817093, 'iw_n_components': 30, 'iw_logistic_c': 1.7259466385174269e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 17 with value: 0.18791390146733278.
[I 2026-04-28 17:42:22,829] Trial 20 finished with value: 0.1892121979322266 and parameters: {'alpha': 187919.61444952353, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.013077210982897143, 'iw_n_components': 5, 'iw_logistic_c': 3.45207259429111e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 20 with value: 0.1892121979322266.
[I 2026-04-28 17:46:28,868] Trial 21 finished with value: 0.18898148614951193 and parameters: {'alpha': 181280.74065935763, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.013807037957645313, 'iw_n_components': 5, 'iw_logistic_c': 3.100245873803219e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 20 with value: 0.1892121979322266.
[I 2026-04-28 17:50:32,270] Trial 22 finished with value: 0.1888275226471533 and parameters: {'alpha': 178028.8456020369, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.012937566199502724, 'iw_n_components': 5, 'iw_logistic_c': 2.6741857228965054e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 20 with value: 0.1892121979322266.
[I 2026-04-28 17:54:35,788] Trial 23 finished with value: 0.17778229600336418 and parameters: {'alpha': 108722.23384783037, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.026134534006609877, 'iw_n_components': 5, 'iw_logistic_c': 1.1753608486407782e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 20 with value: 0.1892121979322266.
[I 2026-04-28 17:58:42,672] Trial 24 finished with value: 0.18319547360393643 and parameters: {'alpha': 199384.74619384095, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.014336690504215528, 'iw_n_components': 5, 'iw_logistic_c': 5.656379026487322e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 20 with value: 0.1892121979322266.
[I 2026-04-28 18:02:45,414] Trial 25 finished with value: 0.19011043531636482 and parameters: {'alpha': 343781.018384024, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.012973033107084884, 'iw_n_components': 5, 'iw_logistic_c': 3.2385534139782092e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 25 with value: 0.19011043531636482.
[I 2026-04-28 18:06:50,841] Trial 26 finished with value: 0.18368168760084772 and parameters: {'alpha': 334683.20688220795, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0232968385767608, 'iw_n_components': 5, 'iw_logistic_c': 5.580808656855265e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 25 with value: 0.19011043531636482.
[I 2026-04-28 18:10:56,757] Trial 27 finished with value: 0.1920212195098112 and parameters: {'alpha': 365787.78241172904, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.02879913212509699, 'iw_n_components': 5, 'iw_logistic_c': 5.059985710946511e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:15:01,858] Trial 28 finished with value: 0.18337234478162012 and parameters: {'alpha': 346830.28539020184, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.032433699850523794, 'iw_n_components': 5, 'iw_logistic_c': 5.033495075099044e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:19:06,957] Trial 29 finished with value: 0.18790930326835573 and parameters: {'alpha': 620329.2885992347, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.029819839406422563, 'iw_n_components': 5, 'iw_logistic_c': 4.376474838066061e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:23:15,181] Trial 30 finished with value: 0.18331437416813495 and parameters: {'alpha': 234169.5453498572, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.018946697448792738, 'iw_n_components': 5, 'iw_logistic_c': 0.0014796784698990935, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:27:22,605] Trial 31 finished with value: 0.19019321934917782 and parameters: {'alpha': 394861.0891098358, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.011527939894254236, 'iw_n_components': 5, 'iw_logistic_c': 5.74067787784612e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:31:26,445] Trial 32 finished with value: 0.18300791598500035 and parameters: {'alpha': 402236.82317763165, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.010081236586269424, 'iw_n_components': 5, 'iw_logistic_c': 3.8490519462193247e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:35:30,667] Trial 33 finished with value: 0.18424645634405784 and parameters: {'alpha': 291325.29692280915, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.011710867707765861, 'iw_n_components': 5, 'iw_logistic_c': 4.6473424337716875e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:39:35,563] Trial 34 finished with value: 0.18647310538679898 and parameters: {'alpha': 387552.0958476048, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.01899485335340956, 'iw_n_components': 3, 'iw_logistic_c': 6.745250877273299e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:43:40,960] Trial 35 finished with value: 0.18509449941901923 and parameters: {'alpha': 222102.56426570387, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.046460833257319124, 'iw_n_components': 5, 'iw_logistic_c': 8.562183767764818e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:48:16,676] Trial 36 finished with value: 0.17339780938671098 and parameters: {'alpha': 829359.0220569118, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.01756517397886127, 'iw_n_components': 20, 'iw_logistic_c': 0.00012279692448979328, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:52:51,671] Trial 37 finished with value: 0.1864171675437832 and parameters: {'alpha': 451846.38633698, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.008843493740571855, 'iw_n_components': 10, 'iw_logistic_c': 2.67972477345012e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 27 with value: 0.1920212195098112.
[I 2026-04-28 18:56:51,892] Trial 38 finished with value: 0.1922842668345253 and parameters: {'alpha': 274961.75298148877, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0050685697139309606, 'iw_n_components': 1, 'iw_logistic_c': 0.5670093692870891, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:00:48,112] Trial 39 finished with value: 0.19123720387411014 and parameters: {'alpha': 271554.1694873724, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.005141948188673924, 'iw_n_components': 1, 'iw_logistic_c': 0.007792869458070672, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:04:43,525] Trial 40 finished with value: 0.19091221384490514 and parameters: {'alpha': 271963.9891875513, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.004820308698169858, 'iw_n_components': 1, 'iw_logistic_c': 0.4172757330410184, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:08:39,646] Trial 41 finished with value: 0.19094016424685253 and parameters: {'alpha': 268761.65868359705, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.004850985265103191, 'iw_n_components': 1, 'iw_logistic_c': 0.5455187226865494, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:12:38,791] Trial 42 finished with value: 0.1909342304331029 and parameters: {'alpha': 269160.4954079838, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.004863705551050692, 'iw_n_components': 1, 'iw_logistic_c': 0.4306167767218223, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:16:35,439] Trial 43 finished with value: 0.19120189143092617 and parameters: {'alpha': 228796.8632847637, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.004911384830219914, 'iw_n_components': 1, 'iw_logistic_c': 0.9403454764716764, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:20:34,575] Trial 44 finished with value: 0.1914318858362017 and parameters: {'alpha': 209305.72444097794, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.0036653116438508707, 'iw_n_components': 1, 'iw_logistic_c': 0.811589504534675, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:24:34,029] Trial 45 finished with value: 0.1913489279772361 and parameters: {'alpha': 221499.6297455515, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.003860463692320352, 'iw_n_components': 1, 'iw_logistic_c': 0.01590019157511642, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:28:32,007] Trial 46 finished with value: 0.190703537271013 and parameters: {'alpha': 308047.35012623586, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.0035342517703885264, 'iw_n_components': 1, 'iw_logistic_c': 0.03013699616413539, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:32:30,462] Trial 47 finished with value: 0.1915631418527751 and parameters: {'alpha': 211131.96829988324, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.0029099769486910817, 'iw_n_components': 1, 'iw_logistic_c': 9.718312888121151, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:36:09,542] Trial 48 finished with value: 0.1912881292283762 and parameters: {'alpha': 211503.2686578782, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.0028095545324788836, 'iw_n_components': 1, 'iw_logistic_c': 9.336268809279147, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:40:09,235] Trial 49 finished with value: 0.1910744320568103 and parameters: {'alpha': 157341.487317037, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.003760558981676439, 'iw_n_components': 1, 'iw_logistic_c': 0.1280651065726927, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:44:08,662] Trial 50 finished with value: 0.1903418528439459 and parameters: {'alpha': 121194.61770392819, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.002606395636318457, 'iw_n_components': 1, 'iw_logistic_c': 2.201485773396463, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:47:47,583] Trial 51 finished with value: 0.19130658825611221 and parameters: {'alpha': 204251.94014526356, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.0027907421671625548, 'iw_n_components': 1, 'iw_logistic_c': 5.099328245989308, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:51:30,003] Trial 52 finished with value: 0.19119030705784348 and parameters: {'alpha': 239633.98410266262, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.0022929878608469465, 'iw_n_components': 1, 'iw_logistic_c': 9.718381427972872, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:55:09,659] Trial 53 finished with value: 0.19120277048357084 and parameters: {'alpha': 198410.46227161787, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.004073406983286347, 'iw_n_components': 1, 'iw_logistic_c': 0.13192589682835867, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 19:58:47,628] Trial 54 finished with value: 0.1879495392833907 and parameters: {'alpha': 523707.916429468, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.002933804676475503, 'iw_n_components': 1, 'iw_logistic_c': 1.3269660615993197, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 20:02:34,253] Trial 55 finished with value: 0.1802628788752187 and parameters: {'alpha': 157052.172104208, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0033048942082563584, 'iw_n_components': 3, 'iw_logistic_c': 4.71051187237511, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 20:06:49,751] Trial 56 finished with value: 0.18082771034218223 and parameters: {'alpha': 136924.63851466836, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.004153754374996404, 'iw_n_components': 20, 'iw_logistic_c': 0.027797524249088722, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 20:10:27,499] Trial 57 finished with value: 0.18976485753839398 and parameters: {'alpha': 207195.62355443183, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.0023524049135054204, 'iw_n_components': 1, 'iw_logistic_c': 4.350993295034731, 'iw_pca_fit': 'source', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 20:15:02,106] Trial 58 finished with value: 0.1712624902330498 and parameters: {'alpha': 247449.56441890265, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.0020683702076865294, 'iw_n_components': 10, 'iw_logistic_c': 1.8842816427234284, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
[I 2026-04-28 20:18:56,935] Trial 59 finished with value: 0.19131820691686763 and parameters: {'alpha': 168922.68820187688, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 10.0, 'iw_prob_clip': 0.0033212080931277373, 'iw_n_components': 1, 'iw_logistic_c': 0.2154222492258119, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 38 with value: 0.1922842668345253.
