Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24361690
Array task ID: 14
The job was run on these nodes: idun-10-07
[I 2026-04-29 21:11:45,027] Trial 25 finished with value: 0.1621923862283799 and parameters: {'alpha': 993633.7631604259, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.02779786120872186, 'iw_n_components': 30, 'iw_logistic_c': 0.002539373653543034, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 21:12:39,437] Trial 26 finished with value: 0.14104015279485332 and parameters: {'alpha': 92026.58694828376, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 21:16:41,886] Trial 27 finished with value: 0.1556646959028547 and parameters: {'alpha': 504572.3300711337, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.018536058280968094, 'iw_n_components': 5, 'iw_logistic_c': 1.4193523332765476, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 21:22:06,178] Trial 28 finished with value: 0.1547642625195337 and parameters: {'alpha': 562523.117647794, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.03476751511454079, 'iw_n_components': 10, 'iw_logistic_c': 0.176376122728175, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 21:27:31,705] Trial 29 finished with value: 0.15996183711663584 and parameters: {'alpha': 212086.40983669795, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0178090640635199, 'iw_n_components': 10, 'iw_logistic_c': 0.009112952169194789, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 1 with value: 0.16631779751940554.
[I 2026-04-29 21:33:06,375] Trial 30 finished with value: 0.16689343007044405 and parameters: {'alpha': 771333.892424561, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.012392019011573437, 'iw_n_components': 10, 'iw_logistic_c': 2.1672523284217164, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 30 with value: 0.16689343007044405.
[I 2026-04-29 21:38:31,117] Trial 31 finished with value: 0.1636504608483586 and parameters: {'alpha': 809387.5864612343, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.011689499077617346, 'iw_n_components': 10, 'iw_logistic_c': 1.6119858955920943, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 30 with value: 0.16689343007044405.
[I 2026-04-29 21:43:55,762] Trial 32 finished with value: 0.16572816972522736 and parameters: {'alpha': 780881.8657088631, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.011852922253537398, 'iw_n_components': 10, 'iw_logistic_c': 2.32045129748007, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 30 with value: 0.16689343007044405.
[I 2026-04-29 21:49:18,708] Trial 33 finished with value: 0.16733702061271666 and parameters: {'alpha': 760895.9161128689, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.005727914221346744, 'iw_n_components': 10, 'iw_logistic_c': 3.524422997785418, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 33 with value: 0.16733702061271666.
[I 2026-04-29 21:54:44,910] Trial 34 finished with value: 0.1678467120986306 and parameters: {'alpha': 776889.3680343478, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.005495078803157978, 'iw_n_components': 10, 'iw_logistic_c': 4.760980982630149, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 21:55:38,998] Trial 35 finished with value: 0.14143460796792556 and parameters: {'alpha': 711964.1243169734, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:01:25,039] Trial 36 finished with value: 0.1643350723208926 and parameters: {'alpha': 882672.4564471088, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.005168267310307707, 'iw_n_components': 20, 'iw_logistic_c': 9.905518110649327, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:06:54,552] Trial 37 finished with value: 0.16538931974472765 and parameters: {'alpha': 547280.2834473806, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.004720655469306957, 'iw_n_components': 10, 'iw_logistic_c': 0.6702186522240887, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:07:49,536] Trial 38 finished with value: 0.14170557957534258 and parameters: {'alpha': 628875.6089888695, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:11:57,486] Trial 39 finished with value: 0.15884744718938787 and parameters: {'alpha': 721729.7987476498, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.004927783796739459, 'iw_n_components': 5, 'iw_logistic_c': 3.772212896574515, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
[I 2026-04-29 22:18:07,966] Trial 40 finished with value: 0.15842227810302895 and parameters: {'alpha': 954178.6194740206, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.005896222832906093, 'iw_n_components': 40, 'iw_logistic_c': 0.33513944990707556, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 34 with value: 0.1678467120986306.
