Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24351984
Array task ID: 9
The job was run on these nodes: idun-03-17
[I 2026-04-28 19:15:59,259] Trial 50 finished with value: 0.1710265966207225 and parameters: {'alpha': 260539.76884458336, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0022536532166740715, 'iw_n_components': 1, 'iw_logistic_c': 0.00040381569424991696, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 49 with value: 0.17123454764327575.
[I 2026-04-28 19:19:15,003] Trial 51 finished with value: 0.1713108733597297 and parameters: {'alpha': 253525.16649017093, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0020279615882290657, 'iw_n_components': 1, 'iw_logistic_c': 0.0002938405405615041, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 51 with value: 0.1713108733597297.
[I 2026-04-28 19:22:30,490] Trial 52 finished with value: 0.1711145466238547 and parameters: {'alpha': 255294.71971027425, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.002066531710072479, 'iw_n_components': 1, 'iw_logistic_c': 0.0003877586966872173, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 51 with value: 0.1713108733597297.
[I 2026-04-28 19:25:45,711] Trial 53 finished with value: 0.17135786462878283 and parameters: {'alpha': 257770.66081435778, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0023121373529499923, 'iw_n_components': 1, 'iw_logistic_c': 0.00011313734304255752, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 53 with value: 0.17135786462878283.
[I 2026-04-28 19:29:03,826] Trial 54 finished with value: 0.1712248971300837 and parameters: {'alpha': 260963.20001845565, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0022934578918049333, 'iw_n_components': 1, 'iw_logistic_c': 0.00029418606240261963, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 53 with value: 0.17135786462878283.
[I 2026-04-28 19:32:26,834] Trial 55 finished with value: 0.17140159623072526 and parameters: {'alpha': 259454.3264353114, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0023520712097477177, 'iw_n_components': 1, 'iw_logistic_c': 0.0001371659319439419, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 55 with value: 0.17140159623072526.
[I 2026-04-28 19:35:48,228] Trial 56 finished with value: 0.1711323958207329 and parameters: {'alpha': 282977.1985517908, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0030652760750341677, 'iw_n_components': 1, 'iw_logistic_c': 7.988640947261238e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 55 with value: 0.17140159623072526.
[I 2026-04-28 19:39:10,381] Trial 57 finished with value: 0.171010496090893 and parameters: {'alpha': 287107.30644188926, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0030952972278362385, 'iw_n_components': 1, 'iw_logistic_c': 6.447012725337171e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 55 with value: 0.17140159623072526.
[I 2026-04-28 19:42:34,709] Trial 58 finished with value: 0.16485477752106015 and parameters: {'alpha': 139619.2800356073, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0029551536770951368, 'iw_n_components': 1, 'iw_logistic_c': 3.899171154698786e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 55 with value: 0.17140159623072526.
[I 2026-04-28 19:45:58,154] Trial 59 finished with value: 0.15999946301497842 and parameters: {'alpha': 50207.26422256814, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.002403241903908493, 'iw_n_components': 1, 'iw_logistic_c': 1.2153674925281027e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 55 with value: 0.17140159623072526.
