Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24361552
Array task ID: 5
The job was run on these nodes: idun-05-29
[I 2026-04-29 18:45:03,584] Trial 0 finished with value: 0.2279101622977841 and parameters: {'alpha': 233144.78773166405, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.003473407124083527, 'iw_n_components': 10, 'iw_logistic_c': 4.788440522914161e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 0 with value: 0.2279101622977841.
[I 2026-04-29 19:11:05,975] Trial 11 finished with value: 0.22807386790104006 and parameters: {'alpha': 271017.1466197349, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.004510038906137478, 'iw_n_components': 1, 'iw_logistic_c': 3.7041632144622945e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 11 with value: 0.22807386790104006.
[I 2026-04-29 19:14:05,236] Trial 12 finished with value: 0.22755152050675873 and parameters: {'alpha': 365264.8622127994, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.04105912470283634, 'iw_n_components': 1, 'iw_logistic_c': 1.0084283571855786e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 11 with value: 0.22807386790104006.
[I 2026-04-29 19:17:02,549] Trial 13 finished with value: 0.2253286202472661 and parameters: {'alpha': 143000.37353545098, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.005517643368929659, 'iw_n_components': 1, 'iw_logistic_c': 1.091406707121776e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 11 with value: 0.22807386790104006.
[I 2026-04-29 19:20:52,615] Trial 14 finished with value: 0.21030157097753488 and parameters: {'alpha': 300588.7484351462, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.006540728342810718, 'iw_n_components': 40, 'iw_logistic_c': 8.82402508192532, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 11 with value: 0.22807386790104006.
[I 2026-04-29 19:24:47,972] Trial 15 finished with value: -1.0 and parameters: {'alpha': 177530.6990574877, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0010039759048105935, 'iw_n_components': 50, 'iw_logistic_c': 0.03817757491540355, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 11 with value: 0.22807386790104006.
[I 2026-04-29 19:28:15,539] Trial 16 finished with value: 0.22192877375305464 and parameters: {'alpha': 97746.18401209374, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.01241542472288982, 'iw_n_components': 20, 'iw_logistic_c': 1.0228586370148398e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 11 with value: 0.22807386790104006.
[I 2026-04-29 19:31:45,822] Trial 17 finished with value: 0.22226306633980714 and parameters: {'alpha': 394993.48129017744, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0034820031987924938, 'iw_n_components': 20, 'iw_logistic_c': 4.180118730017324e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 11 with value: 0.22807386790104006.
[I 2026-04-29 19:32:24,194] Trial 18 finished with value: 0.22444994505425409 and parameters: {'alpha': 858116.1694338082, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 11 with value: 0.22807386790104006.
[I 2026-04-29 19:35:22,458] Trial 19 finished with value: 0.2277717257693667 and parameters: {'alpha': 195526.7744275713, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0011168452983228148, 'iw_n_components': 1, 'iw_logistic_c': 9.198311825599877e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 11 with value: 0.22807386790104006.
[I 2026-04-29 19:39:16,857] Trial 20 finished with value: 0.21593295869520696 and parameters: {'alpha': 519239.4684412173, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.028068380318437416, 'iw_n_components': 50, 'iw_logistic_c': 0.024273557187245238, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 11 with value: 0.22807386790104006.
[I 2026-04-29 19:42:44,787] Trial 21 finished with value: 0.22887715422741411 and parameters: {'alpha': 254079.46364211454, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.004224341184084764, 'iw_n_components': 10, 'iw_logistic_c': 2.6248100755625477e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 21 with value: 0.22887715422741411.
[I 2026-04-29 19:46:26,535] Trial 22 finished with value: 0.2286796544306436 and parameters: {'alpha': 307065.5065036193, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.005046780562559286, 'iw_n_components': 40, 'iw_logistic_c': 7.257829447309266e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 21 with value: 0.22887715422741411.
[I 2026-04-29 19:50:11,652] Trial 23 finished with value: 0.2277324285593088 and parameters: {'alpha': 359022.0627163176, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.004956008058492598, 'iw_n_components': 40, 'iw_logistic_c': 9.203318898765408e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 21 with value: 0.22887715422741411.
[I 2026-04-29 19:54:03,789] Trial 24 finished with value: 0.22494216054384922 and parameters: {'alpha': 317594.72113251535, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.008614550821892978, 'iw_n_components': 40, 'iw_logistic_c': 0.004069192833975237, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 21 with value: 0.22887715422741411.
[I 2026-04-29 19:57:38,514] Trial 25 finished with value: 0.2278801447658631 and parameters: {'alpha': 200273.88616519765, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.004472143152427154, 'iw_n_components': 30, 'iw_logistic_c': 7.566767999558318e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 21 with value: 0.22887715422741411.
[I 2026-04-29 19:58:16,674] Trial 26 finished with value: 0.22174871557762071 and parameters: {'alpha': 94461.4029123902, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 21 with value: 0.22887715422741411.
[I 2026-04-29 20:01:25,625] Trial 27 finished with value: 0.22475347748975166 and parameters: {'alpha': 443042.3258491268, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.008063863613301624, 'iw_n_components': 5, 'iw_logistic_c': 0.00010381643827789957, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 21 with value: 0.22887715422741411.
[I 2026-04-29 20:05:08,969] Trial 28 finished with value: 0.23013982044279396 and parameters: {'alpha': 298240.459805698, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0020112517863629924, 'iw_n_components': 40, 'iw_logistic_c': 2.4647495238246264e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:08:52,962] Trial 29 finished with value: 0.22698201760532552 and parameters: {'alpha': 220837.4938691499, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0018765982349784561, 'iw_n_components': 40, 'iw_logistic_c': 4.962162594620124e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:12:40,127] Trial 30 finished with value: 0.22445438991304628 and parameters: {'alpha': 612404.7802585284, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0014473536698343685, 'iw_n_components': 40, 'iw_logistic_c': 0.0009772381478310105, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:15:39,275] Trial 31 finished with value: 0.22771363587862714 and parameters: {'alpha': 288063.6332427856, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002438304389736535, 'iw_n_components': 1, 'iw_logistic_c': 2.6771436544394284e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:19:05,353] Trial 32 finished with value: 0.2286189873366659 and parameters: {'alpha': 244802.2168429589, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.004195024314482014, 'iw_n_components': 10, 'iw_logistic_c': 2.4275176336163507e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:22:30,617] Trial 33 finished with value: 0.22832461445441687 and parameters: {'alpha': 229317.27505206407, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0039070123410401975, 'iw_n_components': 10, 'iw_logistic_c': 2.205123057571911e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:25:56,331] Trial 34 finished with value: 0.22294299655828137 and parameters: {'alpha': 178655.87595645, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.006042306144662591, 'iw_n_components': 10, 'iw_logistic_c': 2.7794909320695813e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:29:20,885] Trial 35 finished with value: 0.22863806566252748 and parameters: {'alpha': 333905.04734139773, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0023981399400289476, 'iw_n_components': 10, 'iw_logistic_c': 1.7126958550784526e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:29:59,079] Trial 36 finished with value: 0.22739933749342436 and parameters: {'alpha': 326588.8695691081, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:33:43,443] Trial 37 finished with value: 0.22720488652800847 and parameters: {'alpha': 555505.9194245345, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002610304405546757, 'iw_n_components': 40, 'iw_logistic_c': 1.5185163194179874e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:37:09,368] Trial 38 finished with value: 0.22862246531584213 and parameters: {'alpha': 424970.89674405806, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0014666167139222059, 'iw_n_components': 10, 'iw_logistic_c': 2.1939910386581713e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:37:47,477] Trial 39 finished with value: 0.22482140790913413 and parameters: {'alpha': 789343.0863798739, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:41:19,297] Trial 40 finished with value: 0.20837394788559527 and parameters: {'alpha': 161473.12469172853, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.002312752156248198, 'iw_n_components': 10, 'iw_logistic_c': 1.9018433340162197, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:44:42,074] Trial 41 finished with value: 0.22866624116848291 and parameters: {'alpha': 435767.23997480044, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.001550981008687544, 'iw_n_components': 10, 'iw_logistic_c': 2.1560086799386904e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:48:06,892] Trial 42 finished with value: 0.2276633791508209 and parameters: {'alpha': 348760.5786799995, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0014286206138403364, 'iw_n_components': 10, 'iw_logistic_c': 7.732196192932234e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:51:31,980] Trial 43 finished with value: 0.22870879606080013 and parameters: {'alpha': 469682.3991336267, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0033316545358077388, 'iw_n_components': 10, 'iw_logistic_c': 1.7829217918759857e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:54:56,110] Trial 44 finished with value: 0.2273615885117939 and parameters: {'alpha': 501796.1273210521, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.003181503411771883, 'iw_n_components': 10, 'iw_logistic_c': 2.529441598821722e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 20:58:39,556] Trial 45 finished with value: 0.22674220157246544 and parameters: {'alpha': 409467.5611684757, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.003360640182065307, 'iw_n_components': 40, 'iw_logistic_c': 4.273532212542588e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:02:08,127] Trial 46 finished with value: 0.227087926936432 and parameters: {'alpha': 581324.3752767522, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.008140266289442562, 'iw_n_components': 10, 'iw_logistic_c': 0.00014679588094985342, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:02:46,672] Trial 47 finished with value: 0.2267470898681303 and parameters: {'alpha': 472730.13947850233, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:05:53,161] Trial 48 finished with value: 0.22380421938546466 and parameters: {'alpha': 717147.3294437327, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0017813485443202942, 'iw_n_components': 5, 'iw_logistic_c': 3.94513599702257e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:09:27,406] Trial 49 finished with value: 0.22824508672674493 and parameters: {'alpha': 262830.0504262808, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.01585581085069736, 'iw_n_components': 30, 'iw_logistic_c': 4.855838957403264e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:13:10,250] Trial 50 finished with value: 0.2278634678789146 and parameters: {'alpha': 288792.54585452116, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0030485803427097447, 'iw_n_components': 40, 'iw_logistic_c': 1.212628451944186e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:16:36,556] Trial 51 finished with value: 0.22753089152187736 and parameters: {'alpha': 371884.7563007481, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.00221325302096264, 'iw_n_components': 10, 'iw_logistic_c': 1.206247611333533e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:20:01,187] Trial 52 finished with value: 0.2282815886167496 and parameters: {'alpha': 310251.56125552725, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0020722100333947615, 'iw_n_components': 10, 'iw_logistic_c': 1.4362901919716146e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:23:27,005] Trial 53 finished with value: 0.22747950634334488 and parameters: {'alpha': 400900.5688072727, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0016175174344639583, 'iw_n_components': 10, 'iw_logistic_c': 1.7025872827349993e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:26:51,347] Trial 54 finished with value: 0.22783375382293877 and parameters: {'alpha': 266307.82358784584, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0012445982499800362, 'iw_n_components': 10, 'iw_logistic_c': 4.947220272131758e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:30:36,697] Trial 55 finished with value: 0.22656893634699177 and parameters: {'alpha': 213259.80780014466, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0026943973444180824, 'iw_n_components': 50, 'iw_logistic_c': 4.5393095667056564e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:34:02,431] Trial 56 finished with value: 0.22797997691741437 and parameters: {'alpha': 332376.6235618049, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0036334853033713524, 'iw_n_components': 10, 'iw_logistic_c': 5.610889465828168e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:37:46,586] Trial 57 finished with value: 0.22145005455948055 and parameters: {'alpha': 455905.32876908075, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.005055908836112445, 'iw_n_components': 40, 'iw_logistic_c': 5.377327942286727e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:38:25,199] Trial 58 finished with value: 0.22404567838199468 and parameters: {'alpha': 938334.1841578475, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:41:53,727] Trial 59 finished with value: 0.22873159115926364 and parameters: {'alpha': 523059.2400216067, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.002655060231862067, 'iw_n_components': 20, 'iw_logistic_c': 2.545328576921892e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:45:21,197] Trial 60 finished with value: 0.2274124033450356 and parameters: {'alpha': 518407.39441937854, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0067753947954327974, 'iw_n_components': 20, 'iw_logistic_c': 1.5474022696793644e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:48:48,654] Trial 61 finished with value: 0.22827650749517875 and parameters: {'alpha': 689404.0082766747, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0028117341456570196, 'iw_n_components': 20, 'iw_logistic_c': 2.4505007563992556e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:52:18,605] Trial 62 finished with value: 0.22820870629642678 and parameters: {'alpha': 377934.4595245843, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0020545449519812826, 'iw_n_components': 20, 'iw_logistic_c': 7.039976659271361e-06, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:55:42,910] Trial 63 finished with value: 0.22862890515243853 and parameters: {'alpha': 285952.192920834, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.003778830513253106, 'iw_n_components': 20, 'iw_logistic_c': 9.635987424491276e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
[I 2026-04-29 21:59:15,680] Trial 64 finished with value: 0.21413197841997905 and parameters: {'alpha': 50207.26422256814, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.005716437988597418, 'iw_n_components': 30, 'iw_logistic_c': 2.15372428076387e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 28 with value: 0.23013982044279396.
