Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24378209
Array task ID: 10
The job was run on these nodes: idun-04-06
[I 2026-05-04 01:20:15,736] Trial 28 finished with value: 0.20947858430918087 and parameters: {'alpha': 256945.72929368477, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.004076972926952535, 'iw_n_components': 30, 'iw_logistic_c': 0.09624900340679571, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:23:04,019] Trial 29 finished with value: 0.20786224649400467 and parameters: {'alpha': 470767.320960192, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0007150005563914076, 'iw_n_components': 10, 'iw_logistic_c': 0.014268056062324634, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:26:04,666] Trial 30 finished with value: 0.20655684375826805 and parameters: {'alpha': 772662.0033281768, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0018494551468494335, 'iw_n_components': 50, 'iw_logistic_c': 0.001537462407502768, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:29:07,655] Trial 31 finished with value: 0.20961383660568605 and parameters: {'alpha': 175167.9717068736, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.02624545525023651, 'iw_n_components': 60, 'iw_logistic_c': 0.007201982548948509, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:32:12,637] Trial 32 finished with value: 0.21131351924988637 and parameters: {'alpha': 270988.91396532004, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.010839047896226198, 'iw_n_components': 60, 'iw_logistic_c': 0.16759179691667858, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:35:15,403] Trial 33 finished with value: 0.20861120545940676 and parameters: {'alpha': 159110.98411264634, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0095828517684398, 'iw_n_components': 60, 'iw_logistic_c': 0.14242266614575358, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:38:18,274] Trial 34 finished with value: 0.2112377850796614 and parameters: {'alpha': 254917.69242198544, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.014084593215499288, 'iw_n_components': 60, 'iw_logistic_c': 2.4535675256593503, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:41:19,454] Trial 35 finished with value: 0.2064570057333356 and parameters: {'alpha': 119866.51684123183, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.005624824402382159, 'iw_n_components': 60, 'iw_logistic_c': 0.3173837166660111, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:44:11,261] Trial 36 finished with value: 0.20759718879508404 and parameters: {'alpha': 507131.82047175063, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.006925364713018025, 'iw_n_components': 20, 'iw_logistic_c': 1.6207104412542572, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 19 with value: 0.21350723385352516.
[I 2026-05-04 01:47:15,287] Trial 37 finished with value: 0.2141372300424834 and parameters: {'alpha': 278429.71418931277, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.005179471819001495, 'iw_n_components': 60, 'iw_logistic_c': 0.036086243435348005, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 01:47:47,747] Trial 38 finished with value: 0.20201001964895937 and parameters: {'alpha': 649190.5440933446, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 01:50:34,903] Trial 39 finished with value: 0.20517442470784536 and parameters: {'alpha': 419168.10629653, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0027327430940604722, 'iw_n_components': 10, 'iw_logistic_c': 0.031788857555480124, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
[I 2026-05-04 01:53:37,595] Trial 40 finished with value: 0.2104791694984392 and parameters: {'alpha': 315980.0392638528, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.004755543412169907, 'iw_n_components': 60, 'iw_logistic_c': 7.932042403374394, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 37 with value: 0.2141372300424834.
