Running from this directory: /cluster/work/simennes/Master_thesis
Name of job: ncv_ridge_iw
ID of job: 24378203
Array task ID: 4
The job was run on these nodes: idun-03-17
[I 2026-05-04 00:17:22,539] Trial 0 finished with value: 0.1906008030658212 and parameters: {'alpha': 574323.565896313, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.005989214663243749, 'iw_n_components': 20, 'iw_logistic_c': 2.8870927958158354, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 0 with value: 0.1906008030658212.
[I 2026-05-04 00:40:14,861] Trial 11 finished with value: 0.208429371579613 and parameters: {'alpha': 347796.61132526485, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.04401504902876097, 'iw_n_components': 40, 'iw_logistic_c': 0.006828767945178502, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 2 with value: 0.20918196835396174.
[I 2026-05-04 00:43:16,274] Trial 12 finished with value: 0.19827227024170796 and parameters: {'alpha': 303675.1638347876, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.04140223921348737, 'iw_n_components': 40, 'iw_logistic_c': 0.0029746068121942796, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 2 with value: 0.20918196835396174.
[I 2026-05-04 00:46:17,249] Trial 13 finished with value: 0.20852034868319574 and parameters: {'alpha': 354398.03438367625, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0005745000559553773, 'iw_n_components': 60, 'iw_logistic_c': 0.00018277181264750612, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 2 with value: 0.20918196835396174.
[I 2026-05-04 00:49:17,205] Trial 14 finished with value: 0.20340277461179804 and parameters: {'alpha': 389364.9847299307, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0006993555026534488, 'iw_n_components': 60, 'iw_logistic_c': 8.867416715075633e-05, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 2 with value: 0.20918196835396174.
[I 2026-05-04 00:52:25,340] Trial 15 finished with value: 0.20867257312792836 and parameters: {'alpha': 199673.20638675452, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0005004242536423993, 'iw_n_components': 80, 'iw_logistic_c': 0.00010646831941279146, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 2 with value: 0.20918196835396174.
[I 2026-05-04 00:55:31,067] Trial 16 finished with value: 0.20729517891627114 and parameters: {'alpha': 190406.4915659679, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.00237086961949854, 'iw_n_components': 80, 'iw_logistic_c': 2.110056521937534e-07, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 2 with value: 0.20918196835396174.
[I 2026-05-04 00:58:45,966] Trial 17 finished with value: 0.21286156938765366 and parameters: {'alpha': 203997.15675946337, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0005184084163264982, 'iw_n_components': 80, 'iw_logistic_c': 0.03354536101420388, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 00:59:18,181] Trial 18 finished with value: 0.19943623098209357 and parameters: {'alpha': 945178.7582111732, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:02:22,931] Trial 19 finished with value: 0.20461801548230837 and parameters: {'alpha': 110833.5172731396, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0012886874669342365, 'iw_n_components': 50, 'iw_logistic_c': 0.08792208108027436, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:05:37,711] Trial 20 finished with value: 0.20390133560183318 and parameters: {'alpha': 2576182.384699561, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0033742080094216744, 'iw_n_components': 80, 'iw_logistic_c': 0.049050106652462726, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:08:45,213] Trial 21 finished with value: 0.20876204023647596 and parameters: {'alpha': 208063.94087122273, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0005308696956692773, 'iw_n_components': 80, 'iw_logistic_c': 0.00030948541431800847, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:11:56,659] Trial 22 finished with value: 0.20840580685770832 and parameters: {'alpha': 240831.512931351, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0009121421101017418, 'iw_n_components': 80, 'iw_logistic_c': 0.0006987078922771993, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:15:11,839] Trial 23 finished with value: 0.2097647697534506 and parameters: {'alpha': 146214.89184300462, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0008382080192657322, 'iw_n_components': 80, 'iw_logistic_c': 0.0257382002591241, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:18:01,915] Trial 24 finished with value: 0.1950710042300726 and parameters: {'alpha': 149318.6457668683, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.0011710451714901811, 'iw_n_components': 10, 'iw_logistic_c': 0.02164164062920744, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:21:09,612] Trial 25 finished with value: -1.0 and parameters: {'alpha': 431347.15661873604, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0036352257500221995, 'iw_n_components': 50, 'iw_logistic_c': 0.2897072079161648, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:24:09,958] Trial 26 finished with value: 0.2057808460844696 and parameters: {'alpha': 142727.13864737345, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0008524729845075992, 'iw_n_components': 30, 'iw_logistic_c': 0.8004211527593666, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:24:42,229] Trial 27 finished with value: 0.20622289853374842 and parameters: {'alpha': 258197.8442655222, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:27:57,791] Trial 28 finished with value: 0.21152896773348875 and parameters: {'alpha': 450486.8892653019, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0016671616415194098, 'iw_n_components': 80, 'iw_logistic_c': 0.016212623144741718, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:31:12,069] Trial 29 finished with value: 0.21274847992417517 and parameters: {'alpha': 483823.1868255721, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.001671527200292951, 'iw_n_components': 80, 'iw_logistic_c': 0.018740422032002556, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:34:25,757] Trial 30 finished with value: 0.20693986335086678 and parameters: {'alpha': 751331.1347660999, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.009678301862704925, 'iw_n_components': 80, 'iw_logistic_c': 0.007128061702451295, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:37:40,464] Trial 31 finished with value: 0.2080901805785329 and parameters: {'alpha': 841747.6400122844, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.001455134545757461, 'iw_n_components': 80, 'iw_logistic_c': 0.031810872523376464, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 17 with value: 0.21286156938765366.
[I 2026-05-04 01:40:54,352] Trial 32 finished with value: 0.21391031341537783 and parameters: {'alpha': 455232.67825074337, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0018431198710805374, 'iw_n_components': 80, 'iw_logistic_c': 0.1467012630452239, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 01:44:07,903] Trial 33 finished with value: 0.21046444229776698 and parameters: {'alpha': 477446.92232286115, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0019914153478847677, 'iw_n_components': 80, 'iw_logistic_c': 0.15970722352020977, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 01:47:18,807] Trial 34 finished with value: 0.20676931845421467 and parameters: {'alpha': 491630.801565289, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.003223894228816688, 'iw_n_components': 80, 'iw_logistic_c': 1.0701482918101564, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 01:50:32,320] Trial 35 finished with value: 0.20061611542494046 and parameters: {'alpha': 700200.6093949043, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.004540117714496312, 'iw_n_components': 80, 'iw_logistic_c': 0.013658463620088945, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 01:53:24,445] Trial 36 finished with value: 0.20060262337789697 and parameters: {'alpha': 584730.6672183481, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.006925364713018025, 'iw_n_components': 20, 'iw_logistic_c': 0.001768511495031015, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 01:56:40,800] Trial 37 finished with value: 0.20921467979368624 and parameters: {'alpha': 1205442.7668962525, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0028383416333615033, 'iw_n_components': 80, 'iw_logistic_c': 4.290889855070746, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 01:57:13,059] Trial 38 finished with value: 0.2034191066463517 and parameters: {'alpha': 496405.32186917734, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:00:03,178] Trial 39 finished with value: 0.18444024616991891 and parameters: {'alpha': 929815.814789747, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.0016785475504439904, 'iw_n_components': 10, 'iw_logistic_c': 0.10041507776879902, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:03:18,407] Trial 40 finished with value: 0.2132576552914293 and parameters: {'alpha': 406912.0769820158, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0023768510172804715, 'iw_n_components': 80, 'iw_logistic_c': 1.6638431640758504, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:06:33,423] Trial 41 finished with value: 0.20961526391898308 and parameters: {'alpha': 411049.5179180904, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.002347690649960684, 'iw_n_components': 80, 'iw_logistic_c': 3.1419521156792185, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:09:50,889] Trial 42 finished with value: 0.21267527937776834 and parameters: {'alpha': 640200.4928376423, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.002026299014454452, 'iw_n_components': 80, 'iw_logistic_c': 0.8740329567869994, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:12:50,343] Trial 43 finished with value: 0.20223214683637236 and parameters: {'alpha': 677246.6640235673, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.004660526478276442, 'iw_n_components': 30, 'iw_logistic_c': 1.3986694446727972, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:16:05,589] Trial 44 finished with value: 0.20697278292854687 and parameters: {'alpha': 1473140.6209803885, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.002424689012985306, 'iw_n_components': 80, 'iw_logistic_c': 7.484164346215624, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:16:37,170] Trial 45 finished with value: 0.2027794783406897 and parameters: {'alpha': 553362.7672318819, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:20:27,300] Trial 46 finished with value: 0.20810520842808417 and parameters: {'alpha': 280573.61169838323, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.00996153953539665, 'iw_n_components': 20, 'iw_logistic_c': 0.2816465999638427, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:24:28,638] Trial 47 finished with value: 0.21286010522688398 and parameters: {'alpha': 376375.0168593011, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0011209736321326378, 'iw_n_components': 80, 'iw_logistic_c': 0.5737096514764813, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:28:33,100] Trial 48 finished with value: 0.20903371164421664 and parameters: {'alpha': 325301.78726869397, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.0006764023746006647, 'iw_n_components': 60, 'iw_logistic_c': 0.45163488362663123, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:32:35,739] Trial 49 finished with value: 0.20617309088784236 and parameters: {'alpha': 342992.1908696818, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.001074728141872837, 'iw_n_components': 50, 'iw_logistic_c': 0.06429105157168745, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:33:15,110] Trial 50 finished with value: 0.2064149184662884 and parameters: {'alpha': 233047.70040069456, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:37:16,777] Trial 51 finished with value: 0.21069733890816686 and parameters: {'alpha': 378352.7505145859, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.001887613922938147, 'iw_n_components': 80, 'iw_logistic_c': 1.6910536375260983, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:41:20,137] Trial 52 finished with value: 0.20901599790094433 and parameters: {'alpha': 629699.1499589487, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.001519377725687565, 'iw_n_components': 80, 'iw_logistic_c': 0.5869932714673145, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:45:52,134] Trial 53 finished with value: 0.2103076789223246 and parameters: {'alpha': 529489.5578262999, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0013196223176005, 'iw_n_components': 80, 'iw_logistic_c': 0.18966968012019964, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:49:55,378] Trial 54 finished with value: 0.19735926632471162 and parameters: {'alpha': 771160.416791551, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 5.0, 'iw_prob_clip': 0.0010182420498617414, 'iw_n_components': 80, 'iw_logistic_c': 2.350567591953283, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:53:36,919] Trial 55 finished with value: 0.20775451290113617 and parameters: {'alpha': 175545.4297123157, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.5, 'iw_prob_clip': 0.002775765618499534, 'iw_n_components': 40, 'iw_logistic_c': 0.006650658782219583, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 02:57:01,949] Trial 56 finished with value: 0.20894996453549325 and parameters: {'alpha': 382035.5895317374, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0006920224372938738, 'iw_n_components': 10, 'iw_logistic_c': 7.068170903549324, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.9}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 03:01:06,063] Trial 57 finished with value: -1.0 and parameters: {'alpha': 287858.0978764293, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 3.0, 'iw_prob_clip': 0.002051990347343878, 'iw_n_components': 80, 'iw_logistic_c': 0.6057721577832001, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 1.0}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 03:05:04,997] Trial 58 finished with value: 0.20445199451083282 and parameters: {'alpha': 1004592.6082323291, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 2.0, 'iw_prob_clip': 0.003881862081138881, 'iw_n_components': 30, 'iw_logistic_c': 0.16499309902130319, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.75}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 03:09:08,971] Trial 59 finished with value: 0.2086481913791 and parameters: {'alpha': 605079.8111087008, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0013072208584699225, 'iw_n_components': 60, 'iw_logistic_c': 0.06019811659125433, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 03:09:49,437] Trial 60 finished with value: 0.2041409192688764 and parameters: {'alpha': 435843.0738245742, 'use_snp_selection': False, 'iw_method': 'uniform'}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 03:13:55,416] Trial 61 finished with value: 0.21198815345939453 and parameters: {'alpha': 456610.2987374773, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0016831889792269863, 'iw_n_components': 80, 'iw_logistic_c': 0.00938814122990629, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 03:17:58,157] Trial 62 finished with value: 0.2104635780698673 and parameters: {'alpha': 531858.1451250543, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.0026272557210815072, 'iw_n_components': 80, 'iw_logistic_c': 0.002559571389760064, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 03:22:32,308] Trial 63 finished with value: 0.2091708874763214 and parameters: {'alpha': 338510.2243536379, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.029951182115121017, 'iw_n_components': 80, 'iw_logistic_c': 0.009711496124165168, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.21391031341537783.
[I 2026-05-04 03:26:35,254] Trial 64 finished with value: 0.2122672674016584 and parameters: {'alpha': 427802.7558993915, 'use_snp_selection': False, 'iw_method': 'pc_logistic', 'iw_clip_max': 1.25, 'iw_prob_clip': 0.001912639865841483, 'iw_n_components': 80, 'iw_logistic_c': 0.036026133875144736, 'iw_pca_fit': 'combined', 'iw_solver': 'lbfgs', 'iw_rho': 0.5}. Best is trial 32 with value: 0.21391031341537783.
