permutation_index,source_island,phi_running,rank_running,source_island_name,target_island,trait,repeat,split_seed
16,13,-0.0798408777849378,13,Vikna,0,thr_tarsus,0,14
16,14,0.1066548306754512,3,Lauvøya,0,thr_tarsus,0,14
17,1,-0.0402558621950069,12,Myken,0,thr_tarsus,0,14
17,2,0.112756598259645,2,Træna,0,thr_tarsus,0,14
17,3,0.1256963124554514,1,Selvær,0,thr_tarsus,0,14
17,4,0.0002356757671116,8,Gjerøy,0,thr_tarsus,0,14
17,5,-0.1984646703091395,14,Hestmannøy,0,thr_tarsus,0,14
17,6,0.1064406195232944,3,Indre Kvarøy,0,thr_tarsus,0,14
17,7,-0.0132197187574186,9,Onøy og Lurøy,0,thr_tarsus,0,14
17,8,0.064555211455732,6,Lovund,0,thr_tarsus,0,14
17,9,0.016600792937472,7,Sleneset,0,thr_tarsus,0,14
17,10,-0.0144979244909737,10,Aldra,0,thr_tarsus,0,14
17,11,0.0950456466749022,5,Leka,0,thr_tarsus,0,14
17,12,-0.0181363478071054,11,Vega,0,thr_tarsus,0,14
17,13,-0.0832725319374978,13,Vikna,0,thr_tarsus,0,14
17,14,0.105557130811043,4,Lauvøya,0,thr_tarsus,0,14
18,1,-0.0466852751550893,12,Myken,0,thr_tarsus,0,14
18,2,0.125574300711361,1,Træna,0,thr_tarsus,0,14
18,3,0.1201547590057487,2,Selvær,0,thr_tarsus,0,14
18,4,-0.0028489943917663,8,Gjerøy,0,thr_tarsus,0,14
18,5,-0.1962851504424588,14,Hestmannøy,0,thr_tarsus,0,14
18,6,0.1043695136508094,3,Indre Kvarøy,0,thr_tarsus,0,14
18,7,-0.0126649752169317,9,Onøy og Lurøy,0,thr_tarsus,0,14
18,8,0.0627997369646502,6,Lovund,0,thr_tarsus,0,14
18,9,0.0253390713650487,7,Sleneset,0,thr_tarsus,0,14
18,10,-0.0155535153168883,10,Aldra,0,thr_tarsus,0,14
18,11,0.0981841445531686,5,Leka,0,thr_tarsus,0,14
18,12,-0.0199214812236358,11,Vega,0,thr_tarsus,0,14
18,13,-0.0844508139597929,13,Vikna,0,thr_tarsus,0,14
18,14,0.1010296118432859,4,Lauvøya,0,thr_tarsus,0,14
19,1,-0.0498440324295741,12,Myken,0,thr_tarsus,0,14
19,2,0.1224639788907698,2,Træna,0,thr_tarsus,0,14
19,3,0.1232465202965088,1,Selvær,0,thr_tarsus,0,14
19,4,-0.0010850930707855,8,Gjerøy,0,thr_tarsus,0,14
19,5,-0.1982897408719454,14,Hestmannøy,0,thr_tarsus,0,14
19,6,0.1024760848762144,4,Indre Kvarøy,0,thr_tarsus,0,14
19,7,-0.0163567792865787,10,Onøy og Lurøy,0,thr_tarsus,0,14
19,8,0.0615476023781689,6,Lovund,0,thr_tarsus,0,14
19,9,0.0242982110568317,7,Sleneset,0,thr_tarsus,0,14
19,10,-0.0151463133711351,9,Aldra,0,thr_tarsus,0,14
19,11,0.0950050484703252,5,Leka,0,thr_tarsus,0,14
19,12,-0.0200662297420511,11,Vega,0,thr_tarsus,0,14
19,13,-0.0813226123202144,13,Vikna,0,thr_tarsus,0,14
