n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island,trait,repeat,split_seed
5,1122,0.3420552966945113,0.5115019679069519,shapley_mean,-1,0,thr_tarsus,7,7014
6,1705,0.378804638546134,0.5076898336410522,shapley_mean,-1,0,thr_tarsus,7,7014
7,2288,0.3265993658075153,0.511655867099762,shapley_mean,-1,0,thr_tarsus,7,7014
8,2976,0.3864334040254137,0.5070163011550903,shapley_mean,-1,0,thr_tarsus,7,7014
9,4039,0.3016211402837972,0.5078544020652771,shapley_mean,-1,0,thr_tarsus,7,7014
10,4594,0.3026374922973225,0.5085711479187012,shapley_mean,-1,0,thr_tarsus,7,7014
11,4990,0.3101679544632832,0.5072294473648071,shapley_mean,-1,0,thr_tarsus,7,7014
12,5184,0.3074346320707508,0.5073778033256531,shapley_mean,-1,0,thr_tarsus,7,7014
13,5441,0.2881671767247223,0.5100691914558411,shapley_mean,-1,0,thr_tarsus,7,7014
14,5533,0.3020246452435254,0.507709264755249,shapley_mean,-1,0,thr_tarsus,7,7014
1,152,0.3179532625830923,0.5409632325172424,shapley_mean,-1,0,thr_tarsus,8,8014
2,244,0.2438083824821627,0.5411286950111389,shapley_mean,-1,0,thr_tarsus,8,8014
3,530,0.3337533766638927,0.5303011536598206,shapley_mean,-1,0,thr_tarsus,8,8014
4,724,0.306329112606725,0.5304010510444641,shapley_mean,-1,0,thr_tarsus,8,8014
5,1072,0.3063461383665324,0.5277225375175476,shapley_mean,-1,0,thr_tarsus,8,8014
6,1760,0.339516455928126,0.524776816368103,shapley_mean,-1,0,thr_tarsus,8,8014
7,2823,0.245817600046126,0.5300642251968384,shapley_mean,-1,0,thr_tarsus,8,8014
8,3406,0.2812530124510244,0.5259288549423218,shapley_mean,-1,0,thr_tarsus,8,8014
9,3579,0.275990090935611,0.5258879065513611,shapley_mean,-1,0,thr_tarsus,8,8014
10,3742,0.2781564479170312,0.5246062278747559,shapley_mean,-1,0,thr_tarsus,8,8014
11,4297,0.2866612816771903,0.5241753458976746,shapley_mean,-1,0,thr_tarsus,8,8014
12,4880,0.2859196859253448,0.5249777436256409,shapley_mean,-1,0,thr_tarsus,8,8014
13,5276,0.2964255016141311,0.5232381224632263,shapley_mean,-1,0,thr_tarsus,8,8014
14,5533,0.2772093966095319,0.5252909660339355,shapley_mean,-1,0,thr_tarsus,8,8014
1,555,-0.0657118247152411,0.5577234029769897,shapley_mean,-1,0,thr_tarsus,9,9014
2,841,0.1567884604258393,0.545194149017334,shapley_mean,-1,0,thr_tarsus,9,9014
3,993,0.2939035342914874,0.5346634984016418,shapley_mean,-1,0,thr_tarsus,9,9014
4,1576,0.3284742038712957,0.5317007899284363,shapley_mean,-1,0,thr_tarsus,9,9014
5,1972,0.3163665669190701,0.532677173614502,shapley_mean,-1,0,thr_tarsus,9,9014
6,2145,0.3034785560270543,0.533191442489624,shapley_mean,-1,0,thr_tarsus,9,9014
7,2833,0.3616986388894248,0.5278306007385254,shapley_mean,-1,0,thr_tarsus,9,9014
8,3416,0.3115620710049718,0.5317103862762451,shapley_mean,-1,0,thr_tarsus,9,9014
9,3579,0.3188872979249793,0.5298851728439331,shapley_mean,-1,0,thr_tarsus,9,9014
10,3773,0.3224660600191946,0.5295305848121643,shapley_mean,-1,0,thr_tarsus,9,9014
11,4030,0.2817992310966152,0.5325210690498352,shapley_mean,-1,0,thr_tarsus,9,9014
12,5093,0.3413014453605864,0.5175144672393799,shapley_mean,-1,0,thr_tarsus,9,9014
13,5441,0.3716807445112078,0.5115785002708435,shapley_mean,-1,0,thr_tarsus,9,9014
14,5533,0.3907608361140681,0.5073601603507996,shapley_mean,-1,0,thr_tarsus,9,9014
1,163,-0.0753370920833778,0.5221083760261536,shapley_mean,-1,1,thr_tarsus,0,14
2,280,0.0947745279045513,0.5212901830673218,shapley_mean,-1,1,thr_tarsus,0,14
3,628,0.1950393615181611,0.5132451057434082,shapley_mean,-1,1,thr_tarsus,0,14
4,1183,0.0712495494576607,0.5189527869224548,shapley_mean,-1,1,thr_tarsus,0,14
5,1766,0.0605107601584567,0.5160384178161621,shapley_mean,-1,1,thr_tarsus,0,14
6,1960,0.2654286703012822,0.490418791770935,shapley_mean,-1,1,thr_tarsus,0,14
7,3023,0.4001488934600203,0.4717773795127868,shapley_mean,-1,1,thr_tarsus,0,14
8,3606,0.3960993704008409,0.4725981950759887,shapley_mean,-1,1,thr_tarsus,0,14
9,4002,0.4048361779401281,0.4699689447879791,shapley_mean,-1,1,thr_tarsus,0,14
10,4175,0.4205648490185397,0.4665177762508392,shapley_mean,-1,1,thr_tarsus,0,14
11,4863,0.4267454795552559,0.4657455682754516,shapley_mean,-1,1,thr_tarsus,0,14
12,5149,0.4373412114755591,0.4581661224365234,shapley_mean,-1,1,thr_tarsus,0,14
13,5301,0.4512054925626833,0.4549823105335235,shapley_mean,-1,1,thr_tarsus,0,14
14,5558,0.4365610804340745,0.4520490169525146,shapley_mean,-1,1,thr_tarsus,0,14
1,173,0.0652075922970894,0.5984137654304504,shapley_mean,-1,1,thr_tarsus,1,1014
2,459,0.0258451845042468,0.5693626403808594,shapley_mean,-1,1,thr_tarsus,1,1014
3,807,0.1057031886616601,0.5625385046005249,shapley_mean,-1,1,thr_tarsus,1,1014
4,1870,0.2039765789878166,0.5451233386993408,shapley_mean,-1,1,thr_tarsus,1,1014
5,1987,0.212275034542762,0.5451198816299438,shapley_mean,-1,1,thr_tarsus,1,1014
6,2244,0.1755062789107005,0.5410874485969543,shapley_mean,-1,1,thr_tarsus,1,1014
7,2932,0.1449425887587647,0.5452638268470764,shapley_mean,-1,1,thr_tarsus,1,1014
8,3126,0.3020913917691548,0.5188831686973572,shapley_mean,-1,1,thr_tarsus,1,1014
9,3522,0.3156001487067932,0.5162315368652344,shapley_mean,-1,1,thr_tarsus,1,1014
10,4105,0.314385388419879,0.5166574120521545,shapley_mean,-1,1,thr_tarsus,1,1014
11,4688,0.3396101441953765,0.511307418346405,shapley_mean,-1,1,thr_tarsus,1,1014
12,5243,0.3279914211460015,0.5106238722801208,shapley_mean,-1,1,thr_tarsus,1,1014
13,5395,0.3475102624827911,0.5075220465660095,shapley_mean,-1,1,thr_tarsus,1,1014
14,5558,0.3430418397092529,0.5081804394721985,shapley_mean,-1,1,thr_tarsus,1,1014
1,194,0.1691406116533773,0.4806667268276214,shapley_mean,-1,1,thr_tarsus,2,2014
2,346,0.1493843085399876,0.4803664982318878,shapley_mean,-1,1,thr_tarsus,2,2014
3,463,0.1676370517464256,0.4795823693275451,shapley_mean,-1,1,thr_tarsus,2,2014
4,811,0.2087350569592558,0.4768787920475006,shapley_mean,-1,1,thr_tarsus,2,2014
