trait,method,target_island,target_island_name,repeat,repeat_seed,n_train_size,n_train,n_pcs,n_pcs_requested,alpha,pearson_r,mse_adj,fit_time_seconds,n_test
body_mass,pevmean_ga_pc_ridge,11,Leka,4,1716943757,500,500,2500,2500,89093.2,0.17636949647627284,962.6686401367188,0.03270849299951806,583
body_mass,pevmean_ga_pc_ridge,12,Vega,0,1717623462,500,500,2500,2500,89093.2,0.09760996028312616,962.0676879882812,0.03243728400047985,397
body_mass,pevmean_ga_pc_ridge,12,Vega,1,1484484775,500,500,2500,2500,89093.2,0.07924857499028919,963.127685546875,0.015404811001644703,397
body_mass,pevmean_ga_pc_ridge,12,Vega,2,1841682891,500,500,2500,2500,89093.2,0.11969308289896839,963.098876953125,0.015882765997957904,397
body_mass,pevmean_ga_pc_ridge,12,Vega,3,534724965,500,500,2500,2500,89093.2,0.12144551186711411,958.1396484375,0.015840271997149102,397
body_mass,pevmean_ga_pc_ridge,12,Vega,4,1509915007,500,500,2500,2500,89093.2,0.1448547668466646,961.9762573242188,0.015866757999901893,397
body_mass,pevmean_ga_pc_ridge,13,Vikna,0,343987298,500,500,2500,2500,89093.2,0.09956005751609091,932.5545654296875,0.03308964600000763,584
body_mass,pevmean_ga_pc_ridge,13,Vikna,1,881208126,500,500,2500,2500,89093.2,0.0862463372664785,930.4594116210938,0.03278773999772966,584
body_mass,pevmean_ga_pc_ridge,13,Vikna,2,1075204606,500,500,2500,2500,89093.2,0.004233032465197113,934.835205078125,0.032611237998935394,584
body_mass,pevmean_ga_pc_ridge,13,Vikna,3,378460770,500,500,2500,2500,89093.2,0.1508311264031022,930.6190185546875,0.03468920100203832,584
body_mass,pevmean_ga_pc_ridge,13,Vikna,4,1932616507,500,500,2500,2500,89093.2,0.12642304005051339,929.4451904296875,0.03266995800004224,584
body_mass,pevmean_ga_pc_ridge,14,Lauvøya,0,1319110456,500,500,2500,2500,89093.2,0.08546445244877668,949.8956909179688,0.032965202000923455,688
body_mass,pevmean_ga_pc_ridge,14,Lauvøya,1,1995458380,500,500,2500,2500,89093.2,0.038500673836790254,948.0814208984375,0.03272712000034517,688
body_mass,pevmean_ga_pc_ridge,14,Lauvøya,2,875031619,500,500,2500,2500,89093.2,0.062225019701936786,947.7866821289062,0.03263974999936181,688
body_mass,pevmean_ga_pc_ridge,14,Lauvøya,3,1340497558,500,500,2500,2500,89093.2,0.07244134342495101,949.2518310546875,0.03288934499869356,688
body_mass,pevmean_ga_pc_ridge,14,Lauvøya,4,130234660,500,500,2500,2500,89093.2,0.08441314472857031,946.8947143554688,0.03259823100233916,688
body_mass,pevmean_ga_pc_ridge,0,Nesøy,0,744452614,1000,1000,2500,2500,89093.2,0.24799969776500258,1067.555908203125,0.1251188659989566,119
body_mass,pevmean_ga_pc_ridge,0,Nesøy,1,154263954,1000,1000,2500,2500,89093.2,0.24196871652305688,1072.7525634765625,0.07040364400018007,119
body_mass,pevmean_ga_pc_ridge,0,Nesøy,2,1378078444,1000,1000,2500,2500,89093.2,0.27582106989238026,1069.010498046875,0.04934515700006159,119
body_mass,pevmean_ga_pc_ridge,0,Nesøy,3,1181729346,1000,1000,2500,2500,89093.2,0.25529375552622074,1075.7470703125,0.05023623899978702,119
body_mass,pevmean_ga_pc_ridge,0,Nesøy,4,555131593,1000,1000,2500,2500,89093.2,0.1972143803518151,1067.764404296875,0.04933844799961662,119
body_mass,pevmean_ga_pc_ridge,1,Myken,0,1714262082,1000,1000,2500,2500,89093.2,0.2939758567752199,1032.71044921875,0.05034061600235873,92
body_mass,pevmean_ga_pc_ridge,1,Myken,1,2085454949,1000,1000,2500,2500,89093.2,0.2101353172690924,1034.4814453125,0.05012980199899175,92
body_mass,pevmean_ga_pc_ridge,1,Myken,2,2060266791,1000,1000,2500,2500,89093.2,0.15602552575597242,1030.8980712890625,0.16046646200265968,92
body_mass,pevmean_ga_pc_ridge,1,Myken,3,464011987,1000,1000,2500,2500,89093.2,0.1995218597166027,1031.8594970703125,0.051007935999223264,92
body_mass,pevmean_ga_pc_ridge,1,Myken,4,131593733,1000,1000,2500,2500,89093.2,0.27383968975960826,1032.0361328125,0.05976508300227579,92
body_mass,pevmean_ga_pc_ridge,2,Træna,0,405385771,1000,1000,2500,2500,89093.2,0.2362030942972052,976.5847778320312,0.07307043099717703,292
body_mass,pevmean_ga_pc_ridge,2,Træna,1,1256116569,1000,1000,2500,2500,89093.2,0.24888679593149748,977.8180541992188,0.058226905999617884,292
body_mass,pevmean_ga_pc_ridge,2,Træna,2,803481440,1000,1000,2500,2500,89093.2,0.1558998046405671,974.675537109375,0.05302784900050028,292
body_mass,pevmean_ga_pc_ridge,2,Træna,3,1705764116,1000,1000,2500,2500,89093.2,0.14324759211847146,972.836669921875,0.1015026349996333,292
body_mass,pevmean_ga_pc_ridge,2,Træna,4,2026676072,1000,1000,2500,2500,89093.2,0.19983200000199897,977.3212890625,0.031447203997231554,292
body_mass,pevmean_ga_pc_ridge,3,Selvær,0,261820732,1000,1000,2500,2500,89093.2,0.1288437699863354,1008.2153930664062,0.032450393999170046,194
body_mass,pevmean_ga_pc_ridge,3,Selvær,1,1117512274,1000,1000,2500,2500,89093.2,0.13967279541991826,1007.111083984375,0.03259548499772791,194
body_mass,pevmean_ga_pc_ridge,3,Selvær,2,1562338001,1000,1000,2500,2500,89093.2,0.1754229774844272,1007.8551635742188,0.03279053499863949,194
body_mass,pevmean_ga_pc_ridge,3,Selvær,3,980813718,1000,1000,2500,2500,89093.2,0.1531204669321608,1011.1593017578125,0.03243220200238284,194
body_mass,pevmean_ga_pc_ridge,3,Selvær,4,1849893988,1000,1000,2500,2500,89093.2,0.20483975971765725,1010.1522216796875,0.032723903001169674,194
body_mass,pevmean_ga_pc_ridge,4,Gjerøy,0,1623418790,1000,1000,2500,2500,89093.2,0.13050387690744802,1014.38623046875,0.0333306079992326,558
body_mass,pevmean_ga_pc_ridge,4,Gjerøy,1,1639125088,1000,1000,2500,2500,89093.2,0.062485046540156686,1011.3635864257812,0.03264566600046237,558
body_mass,pevmean_ga_pc_ridge,4,Gjerøy,2,1056172817,1000,1000,2500,2500,89093.2,0.14302104108923677,1015.7776489257812,0.15842151999822818,558
body_mass,pevmean_ga_pc_ridge,4,Gjerøy,3,215651242,1000,1000,2500,2500,89093.2,0.09742824012302083,1011.13330078125,0.0663327849979396,558
body_mass,pevmean_ga_pc_ridge,4,Gjerøy,4,172047015,1000,1000,2500,2500,89093.2,0.08335630581542662,1013.7848510742188,0.05835931199908373,558
