trait,fold,method,selection_method,lambda_label,lambda_div,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_fit,alpha,pearson_r,mse_adj,avg_grm_target_obj,avg_grm_train_train_obj,objective_obj,selection_time_seconds,fit_time_seconds
thr_wing,1,random_pc_ridge,random,,,7,100021,4000,5069,564,4500,4500,40673.818606964225,0.3190215571335235,0.8761789798736572,-0.0001717534130754611,,,0.0,0.397493147989735
thr_wing,1,random_pc_ridge,random,,,7,100021,4500,5069,564,4500,4500,40673.818606964225,0.3034881374114366,0.8821367025375366,-0.00017177937725321247,,,0.0,0.49854269810020924
thr_wing,1,random_pc_ridge,random,,,8,100022,500,5069,564,4500,4500,40673.818606964225,0.21475809277125987,1.0018842220306396,-0.00017153961947026711,,,0.0,0.0358530068770051
thr_wing,1,random_pc_ridge,random,,,8,100022,1000,5069,564,4500,4500,40673.818606964225,0.21068192873904762,0.9714933633804321,-0.00022116074395445317,,,0.0,0.06338970293290913
thr_wing,1,random_pc_ridge,random,,,8,100022,1500,5069,564,4500,4500,40673.818606964225,0.2399637184757123,0.9482525587081909,-0.00019052663772918307,,,0.0,0.10944764106534421
thr_wing,1,random_pc_ridge,random,,,8,100022,2000,5069,564,4500,4500,40673.818606964225,0.25734970617001973,0.9283462166786194,-0.00020488050674565732,,,0.0,0.1396555679384619
thr_wing,1,random_pc_ridge,random,,,8,100022,2500,5069,564,4500,4500,40673.818606964225,0.2642533584114053,0.9230111837387085,-0.00018925032797670468,,,0.0,0.1955072470009327
thr_wing,1,random_pc_ridge,random,,,8,100022,3000,5069,564,4500,4500,40673.818606964225,0.2832075123085608,0.9058975577354431,-0.00018408471731121265,,,0.0,0.2465985610615462
thr_wing,1,random_pc_ridge,random,,,8,100022,3500,5069,564,4500,4500,40673.818606964225,0.27854946236985784,0.9108244180679321,-0.00018378983178107225,,,0.0,0.3193944771774113
thr_wing,1,random_pc_ridge,random,,,8,100022,4000,5069,564,4500,4500,40673.818606964225,0.2815802086373803,0.9067168831825256,-0.00018156395644438738,,,0.0,0.3975460329093039
thr_wing,1,random_pc_ridge,random,,,8,100022,4500,5069,564,4500,4500,40673.818606964225,0.3036594229450825,0.8865417838096619,-0.0001778527991288019,,,0.0,0.49680582503788173
thr_wing,1,random_pc_ridge,random,,,9,100023,500,5069,564,4500,4500,40673.818606964225,0.08788328584435007,1.0470808744430542,-0.00020548583024001686,,,0.0,0.036166497971862555
thr_wing,1,random_pc_ridge,random,,,9,100023,1000,5069,564,4500,4500,40673.818606964225,0.18974171096691872,0.9838932156562805,-0.00019762935735539246,,,0.0,0.06350830383598804
thr_wing,1,random_pc_ridge,random,,,9,100023,1500,5069,564,4500,4500,40673.818606964225,0.2562577686864987,0.9503663778305054,-0.00019476235628719722,,,0.0,0.10969595308415592
