n_permutations,cal_fraction,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,0.2,random_individual,1,0.10132255159669387,0.026913628334023304,1.4915786480903626,0.05642001997720372,50
10,0.2,random_individual,2,0.10095293794009087,0.02841349269916389,1.4916483783721923,0.056482711885030054,50
10,0.2,random_individual,3,0.09981397507708017,0.028059857038176712,1.4923647594451905,0.05672728943479259,50
10,0.2,random_individual,4,0.09582064718010061,0.03127574365917356,1.493940804004669,0.057311860172642025,50
10,0.2,random_individual,5,0.0946823727437437,0.03615731121180799,1.4943985176086425,0.057217808017194956,50
10,0.2,random_individual,6,0.09273293620003337,0.03233016129623593,1.4951288723945617,0.055845157577507944,50
10,0.2,random_individual,7,0.09067283814918425,0.03184369367517792,1.4963262319564818,0.05462305573957486,50
10,0.2,random_individual,8,0.08447301268662864,0.03286662143275459,1.4981407666206359,0.052321593438594716,50
10,0.2,random_individual,9,0.07425992974515493,0.037322247036281425,1.5007260417938233,0.05182235685149073,50
10,0.2,random_individual,10,0.06405008886236085,0.044242497887677514,1.5036672973632812,0.054017073010512257,50
10,0.2,random_individual,11,0.05431903195561023,0.04807536377146802,1.5064842224121093,0.05469084645694262,50
10,0.2,random_individual,12,0.03656238809081418,0.054584584840857334,1.5099730539321898,0.054241904875722995,50
10,0.2,random_individual,13,0.015064424293437274,0.05730593814847453,1.5159256839752198,0.05230319622800138,50
10,0.2,random_individual,14,0.005692923393102341,0.073199273393357,1.5248248529434205,0.054747179583679945,50
10,0.2,shapley_mean,0,0.10254757691859648,0.02447034212696268,1.4910365104675294,0.05875671223186885,10
10,0.2,shapley_mean,1,0.10367592536766371,0.024483106747914107,1.491018569469452,0.06042989316358579,10
10,0.2,shapley_mean,2,0.11014893925087957,0.02835851195553096,1.4899412274360657,0.0606355695641543,10
10,0.2,shapley_mean,3,0.1192228604393754,0.028995037932332258,1.4865538120269775,0.06012489963314543,10
10,0.2,shapley_mean,4,0.12633474284337598,0.03226170561014011,1.4845877408981323,0.061313653309577325,10
10,0.2,shapley_mean,5,0.12378496052680717,0.03492318890048906,1.4858795642852782,0.05983293354739328,10
10,0.2,shapley_mean,6,0.13871833179955634,0.02714686359657195,1.4819310069084168,0.058517068779259676,10
10,0.2,shapley_mean,7,0.13753505339890204,0.030194267375460965,1.4821505784988402,0.058396765925917984,10
