analysis,method,weight_scheme,order_seed,weighted_fit_used,n_individuals,corr_eval,mse_adj,delta_ld_obj,target_island,target_island_name,repeat,repeat_seed,trait
ranked_subset,delta_ld_island_topk,none,-1,False,1564,0.06981088065946955,1.234321117401123,0.09637134950970072,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,2148,0.09129882973898089,1.228294849395752,0.09934927196816334,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,2731,0.09209765022549016,1.2262084484100342,0.10394221431428366,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5503,0.2186572833394748,0.8971799612045288,0.1627128232239359,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3289,0.10881774523778175,1.223871111869812,0.10457015211700554,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3483,0.16274623121919796,1.2053707838058472,0.10614320827667226,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3880,0.16953557184415013,1.2031118869781494,0.1073354244111833,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4038,0.18182896970737739,1.197760820388794,0.1130974332449223,2,Træna,0,1453631634,body_mass
full_baseline,full_source_unweighted,none,-2,False,5139,0.08835864351535423,1.4772404432296753,,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4394,0.15366426713178033,1.2087725400924683,0.11393438877191898,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1078,0.09676475920218683,1.475809931755066,0.08674085454526685,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1564,0.09611842314796838,1.4757187366485596,0.09426432315668659,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,2148,0.06567817670469368,1.483828067779541,0.09674972070819786,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4560,0.14828695263941713,1.2112878561019897,0.11996804741886907,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,2731,0.08662051585740897,1.4771757125854492,0.10311098093497548,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3023,0.08956139006303845,1.476704716682434,0.10457015211700554,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4819,0.14351859914179654,1.2141571044921875,0.12184686384194483,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3420,0.09185148538106493,1.4754546880722046,0.10700305211460479,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5021,0.14047716088669598,1.21587073802948,0.128059360089607,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3776,0.12325497791311203,1.4657446146011353,0.1101590166935162,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3970,0.1089185682385217,1.4717415571212769,0.11614401069676633,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5194,0.13958824035304593,1.2162514925003052,0.1508417513490761,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4128,0.11641169121850249,1.4705595970153809,0.11642759958625395,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5286,0.1606414598120648,1.2092636823654175,0.1543815955628166,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4387,0.10739604960420669,1.4723536968231201,0.11773542404996597,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5405,0.15644057610891102,1.2109628915786743,0.15776218906360312,2,Træna,0,1453631634,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4553,0.09988691224092847,1.47610342502594,0.12043647530681381,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4755,0.09482918947422778,1.4781575202941895,0.12447539424149606,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4928,0.08236368561367893,1.4794918298721313,0.15042628468842872,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5020,0.08679604620581173,1.4778687953948975,0.15541520906515408,4,Gjerøy,0,1523204546,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,5139,0.08835860308987575,1.4772404432296753,0.15587768026058943,4,Gjerøy,0,1523204546,body_mass
full_baseline,full_source_unweighted,none,-2,False,5503,0.21865713179424323,0.8971801400184631,,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1078,0.05964919569535652,0.9291147589683533,0.10264295321569057,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1370,0.1949204377543759,0.9026467204093933,0.10614320827667226,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1856,0.19650993241579942,0.901441752910614,0.10910917024760157,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,2440,0.21030223615763993,0.8982544541358948,0.11053507993772589,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3023,0.2110996228918146,0.897958517074585,0.11503426514437125,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3581,0.1588283351107874,0.9119085669517517,0.11614401069676633,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3978,0.13669014650713818,0.9205750226974487,0.11683987022248847,3,Selvær,0,2041121371,body_mass
full_baseline,full_source_unweighted,none,-2,False,4619,0.13817844476129437,1.5807186365127563,,5,Hestmannøy,0,978527714,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,486,0.022836768505952596,1.622089147567749,0.07839561084927653,5,Hestmannøy,0,978527714,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1070,0.01460889167212501,1.6218703985214233,0.08265828541912135,5,Hestmannøy,0,978527714,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4136,0.17769014981579523,0.9086198210716248,0.12306567653903007,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,1628,0.07693875291160847,1.6084845066070557,0.08674085454526685,5,Hestmannøy,0,978527714,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,2211,0.0775226460586527,1.6089659929275513,0.08990609399604467,5,Hestmannøy,0,978527714,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,2503,0.08161277368219022,1.607970952987671,0.09241475341751419,5,Hestmannøy,0,978527714,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4492,0.20533277060891064,0.9009906053543091,0.12520656626006263,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,2900,0.08170731670855459,1.6086010932922363,0.09321954955509265,5,Hestmannøy,0,978527714,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4751,0.19989150531380387,0.9059528708457947,0.13031983706350905,3,Selvær,0,2041121371,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3256,0.14417808746778432,1.5822205543518066,0.0971735969316984,5,Hestmannøy,0,978527714,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,3450,0.1383697348122515,1.585140347480774,0.10264295321569057,5,Hestmannøy,0,978527714,body_mass
ranked_subset,delta_ld_island_topk,none,-1,False,4917,0.20477625956211098,0.904499351978302,0.13072976306388315,3,Selvær,0,2041121371,body_mass
