ringnr,island,score,rank
8730503,5,-4.46661551904981e-05,384
8800090,6,-4.4519908897200366e-05,385
8N27879,5,-4.434680249687517e-05,386
8M31562,5,-4.414301020005951e-05,387
8N06489,12,-4.406766220199643e-05,388
8857215,10,-4.404786659506499e-05,389
8N42990,14,-4.4026909563399386e-05,390
8732237,2,-4.3784039007732645e-05,391
8981002,5,-4.375110620458145e-05,392
8118435,4,-4.3735689814639045e-05,393
8981801,5,-4.370307556200714e-05,394
8816930,4,-4.3650359657476656e-05,395
8N05831,4,-4.353696522230166e-05,396
8L30487,12,-4.3498510876816e-05,397
8N05275,13,-4.349594246377819e-05,398
8732620,7,-4.349160553829279e-05,399
8N27864,6,-4.346848118075286e-05,400
8747548,10,-4.3466313400131185e-05,401
8747102,5,-4.346587638792698e-05,402
8N42647,7,-4.343173577581183e-05,403
8747603,4,-4.3420820929895854e-05,404
8N87546,11,-4.3299376102368115e-05,405
8309141,5,-4.325368763602455e-05,406
8800063,4,-4.3174298753001494e-05,407
8681076,5,-4.315914657126996e-05,408
8L64182,7,-4.3146644202352036e-05,409
8N14004,6,-4.308285770093789e-05,410
8N05649,11,-4.301541321183322e-05,411
8N14662,13,-4.29581032221904e-05,412
8857230,5,-4.2872918129432946e-05,413
8P11564,14,-4.279545919416705e-05,414
8N13149,14,-4.267236772648175e-05,415
8118425,6,-4.2671526898629963e-05,416
8N87890,13,-4.2654921799112344e-05,417
8857284,10,-4.26331985181605e-05,418
8N73442,11,-4.2623608806025004e-05,419
8794309,2,-4.261476851752377e-05,420
8M72444,13,-4.260812056600116e-05,421
8N73643,13,-4.250996516930172e-05,422
8N05141,12,-4.2481859054532833e-05,423
8L64923,10,-4.247423339620582e-05,424
8N87815,14,-4.2453933019714896e-05,425
8N13132,14,-4.240143744027591e-05,426
8M71162,13,-4.236345830577193e-05,427
8L30917,2,-4.226207283863914e-05,428
8L64075,11,-4.213513284412329e-05,429
8866710,6,-4.2038087485707365e-05,430
8732641,5,-4.199791919745621e-05,431
8887429,8,-4.197223688606755e-05,432
8L30876,1,-4.1939577386074234e-05,433
8747623,5,-4.184061526757432e-05,434
8681268,5,-4.1828212488326244e-05,435
8N14539,11,-4.1805933051364264e-05,436
8943023,5,-4.174296782366582e-05,437
8N73922,11,-4.170479041931685e-05,438
8N87865,13,-4.164054871580447e-05,439
8N73450,11,-4.1630773466749815e-05,440
8887360,10,-4.1612249788158806e-05,441
8N14166,5,-4.160924117968534e-05,442
8N87284,3,-4.1492548461974366e-05,443
8N72519,4,-4.1378761579835555e-05,444
8981120,12,-4.108142593395314e-05,445
8N14972,7,-4.1006936953635886e-05,446
8P14982,14,-4.100603973711259e-05,447
8N14671,13,-4.0918174363469006e-05,448
8M71872,5,-4.0878329400584335e-05,449
8N27830,6,-4.082923442183528e-05,450
8M31507,4,-4.082814575667726e-05,451
8887316,6,-4.0764393816061784e-05,452
8N05687,15,-4.0754293422651244e-05,453
8N13216,9,-4.071868988830829e-05,454
8887477,4,-4.0654573240317404e-05,455
8N14977,7,-4.063418873556657e-05,456
8N05662,13,-4.060922265125555e-05,457
8800426,5,-4.060286528329016e-05,458
8981278,5,-4.0597832594357897e-05,459
8N87926,13,-4.0571417230239604e-05,460
8M72112,5,-4.0560609249951085e-05,461
8N05610,14,-4.055399585922714e-05,462
8168665,5,-4.050134020872065e-05,463
8N27275,5,-4.0312260352948215e-05,464
8N87620,15,-4.022360462840879e-05,465
8981945,2,-4.021620907224133e-05,466
8N42523,5,-4.020837650386966e-05,467
8N06808,6,-3.996768145952956e-05,468
8M31337,5,-3.991656694779522e-05,469
8981345,11,-3.990232607975486e-05,470
8800529,10,-3.9848009237175575e-05,471
8N28690,6,-3.984800059697591e-05,472
8N14515,11,-3.9826177271606866e-05,473
8M31317,4,-3.981923191531678e-05,474
8L48607,6,-3.964336838180316e-05,475
8309155,6,-3.95680322071712e-05,476
8N87603,15,-3.952211318392074e-05,477
8N72746,5,-3.94440426134679e-05,478
8N05122,12,-3.943263709516032e-05,479
8981919,6,-3.926151430277969e-05,480
8N42996,5,-3.925122132386605e-05,481
8M31433,4,-3.905588482666644e-05,482
8N73515,7,-3.896527232427616e-05,483
8L64981,4,-3.892698481422485e-05,484
8P11635,2,-3.886351350956829e-05,485
8N72043,2,-3.886196964231203e-05,486
8N13360,1,-3.873397236020537e-05,487
8N28403,9,-3.871913986586151e-05,488
8L89372,5,-3.86966430596658e-05,489
8L52211,5,-3.867548457492376e-05,490
8N87835,14,-3.861395316562266e-05,491
8L89615,4,-3.8582703837164445e-05,492
8N06482,12,-3.8565549402846955e-05,493
8N05131,12,-3.850758002954535e-05,494
8747229,5,-3.844706134259468e-05,495
8M31926,5,-3.8421989756898256e-05,496
8747121,8,-3.839998089461005e-05,497
8747742,9,-3.82903517675004e-05,498
8866795,6,-3.8280762964859605e-05,499
8747736,7,-3.8238774322962854e-05,500
8981090,11,-3.821025529759936e-05,501
8857415,5,-3.818851519099553e-05,502
8L89434,5,-3.81249637939618e-05,503
8N13863,15,-3.808438896157895e-05,504
8N72719,4,-3.7992093893990386e-05,505
8N87810,14,-3.7974117276462493e-05,506
8P14907,14,-3.79368789253931e-05,507
8573856,4,-3.79017137674964e-05,508
8N27356,5,-3.783996908168774e-05,509
8L30300,5,-3.7626788525813026e-05,510
8939617,6,-3.761666789614537e-05,511
8N73508,4,-3.755439820452011e-05,512
8M71157,13,-3.753639612114057e-05,513
