trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05207,8N05207,12,Southern 2,3472,-0.00529189836113744,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05208,8N05208,12,Southern 2,3910,-0.006554926600271613,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05209,8N05209,12,Southern 2,2009,-0.0004340264653289129,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05210,8N05210,12,Southern 2,3197,-0.0044300533771830545,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05211,8N05211,12,Southern 2,3275,-0.004670353287497726,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05212,8N05212,12,Southern 2,3207,-0.004462564071446217,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05213,8N05213,12,Southern 2,3471,-0.005285858734232474,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05214,8N05214,12,Southern 2,3771,-0.006216921541687608,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05215,8N05215,12,Southern 2,3778,-0.0062446339824082965,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05216,8N05216,12,Southern 2,2967,-0.0035272534682361427,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05217,8N05217,12,Southern 2,3774,-0.006229144400602701,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05218,8N05218,12,Southern 2,3345,-0.0049207963793762195,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05219,8N05219,12,Southern 2,2036,-0.000524912190425891,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05220,8N05220,12,Southern 2,2715,-0.0026778987203848192,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05221,8N05221,12,Southern 2,862,0.0042004476687505276,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05222,8N05222,12,Southern 2,2427,-0.0017557101340234804,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05223,8N05223,12,Southern 2,1023,0.003198670227092809,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05224,8N05224,12,Southern 2,3234,-0.004564552663552556,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05225,8N05225,12,Southern 2,2928,-0.0033799222751758258,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05226,8N05226,12,Southern 2,3328,-0.0048564636806820785,1.0
body_mass,3,Selvær,0,1879982273,avggrm_weight_uniform,uniform,8N05227,8N05227,12,Southern 2,2759,-0.0028356512991613734,1.0
