trait,snp_experiment,snp_repeat,snp_seed,snp_selection_mode,num_snps_requested,n_features_available,n_features_fit,alpha,target_column,eval_target_column,standardize_features,min_count,fit_time_seconds,fold,pearson_r,test_island,test_island_code,test_island_original_label,n_train,n_test
body_mass,random_20k_snps,4,4014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.82907440001145,11,0.12154214255750555,Aldra,10,38,5524,173
body_mass,random_20k_snps,4,4014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.5285947999946075,12,0.152174597750066,Leka,11,60,5114,583
body_mass,random_20k_snps,4,4014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.598451900004875,13,0.001582385429040092,Vega,12,61,5300,397
body_mass,random_20k_snps,4,4014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.560513099990203,14,0.13623512688388342,Vikna,13,63,5113,584
body_mass,random_20k_snps,4,4014.0,random,20000.0,65344,20000,100000.0,y_adjusted,y_mean,False,20,2.736613999994006,15,0.05270755559084053,Lauvøya,14,67,5009,688
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,7.54198290000204,1,0.32005349855220394,Nesøy,0,20,5533,117
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,7.493299599998863,2,0.34113592658954944,Myken,1,22,5558,92
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.349906299990835,3,0.23861638160897577,Træna,2,23,5364,286
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.494410700004664,4,0.27649858483349743,Selvær,3,24,5456,194
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.14055689999077,5,0.25587573183411233,Gjerøy,4,26,5095,555
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,5.232730000003357,6,0.23085880661103184,Hestmannøy,5,27,4587,1063
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.308247299995855,7,0.3603618856285979,Indre Kvarøy,6,28,5302,348
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.807921200001147,8,0.22232590617641973,Onøy og Lurøy,7,33,5393,257
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,7.6721269999979995,9,0.4333050495588463,Lovund,8,34,5498,152
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,7.1886843999964185,10,0.25985288895087494,Sleneset,9,35,5487,163
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,7.0443039999954635,11,0.21519283812683804,Aldra,10,38,5477,173
thr_tarsus,all_snps,0,,random,,65344,65344,100000.0,y_adjusted,y_mean,False,20,6.370677500002785,12,0.24529104260660808,Leka,11,60,5067,583
