target_island,n_cal_samples,permutation_index,source_island,source_island_name,rank_mean,rank_std,phi_per_ind_mean,n_repeats
3,150.0,44,12,Southern 2,13.7,0.48304589153964794,-8.791903119637895e-05,10
3,150.0,44,4,Gjerøy,14.9,0.316227766016838,-0.00015438889750765957,10
3,150.0,45,8,Lovund,1.2,0.4216370213557839,0.0004327209140954082,10
3,150.0,45,2,Træna,1.9,0.5676462121975466,0.00032807776076813,10
3,150.0,45,10,Aldra,4.0,1.4142135623730951,0.0001403424924211908,10
3,150.0,45,6,Indre Kvarøy,4.3,1.3374935098492586,0.00014356526511422873,10
3,150.0,45,15,Southern 5,6.3,1.4181364924121764,9.030981098714069e-05,10
3,150.0,45,0,Nesøy,7.7,3.0568684048294332,5.628578504652402e-05,10
3,150.0,45,9,Sleneset,7.7,3.529242915351047,6.922838642349135e-05,10
3,150.0,45,13,Southern 3,8.1,0.9944289260117531,5.714610373549457e-05,10
3,150.0,45,1,Myken,8.4,4.623610902506587,1.9693953238455722e-05,10
3,150.0,45,7,Onøy og Lurøy,9.5,2.6770630673681683,1.512222102634345e-05,10
3,150.0,45,14,Southern 4,10.0,1.632993161855452,2.535662080729613e-05,10
3,150.0,45,5,Hestmannøy,11.1,1.286683937707919,5.399032261167249e-06,10
3,150.0,45,11,Southern 1,11.2,1.229272594305718,-4.13379559290045e-06,10
3,150.0,45,12,Southern 2,13.7,0.48304589153964794,-8.776415920501704e-05,10
3,150.0,45,4,Gjerøy,14.9,0.316227766016838,-0.00015397624560271552,10
3,150.0,46,8,Lovund,1.2,0.4216370213557839,0.0004285727308040059,10
3,150.0,46,2,Træna,1.9,0.5676462121975466,0.00032988232986007034,10
3,150.0,46,10,Aldra,3.9,1.4491376746189437,0.00014181784282119383,10
3,150.0,46,6,Indre Kvarøy,4.5,1.1785113019775793,0.00014319211084211537,10
3,150.0,46,15,Southern 5,6.1,1.3703203194062976,9.197698440886616e-05,10
3,150.0,46,0,Nesøy,7.6,3.2041639575194445,5.7340411286581144e-05,10
3,150.0,46,9,Sleneset,7.6,3.3730961708462712,6.842882997537883e-05,10
3,150.0,46,13,Southern 3,8.2,1.1352924243950935,5.680302448234154e-05,10
3,150.0,46,1,Myken,8.6,4.5995168828427575,1.5978601464261543e-05,10
3,150.0,46,7,Onøy og Lurøy,9.5,2.6770630673681683,1.4913111467956065e-05,10
3,150.0,46,14,Southern 4,10.0,1.632993161855452,2.5176672301144064e-05,10
3,150.0,46,11,Southern 1,11.1,1.1972189997378648,-4.198241914446845e-06,10
3,150.0,46,5,Hestmannøy,11.2,1.3165611772087666,5.335572149463846e-06,10
3,150.0,46,12,Southern 2,13.7,0.48304589153964794,-8.716682692605863e-05,10
3,150.0,46,4,Gjerøy,14.9,0.316227766016838,-0.00015356554812725152,10
3,150.0,47,8,Lovund,1.2,0.4216370213557839,0.00042850069508956713,10
3,150.0,47,2,Træna,1.9,0.5676462121975466,0.0003318087747031408,10
3,150.0,47,10,Aldra,3.9,1.4491376746189437,0.00014281928619380818,10
3,150.0,47,6,Indre Kvarøy,4.4,1.2649110640673518,0.00014292746604360805,10
3,150.0,47,15,Southern 5,6.1,1.3703203194062976,9.317646969632147e-05,10
3,150.0,47,9,Sleneset,7.6,3.3730961708462712,6.758741112128703e-05,10
3,150.0,47,0,Nesøy,7.7,3.198958163736021,5.706724784372592e-05,10
3,150.0,47,13,Southern 3,8.1,0.9944289260117531,5.653712693029227e-05,10
3,150.0,47,1,Myken,8.8,4.491968140779471,1.416175143404554e-05,10
3,150.0,47,7,Onøy og Lurøy,9.4,2.756809750418044,1.4805805170415367e-05,10
3,150.0,47,14,Southern 4,10.0,1.632993161855452,2.5228881862786442e-05,10
3,150.0,47,5,Hestmannøy,11.1,1.286683937707919,5.26322062922636e-06,10
3,150.0,47,11,Southern 1,11.2,1.229272594305718,-4.26991020642509e-06,10
3,150.0,47,12,Southern 2,13.7,0.48304589153964794,-8.774856783558514e-05,10
3,150.0,47,4,Gjerøy,14.9,0.316227766016838,-0.0001536098293166297,10
3,150.0,48,8,Lovund,1.2,0.4216370213557839,0.00042767243610208146,10
3,150.0,48,2,Træna,1.9,0.5676462121975466,0.00033288616948412656,10
3,150.0,48,10,Aldra,3.9,1.4491376746189437,0.00014449988780511146,10
3,150.0,48,6,Indre Kvarøy,4.4,1.2649110640673518,0.00014284307448161733,10
3,150.0,48,15,Southern 5,6.1,1.3703203194062976,9.349922986449724e-05,10
3,150.0,48,0,Nesøy,7.6,3.2041639575194445,5.713734593517743e-05,10
3,150.0,48,9,Sleneset,7.7,3.400980250849256,6.721614672342956e-05,10
3,150.0,48,13,Southern 3,7.9,0.9944289260117531,5.7204692845101396e-05,10
3,150.0,48,1,Myken,8.8,4.491968140779471,1.186789369305335e-05,10
3,150.0,48,7,Onøy og Lurøy,9.6,2.590581230363393,1.4431470447909706e-05,10
3,150.0,48,14,Southern 4,10.0,1.632993161855452,2.515052404896234e-05,10
3,150.0,48,11,Southern 1,11.1,1.1972189997378648,-4.3393894520273005e-06,10
3,150.0,48,5,Hestmannøy,11.2,1.3165611772087666,4.99443254086269e-06,10
3,150.0,48,12,Southern 2,13.7,0.48304589153964794,-8.803942274145176e-05,10
3,150.0,48,4,Gjerøy,14.9,0.316227766016838,-0.0001537073275422218,10
3,150.0,49,8,Lovund,1.2,0.4216370213557839,0.00042947081883287454,10
3,150.0,49,2,Træna,1.9,0.5676462121975466,0.0003304524473136229,10
3,150.0,49,10,Aldra,3.9,1.4491376746189437,0.00014607493822892725,10
3,150.0,49,6,Indre Kvarøy,4.4,1.2649110640673518,0.00014349184478425626,10
3,150.0,49,15,Southern 5,6.1,1.3703203194062976,9.323252621346681e-05,10
3,150.0,49,0,Nesøy,7.6,3.2041639575194445,5.680462726274253e-05,10
3,150.0,49,9,Sleneset,7.7,3.400980250849256,6.683702779197973e-05,10
3,150.0,49,13,Southern 3,7.9,0.9944289260117531,5.765154996483524e-05,10
3,150.0,49,1,Myken,8.8,4.491968140779471,1.1632612925918509e-05,10
3,150.0,49,7,Onøy og Lurøy,9.6,2.590581230363393,1.4618282518836916e-05,10
3,150.0,49,14,Southern 4,10.0,1.632993161855452,2.4992954096742815e-05,10
3,150.0,49,11,Southern 1,11.1,1.1972189997378648,-4.297718663287638e-06,10
3,150.0,49,5,Hestmannøy,11.2,1.3165611772087666,4.564117518114857e-06,10
3,150.0,49,12,Southern 2,13.7,0.48304589153964794,-8.820136215761887e-05,10
3,150.0,49,4,Gjerøy,14.9,0.316227766016838,-0.00015304028584083035,10
3,150.0,50,8,Lovund,1.2,0.4216370213557839,0.0004300569097714753,10
3,150.0,50,2,Træna,2.0,0.6666666666666666,0.000329973525024222,10
3,150.0,50,10,Aldra,3.9,1.4491376746189437,0.00014519505271205606,10
3,150.0,50,6,Indre Kvarøy,4.3,1.4181364924121764,0.00014454622129134466,10
3,150.0,50,15,Southern 5,6.0,1.4142135623730951,9.284556960311634e-05,10
3,150.0,50,0,Nesøy,7.6,3.2041639575194445,5.680331660139307e-05,10
3,150.0,50,13,Southern 3,7.7,1.1595018087284057,5.792161960859666e-05,10
3,150.0,50,9,Sleneset,7.9,3.3149493041204856,6.550929655381908e-05,10
3,150.0,50,1,Myken,8.9,4.433458644845529,1.1623631033758181e-05,10
3,150.0,50,7,Onøy og Lurøy,9.6,2.590581230363393,1.4352578057937865e-05,10
3,150.0,50,14,Southern 4,10.0,1.632993161855452,2.4730346886699753e-05,10
3,150.0,50,11,Southern 1,11.1,1.1972189997378648,-4.463559522986712e-06,10
3,150.0,50,5,Hestmannøy,11.2,1.3165611772087666,4.413240691343918e-06,10
3,150.0,50,12,Southern 2,13.7,0.48304589153964794,-8.760343025195714e-05,10
3,150.0,50,4,Gjerøy,14.9,0.316227766016838,-0.00015270994286032994,10
3,150.0,51,8,Lovund,1.2,0.4216370213557839,0.00042920734808894685,10
3,150.0,51,2,Træna,2.0,0.6666666666666666,0.0003301430661879775,10
3,150.0,51,10,Aldra,3.9,1.4491376746189437,0.00014744366430158757,10
3,150.0,51,6,Indre Kvarøy,4.2,1.4757295747452437,0.00014558233998266241,10
3,150.0,51,15,Southern 5,5.9,1.4491376746189437,9.221906682870326e-05,10
3,150.0,51,0,Nesøy,7.7,3.0568684048294337,5.728178972592698e-05,10
3,150.0,51,13,Southern 3,7.7,1.1595018087284057,5.758721939250666e-05,10
3,150.0,51,9,Sleneset,7.9,3.3149493041204856,6.629383509253246e-05,10
3,150.0,51,1,Myken,9.0,4.346134936801766,8.227036985960418e-06,10
3,150.0,51,7,Onøy og Lurøy,9.6,2.590581230363393,1.4295250020566146e-05,10
3,150.0,51,14,Southern 4,10.0,1.632993161855452,2.4791204237417208e-05,10
3,150.0,51,11,Southern 1,11.1,1.1972189997378648,-4.38107801309884e-06,10
3,150.0,51,5,Hestmannøy,11.2,1.3165611772087666,4.260625496501723e-06,10
3,150.0,51,12,Southern 2,13.7,0.48304589153964794,-8.73122783808732e-05,10
3,150.0,51,4,Gjerøy,14.9,0.316227766016838,-0.00015313981496984646,10
3,150.0,52,8,Lovund,1.2,0.4216370213557839,0.0004312406599068933,10
3,150.0,52,2,Træna,2.0,0.6666666666666666,0.0003306196448579315,10
3,150.0,52,10,Aldra,3.9,1.4491376746189437,0.00014759164167176577,10
3,150.0,52,6,Indre Kvarøy,4.2,1.4757295747452437,0.00014575418803883093,10
3,150.0,52,15,Southern 5,5.9,1.4491376746189437,9.261484829492602e-05,10
3,150.0,52,0,Nesøy,7.7,3.0568684048294337,5.726897655167944e-05,10
3,150.0,52,9,Sleneset,7.8,3.32665998663324,6.63421541598229e-05,10
3,150.0,52,13,Southern 3,7.8,1.1352924243950933,5.703616759136006e-05,10
3,150.0,52,1,Myken,9.1,4.306326095924976,3.8028303865990316e-06,10
3,150.0,52,7,Onøy og Lurøy,9.5,2.6770630673681683,1.5426592700092877e-05,10
3,150.0,52,14,Southern 4,10.0,1.632993161855452,2.4614950188898197e-05,10
3,150.0,52,11,Southern 1,11.1,1.1972189997378648,-4.063220352281218e-06,10
3,150.0,52,5,Hestmannøy,11.2,1.3165611772087666,4.206223997436276e-06,10
3,150.0,52,12,Southern 2,13.7,0.48304589153964794,-8.735980077605538e-05,10
3,150.0,52,4,Gjerøy,14.9,0.316227766016838,-0.00015353401411374214,10
3,150.0,53,8,Lovund,1.2,0.4216370213557839,0.0004291373085058219,10
3,150.0,53,2,Træna,2.0,0.6666666666666666,0.00033002060693533705,10
3,150.0,53,10,Aldra,3.9,1.4491376746189437,0.00014732301775738545,10
3,150.0,53,6,Indre Kvarøy,4.2,1.4757295747452437,0.00014704234779749453,10
3,150.0,53,15,Southern 5,6.0,1.4142135623730951,9.33916563379919e-05,10
3,150.0,53,9,Sleneset,7.6,3.3399933466334266,6.765456287107711e-05,10
3,150.0,53,0,Nesøy,7.7,3.0568684048294337,5.704559423538318e-05,10
3,150.0,53,13,Southern 3,7.8,1.1352924243950933,5.673308888130687e-05,10
3,150.0,53,1,Myken,9.1,4.306326095924976,2.9387260510241236e-06,10
3,150.0,53,7,Onøy og Lurøy,9.5,2.6770630673681683,1.539912823234402e-05,10
3,150.0,53,14,Southern 4,10.0,1.632993161855452,2.4626275215555475e-05,10
3,150.0,53,11,Southern 1,11.1,1.1972189997378648,-4.119627924175151e-06,10
3,150.0,53,5,Hestmannøy,11.3,1.1595018087284057,4.661175453226255e-06,10
3,150.0,53,12,Southern 2,13.7,0.48304589153964794,-8.76896394360468e-05,10
3,150.0,53,4,Gjerøy,14.9,0.316227766016838,-0.0001541102831539451,10
3,150.0,54,8,Lovund,1.2,0.4216370213557839,0.00042880650784075605,10
3,150.0,54,2,Træna,2.0,0.6666666666666666,0.00032970973096470085,10
3,150.0,54,10,Aldra,3.9,1.4491376746189437,0.00014816667036208006,10
3,150.0,54,6,Indre Kvarøy,4.2,1.4757295747452437,0.0001476909302008248,10
