trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,n_components,alpha,ringnr,ringnumber,source_island,source_island_name,rank,pca_dist,weight
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732659,8732659,5,Hestmannøy,1989,55.0969352722168,0.9637138345366818
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732660,8732660,5,Hestmannøy,2651,78.38661193847656,0.7948048141823331
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732666,8732666,2,Træna,440,21.419952392578125,1.2733882448189688
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732667,8732667,2,Træna,48,10.818610191345215,1.3901288622522856
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732670,8732670,7,Onøy og Lurøy,600,25.01974105834961,1.2360201843337575
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732671,8732671,7,Onøy og Lurøy,814,29.246259689331055,1.1935434951582715
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732672,8732672,7,Onøy og Lurøy,921,31.530004501342773,1.1712026111522582
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732674,8732674,7,Onøy og Lurøy,295,16.882204055786133,1.3221066214240669
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732676,8732676,4,Gjerøy,2608,76.18964385986328,0.8093844357013027
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732678,8732678,4,Gjerøy,1958,54.37178421020508,0.969513431770687
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732680,8732680,4,Gjerøy,3153,126.41871643066406,0.5341520749416646
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732681,8732681,4,Gjerøy,152,13.477261543273926,1.359883057285861
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732685,8732685,5,Hestmannøy,169,13.909490585327148,1.3550285864620735
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732687,8732687,5,Hestmannøy,2936,96.60513305664062,0.6835891664049839
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732690,8732690,5,Hestmannøy,3296,166.82252502441406,0.38236701030925296
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732691,8732691,5,Hestmannøy,1194,37.446136474609375,1.1152528689821921
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732696,8732696,4,Gjerøy,861,30.281097412109375,1.1833678255627265
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732697,8732697,4,Gjerøy,1224,38.08363342285156,1.10938574948701
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732698,8732698,4,Gjerøy,2354,65.98677062988281,0.8806782180755136
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732699,8732699,4,Gjerøy,353,18.5795955657959,1.3036686908357094
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8732700,8732700,4,Gjerøy,1148,36.2906379699707,1.1259664010889223
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747010,8747010,8,Lovund,2529,72.76644897460938,0.8326367312985098
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747026,8747026,2,Træna,716,27.25243377685547,1.2133966145374675
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747038,8747038,8,Lovund,218,14.97541332244873,1.343130589779308
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747062,8747062,9,Sleneset,193,14.529348373413086,1.3480968567200233
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747064,8747064,9,Sleneset,1564,45.38674545288086,1.0443355996281238
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747088,8747088,3,Selvær,650,25.986408233642578,1.2261738825855995
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747100,8747100,5,Hestmannøy,3191,132.99464416503906,0.5058658975194361
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747101,8747101,5,Hestmannøy,417,20.7200870513916,1.2807832754532094
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747102,8747102,5,Hestmannøy,787,28.693164825439453,1.1990181704550908
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747103,8747103,5,Hestmannøy,747,27.963733673095703,1.2062763041043938
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747104,8747104,5,Hestmannøy,2543,73.3199234008789,0.8288324215134376
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747114,8747114,6,Indre Kvarøy,2381,66.74930572509766,0.8751392623270389
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747117,8747117,6,Indre Kvarøy,272,16.300886154174805,1.3284810377978027
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747118,8747118,5,Hestmannøy,2403,67.60923767089844,0.8689347167722309
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747120,8747120,8,Lovund,263,16.108028411865234,1.3306024779486874
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747121,8747121,8,Lovund,2848,89.8061294555664,0.7231464671716445
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747135,8747135,3,Selvær,11,8.868938446044922,1.4127353893928052
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747144,8747144,2,Træna,620,25.446998596191406,1.2316584685572418
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747145,8747145,2,Træna,798,28.868310928344727,1.1972816720291044
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747158,8747158,3,Selvær,587,24.703760147094727,1.2392557881056254
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747161,8747161,3,Selvær,882,30.69968605041504,1.1792761988309182
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747167,8747167,8,Lovund,499,22.89168357849121,1.2579761266148721
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747182,8747182,2,Træna,738,27.713985443115234,1.2087714785815458
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747216,8747216,6,Indre Kvarøy,1872,52.11296463012695,0.9878033505986047
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747218,8747218,5,Hestmannøy,153,13.48918342590332,1.3597491242410573
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747222,8747222,5,Hestmannøy,356,18.72606086730957,1.3020896517293399
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747225,8747225,5,Hestmannøy,560,24.19838523864746,1.2444486112203306
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747227,8747227,5,Hestmannøy,1941,53.802757263183594,0.9740888291062358
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747229,8747229,5,Hestmannøy,51,10.94984245300293,1.3886201241009686
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747234,8747234,10,Aldra,3187,132.28814697265625,0.5088315974928549
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747239,8747239,4,Gjerøy,323,17.821775436401367,1.311868338593192
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747256,8747256,6,Indre Kvarøy,29,10.209817886352539,1.3971484913439338
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747258,8747258,6,Indre Kvarøy,2750,83.5211181640625,0.7617464615865993
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747259,8747259,6,Indre Kvarøy,328,17.949329376220703,1.3104847342894057
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747260,8747260,6,Indre Kvarøy,2334,65.43427276611328,0.884713252075389
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747263,8747263,5,Hestmannøy,757,28.1602840423584,1.204316306067681
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747223,8747223,5,Hestmannøy,511,23.216068267822266,1.2546043668431004
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747273,8747273,2,Træna,875,30.565263748168945,1.1805888538177476
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747274,8747274,2,Træna,1046,34.14575958251953,1.1461268440107588
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747224,8747224,5,Hestmannøy,836,29.839187622070312,1.1877024027623908
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747280,8747280,3,Selvær,811,29.13614273071289,1.1946314464336947
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747281,8747281,3,Selvær,842,29.9722900390625,1.1863952125401833
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747286,8747286,3,Selvær,685,26.67848014831543,1.219172500250401
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747287,8747287,3,Selvær,706,27.10791015625,1.2148482968412058
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747288,8747288,3,Selvær,713,27.246103286743164,1.213459876134702
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747290,8747290,9,Sleneset,634,25.688552856445312,1.2291993244773434
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747293,8747293,9,Sleneset,2564,74.07770538330078,0.8236521025211726
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747294,8747294,9,Sleneset,1601,46.07686233520508,1.038389472603746
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747295,8747295,9,Sleneset,661,26.22958755493164,1.2237089958716916
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747300,8747300,8,Lovund,166,13.778877258300781,1.3564935138732854
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747308,8747308,8,Lovund,1241,38.60401153564453,1.104619363259079
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747309,8747309,8,Lovund,1373,41.148475646972656,1.0816072394358522
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747310,8747310,8,Lovund,358,18.816118240356445,1.3011197023205001
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747365,8747365,5,Hestmannøy,2731,82.237060546875,0.7698825235658955
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747366,8747366,5,Hestmannøy,498,22.84603500366211,1.2584512832675983
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747373,8747373,5,Hestmannøy,267,16.147062301635742,1.3301728918755211
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747374,8747374,3,Selvær,734,27.62107276916504,1.2097011369291895
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747375,8747375,3,Selvær,909,31.197349548339844,1.1744305272044036
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747399,8747399,6,Indre Kvarøy,1442,42.77141189575195,1.0671803534569109
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747417,8747417,1,Myken,149,13.422830581665039,1.3604956666622996
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747424,8747424,5,Hestmannøy,252,15.92530345916748,1.3326158269078119
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747487,8747487,9,Sleneset,367,19.061616897583008,1.2984795726461715
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747492,8747492,3,Selvær,1209,37.62839126586914,1.1135723149262344
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747497,8747497,3,Selvær,450,21.597517013549805,1.2715186469563418
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747498,8747498,3,Selvær,806,28.97039794921875,1.1962708758202936
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747504,8747504,7,Onøy og Lurøy,802,28.9262752532959,1.1967076864975366
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747515,8747515,7,Onøy og Lurøy,656,26.195911407470703,1.2240502194796141
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747517,8747517,5,Hestmannøy,132,12.94823932647705,1.3658485425442388
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747518,8747518,5,Hestmannøy,2267,62.999385833740234,0.9027175211728958
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747519,8747519,5,Hestmannøy,26,10.057126998901367,1.398914814417518
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747520,8747520,5,Hestmannøy,2684,79.64906311035156,0.7865458876221711
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747526,8747526,6,Indre Kvarøy,1607,46.27268600463867,1.036708362809013
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747529,8747529,6,Indre Kvarøy,1672,47.6224250793457,1.0251951226048877
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747532,8747532,5,Hestmannøy,827,29.64032745361328,1.1896582327582903
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747534,8747534,5,Hestmannøy,2899,93.28433990478516,0.702631972338493
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747544,8747544,10,Aldra,3150,125.95481872558594,0.5362062243891955
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747548,8747548,10,Aldra,3242,143.46221923828125,0.46389733883066653
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747549,8747549,10,Aldra,3317,184.31069946289062,0.33085639369592024
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747551,8747551,10,Aldra,3323,210.58702087402344,0.2662072325190641
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747552,8747552,10,Aldra,3304,173.52255249023438,0.3617470408877405
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747553,8747553,10,Aldra,3284,161.50424194335938,0.39956812109780243
body_mass,0,Nesøy,0,461311978,pca_source_weight_exponential,exponential,10,,8747554,8747554,5,Hestmannøy,535,23.81702995300293,1.2483813892855842
