n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
14,4962,0.20748676744904157,0.5407178997993469,random_individual,2,14
15,5164,0.20146866295643054,0.5421981811523438,random_individual,2,14
1,396,0.06589363162060154,0.5609782934188843,random_individual,3,14
2,513,0.06358992836870839,0.5608102083206177,random_individual,3,14
3,605,0.06810242498667146,0.5607236623764038,random_individual,3,14
4,757,0.08031107178339031,0.5611703395843506,random_individual,3,14
5,1014,0.07238319226082929,0.5622157454490662,random_individual,3,14
6,1597,0.1770488510724368,0.551520049571991,random_individual,3,14
7,2660,0.17374912590077393,0.5496297478675842,random_individual,3,14
8,2946,0.19725446889653236,0.5463637113571167,random_individual,3,14
9,3501,0.19799677103395186,0.5450934767723083,random_individual,3,14
10,3695,0.17429529536380473,0.5474663972854614,random_individual,3,14
11,3868,0.17654071276651187,0.547061026096344,random_individual,3,14
12,4451,0.18716441916666762,0.5448552370071411,random_individual,3,14
13,4799,0.19506072060683385,0.5433570742607117,random_individual,3,14
14,4962,0.20277536583008102,0.5418262481689453,random_individual,3,14
15,5164,0.20146866295643054,0.5421981811523438,random_individual,3,14
1,396,-0.030740024767079543,0.5651139616966248,random_individual,4,14
2,513,0.03931041533956307,0.5627987384796143,random_individual,4,14
3,605,0.07265007698217299,0.5603247880935669,random_individual,4,14
4,757,0.06517134783011157,0.561612606048584,random_individual,4,14
5,1014,0.05767082158438351,0.5616260766983032,random_individual,4,14
6,1597,0.05022406733107262,0.5628505349159241,random_individual,4,14
7,2660,0.08744709834546441,0.5580469965934753,random_individual,4,14
8,2946,0.12471959117845496,0.5537411570549011,random_individual,4,14
9,3501,0.16586374536263632,0.5488523840904236,random_individual,4,14
10,3695,0.17224786175032866,0.5479109883308411,random_individual,4,14
11,3868,0.17685911699169787,0.5470064282417297,random_individual,4,14
12,4451,0.16162074345462224,0.5491099953651428,random_individual,4,14
13,4799,0.19029395132936916,0.5454620122909546,random_individual,4,14
14,4962,0.20721977773127073,0.54243403673172,random_individual,4,14
15,5164,0.20146866295643054,0.5421981811523438,random_individual,4,14
