ringnr,island,score,rank
8N28041,6,-0.00040384431849815883,61
8L30487,12,-0.0004010207012470346,62
8N27142,7,-0.00040054241071629804,63
8747758,5,-0.00039898380236991215,64
8P14856,14,-0.0003921544521290343,65
8N73444,11,-0.000391289904655423,66
8N42989,14,-0.0003903879478457384,67
8730993,4,-0.00038596266676904634,68
8934058,5,-0.00038429165942943655,69
8M72580,11,-0.0003835746301774634,70
8730486,5,-0.00038297050923574716,71
8L89384,5,-0.00038276839768514037,72
8L64280,5,-0.000378032993467059,73
8N42545,7,-0.00037699289350712206,74
8N42706,4,-0.0003760801118914969,75
8N42679,5,-0.0003758298553293571,76
8M31789,11,-0.0003752827087737387,77
8N05464,5,-0.00037463374792423565,78
8934888,7,-0.0003726142422237899,79
8L52905,7,-0.00037256660743878456,80
8N05726,5,-0.00037135070670046844,81
8N27275,5,-0.00036940997779311147,82
8800171,10,-0.000369400604540715,83
8N06944,4,-0.00036885250301565975,84
8L19729,4,-0.0003685772517201258,85
8N14673,13,-0.00036800330053665675,86
8981399,12,-0.00036780708069272805,87
8800967,12,-0.0003670155692816479,88
8N73568,6,-0.000360884356268798,89
8N06293,2,-0.00035864924211637117,90
8747529,6,-0.00035801338526653126,91
8N06527,5,-0.0003579396397981327,92
8N73493,12,-0.00035764658605330624,93
8N73533,5,-0.0003570022090571001,94
8681028,5,-0.00035614825173979625,95
8981920,6,-0.00035587345155363437,96
8939118,10,-0.00035545582431950606,97
8M71304,6,-0.0003546651096257847,98
8L26597,6,-0.0003544764549587853,99
8L48661,5,-0.00035367082637094427,100
8N14181,6,-0.000353327501215972,101
8L52920,6,-0.0003532486043695826,102
8N06554,4,-0.00034877889993367717,103
8N27908,4,-0.000348393650710932,104
8N06853,11,-0.0003482164684101008,105
8934301,5,-0.00034770475031109527,106
8P14126,7,-0.00034722437339951284,107
8681454,5,-0.00034716405389190186,108
8N72354,6,-0.0003460170264588669,109
8M31781,11,-0.00034575297286210116,110
8800151,9,-0.00034554483863757923,111
8732565,4,-0.0003452396431384841,112
8N05272,13,-0.0003451115990174003,113
8L89639,5,-0.0003445219958848611,114
8800352,5,-0.00034411913929943694,115
8P26701,7,-0.0003440901418798603,116
8747817,7,-0.00034301278355997056,117
8651998,5,-0.00034216142375953496,118
8681069,9,-0.00034189717644039774,119
8732595,7,-0.0003418621308810543,120
8L30396,2,-0.00034127339495171327,121
8L89502,5,-0.0003403645368962316,122
8M31164,2,-0.00033971602897509,123
8L64923,10,-0.00033970449476328213,124
8934884,2,-0.00033845644793473184,125
8L19921,5,-0.00033776837517507374,126
8N42523,5,-0.0003365584088896867,127
8800102,10,-0.00033604514828766696,128
