trait,target_island,target_island_name,repeat,split_seed,n_islands,n_individuals,corr_eval,mse_adj,method,order_seed
thr_wing,0,Nesøy,4,4014,9,4109,0.1826682445883381,1.3589293956756592,random_individual,2
thr_wing,0,Nesøy,4,4014,10,4282,0.18225809679897167,1.34495210647583,random_individual,2
thr_wing,0,Nesøy,4,4014,11,4835,0.19705652684982505,1.3470897674560547,random_individual,2
thr_wing,0,Nesøy,4,4014,12,5232,0.20512691590256457,1.3352291584014893,random_individual,2
thr_wing,0,Nesøy,4,4014,13,5423,0.18497535206928806,1.3482328653335571,random_individual,2
thr_wing,0,Nesøy,4,4014,14,5515,0.183882281619034,1.3538943529129028,random_individual,2
thr_wing,0,Nesøy,5,5014,1,173,0.21756313371708572,1.2871490716934204,random_individual,0
thr_wing,0,Nesøy,5,5014,2,324,-0.011075196134224325,1.3586483001708984,random_individual,0
thr_wing,0,Nesøy,5,5014,3,484,-0.013980436063863786,1.3666136264801025,random_individual,0
thr_wing,0,Nesøy,5,5014,4,1037,0.03969178590404803,1.3359179496765137,random_individual,0
thr_wing,0,Nesøy,5,5014,5,1620,-0.04779947456333134,1.3677220344543457,random_individual,0
thr_wing,0,Nesøy,5,5014,6,2201,0.021413785065258147,1.3400492668151855,random_individual,0
thr_wing,0,Nesøy,5,5014,7,3256,0.10115077388228676,1.2772784233093262,random_individual,0
thr_wing,0,Nesøy,5,5014,8,3542,0.09097295305349705,1.2800662517547607,random_individual,0
thr_wing,0,Nesøy,5,5014,9,3891,0.11637759240121004,1.2760432958602905,random_individual,0
thr_wing,0,Nesøy,5,5014,10,4288,0.1282987138935516,1.2822589874267578,random_individual,0
thr_wing,0,Nesøy,5,5014,11,4544,0.14034628127132942,1.2893874645233154,random_individual,0
thr_wing,0,Nesøy,5,5014,12,5232,0.13775424535495193,1.3007158041000366,random_individual,0
thr_wing,0,Nesøy,5,5014,13,5423,0.15976399389057133,1.2906758785247803,random_individual,0
thr_wing,0,Nesøy,5,5014,14,5515,0.1701811652599922,1.2922320365905762,random_individual,0
thr_wing,0,Nesøy,5,5014,1,173,0.22468813070852667,1.3650587797164917,random_individual,1
thr_wing,0,Nesøy,5,5014,2,324,0.0705407226118891,1.3470760583877563,random_individual,1
thr_wing,0,Nesøy,5,5014,3,484,0.19570740596461159,1.3063708543777466,random_individual,1
