trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind
thr_wing,7,Onøy og Lurøy,5,Hestmannøy,1055,0.1827533935239221,0.1192288353011232,0.0001732259654255,0.0001130131140295,10,7
thr_wing,7,Onøy og Lurøy,6,Indre Kvarøy,349,0.0769558060316702,0.0599778250172794,0.000220503742211,0.0001718562321412,10,4
thr_wing,7,Onøy og Lurøy,8,Lovund,151,-0.0010806898942069,0.0688330981099277,-7.156886716602271e-06,0.0004558483318538,10,10
thr_wing,7,Onøy og Lurøy,9,Sleneset,160,0.0687491489629176,0.0649232025711937,0.0004296821810182,0.0004057700160699,10,1
thr_wing,7,Onøy og Lurøy,10,Aldra,173,0.0470327058911804,0.0521407305654612,0.0002718653519721,0.0003013915061587,10,2
thr_wing,7,Onøy og Lurøy,11,Leka,581,-0.0186941010608115,0.0561803325198621,-3.217573332325566e-05,9.669592516327388e-05,10,11
thr_wing,7,Onøy og Lurøy,12,Vega,397,-0.0419758877269335,0.0536232505636625,-0.0001057327146774,0.0001350711601099,10,13
thr_wing,7,Onøy og Lurøy,13,Vikna,583,-0.044661117464857,0.0458488784196289,-7.660569033423157e-05,7.86430161571681e-05,10,12
thr_wing,7,Onøy og Lurøy,14,Lauvøya,688,0.0148406602364281,0.0333722957737799,2.1570727087831625e-05,4.85062438572383e-05,10,9
thr_wing,8,Lovund,0,Nesøy,118,0.0020582793695727,0.0330880788655606,1.7443045504853963e-05,0.0002804074480132,10,8
thr_wing,8,Lovund,1,Myken,92,-0.0067571409316035,0.035507353605566,-7.344718403916927e-05,0.0003859494957126,10,13
thr_wing,8,Lovund,2,Træna,286,0.0104075890227012,0.1076532364359425,3.6390171408046464e-05,0.0003764099176081,10,7
thr_wing,8,Lovund,3,Selvær,191,0.0803842437514926,0.0764198178138229,0.0004208599149292,0.0004001037581875,10,1
thr_wing,8,Lovund,4,Gjerøy,553,-0.0179636234631489,0.0592651541596585,-3.248394839629107e-05,0.0001071702606865,10,11
thr_wing,8,Lovund,5,Hestmannøy,1055,-0.0625424265160498,0.1101260115279018,-5.9281920868293664e-05,0.0001043848450501,10,12
thr_wing,8,Lovund,6,Indre Kvarøy,349,0.058178465830837,0.089948917554876,0.0001667004751599,0.0002577332881228,10,4
thr_wing,8,Lovund,7,Onøy og Lurøy,256,0.0595629807107903,0.069528019703909,0.0002326678934015,0.0002715938269683,10,3
thr_wing,8,Lovund,9,Sleneset,160,0.0118687658084145,0.1870256661556534,7.417978630259107e-05,0.0011689104134728,10,5
