analysis,method,selection_method,order_seed,weighted_fit_used,n_individuals,corr_eval,mse_adj,target_island,target_island_name,repeat,repeat_seed,trait,n_components,selection_n_components,avg_grm_obj,pca_dist_obj
ranked_subset,random_individual,random,1,False,2000,0.06302854279461516,1.3429162176020608,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,1,False,2500,0.020526890894904764,1.3665285892548285,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,1,False,3000,-0.025198244090025287,1.3750749150489519,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,1,False,3500,-0.008890659238321962,1.367526059909622,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,1,False,4000,-0.0040049493063434105,1.3661836324697179,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,1,False,4500,-0.008656531245631904,1.3820002439190446,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,2,False,500,0.02063854039790721,1.3729293230388588,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,2,False,1000,0.011692224059299578,1.3509848193827643,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,2,False,1500,-0.06414151651056402,1.3761061884228631,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,2,False,2000,-0.04705127485466135,1.3683841945592576,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,2,False,2500,-0.06804124083886179,1.3742528523673956,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,2,False,3000,-0.03157847190412729,1.3633679704500372,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,2,False,3500,-0.04744108389848876,1.3731145732926866,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,2,False,4000,-0.030817151182414973,1.3730951511959149,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,2,False,4500,-0.03423250743595044,1.3825747432260016,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,3,False,500,-0.005591247767416597,1.3457549753871412,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,3,False,1000,-0.060938029919499634,1.371473214695152,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,3,False,1500,-0.059613201799759145,1.3842239966028436,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,3,False,2000,-0.036254175146814935,1.3766917828998535,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,3,False,2500,-0.05363466364476452,1.383069673620749,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,3,False,3000,-0.06519735773828798,1.4045857709684932,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,3,False,3500,-0.045180686352071515,1.3929293442404151,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,3,False,4000,-0.026939371908510736,1.3784558587232274,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,3,False,4500,-0.0062234508846839,1.369419498650175,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,4,False,500,-0.0066106771671574065,1.3489453783828402,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,4,False,1000,0.04804548208163746,1.3442352422047366,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,4,False,1500,0.045375695802547585,1.349725401978537,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
ranked_subset,random_individual,random,4,False,2000,0.08123808662271524,1.3403493324654228,7,Onøy og Lurøy,0,324992130,body_mass,500,,,
