trait,method,n_train_size,pearson_r_mean,pearson_r_std,mse_adj_mean,mse_adj_std,n_evaluations,n_pcs,alpha,fit_time_total_seconds
thr_tarsus,avggrm_diversity_lam1,2500,0.2432401340379978,0.078304195836024,380.20179036458336,5.389381847936165,15,3500,156026.34,2.941019200050505
thr_tarsus,avggrm_diversity_lam1,3000,0.24857168791157874,0.08250322623661113,380.2122782389323,5.394439119527481,15,3500,156026.34,4.203620399988722
thr_tarsus,avggrm_diversity_lam1,3500,0.2532152114357308,0.08261886608130845,380.2138326009115,5.396944731136182,15,3500,156026.34,6.415205900004366
thr_tarsus,avggrm_diversity_lam1,4000,0.2504817118940616,0.0842671735609696,380.2224487304687,5.388338354383202,15,3500,156026.34,6.868598200031556
thr_tarsus,avggrm_diversity_lam1,4500,0.2502595217409746,0.08414344261772905,380.18569132486977,5.357361413309784,15,3500,156026.34,7.2352974000095855
thr_tarsus,avggrm_diversity_lam2,500,0.223960531874468,0.06573653063977668,380.64934895833335,5.294375768975218,15,3500,156026.34,0.248803099966608
thr_tarsus,avggrm_diversity_lam2,1000,0.22450109816796762,0.07635223464470038,380.4961466471354,5.365463138514703,15,3500,156026.34,0.6025361000210978
thr_tarsus,avggrm_diversity_lam2,1500,0.23095452354764703,0.07107134118067703,380.3249064127604,5.383791376488222,15,3500,156026.34,1.1703044999449048
thr_tarsus,avggrm_diversity_lam2,2000,0.24155369651485556,0.06639657086700991,380.28558756510415,5.372545060102075,15,3500,156026.34,1.828714500006754
thr_tarsus,avggrm_diversity_lam2,2500,0.24213546543491982,0.07616087451132401,380.2574971516927,5.388971155701337,15,3500,156026.34,2.925912599923322
thr_tarsus,avggrm_diversity_lam2,3000,0.2457688536687279,0.07981267352794645,380.2259012858073,5.3780636309429415,15,3500,156026.34,4.279832100059139
thr_tarsus,avggrm_diversity_lam2,3500,0.2502226890212371,0.08776114658045128,380.2032491048177,5.384593377891737,15,3500,156026.34,6.476308099925518
thr_tarsus,avggrm_diversity_lam2,4000,0.2531915112839863,0.08411111494443464,380.22984415690104,5.384444416163929,15,3500,156026.34,6.8731099999859
thr_tarsus,avggrm_diversity_lam2,4500,0.2548514846753173,0.08629147235842281,380.22618815104164,5.364208889566576,15,3500,156026.34,7.330980099970475
thr_tarsus,avggrm_topk,500,0.1993272394971886,0.08492364469522454,380.60260213216145,5.584185750061314,15,3500,156026.34,0.2700982999522239
thr_tarsus,avggrm_topk,1000,0.2214332795225475,0.08329297649554042,380.3264973958333,5.5464317133334475,15,3500,156026.34,0.6313944999710657
thr_tarsus,avggrm_topk,1500,0.23485784626715794,0.08042293455468781,380.3198221842448,5.605632019602021,15,3500,156026.34,1.1597125999978743
thr_tarsus,avggrm_topk,2000,0.24218876302979161,0.07972859678960902,380.1032999674479,5.382197982799698,15,3500,156026.34,1.841591900010826
thr_tarsus,avggrm_topk,2500,0.2422322425830857,0.08340464587647571,380.1342488606771,5.400327388871464,15,3500,156026.34,2.8972274999832734
thr_tarsus,avggrm_topk,3000,0.24066488121974927,0.08231929697373573,380.2088134765625,5.3801591488124485,15,3500,156026.34,4.176077899930533
thr_tarsus,avggrm_topk,3500,0.2434471804343933,0.08249594756325536,380.26438802083334,5.3524240840512265,15,3500,156026.34,6.181337999965763
thr_tarsus,avggrm_topk,4000,0.24679805597392662,0.08389882212115504,380.2596110026042,5.349499372867159,15,3500,156026.34,6.752532099984819
thr_tarsus,avggrm_topk,4500,0.24649542562220167,0.08467928316693545,380.24102783203125,5.367231755789109,15,3500,156026.34,7.150270799960708
thr_tarsus,pca_target_topk,500,0.19889794602852434,0.06206683813126152,379.0476481119792,5.505372109250429,15,3500,156026.34,0.25061100008315407
thr_tarsus,pca_target_topk,1000,0.2127618184926934,0.08127884646738391,379.6480428059896,5.28079332811808,15,3500,156026.34,0.5932220999675337
thr_tarsus,pca_target_topk,1500,0.22419022756428106,0.09040620193392529,380.0159118652344,5.130729836058267,15,3500,156026.34,1.1408114000223577
thr_tarsus,pca_target_topk,2000,0.22693149126507173,0.09600090262819895,380.1406534830729,5.244202701618621,15,3500,156026.34,1.7867668000399135
thr_tarsus,pca_target_topk,2500,0.234141087761727,0.09368300808170048,380.2760314941406,5.3126951838949275,15,3500,156026.34,2.8945005999703426
thr_tarsus,pca_target_topk,3000,0.23702395339848017,0.09439510849754745,380.3292663574219,5.382704667824606,15,3500,156026.34,4.181110700010322
thr_tarsus,pca_target_topk,3500,0.24098023760040813,0.09038630887084059,380.3417460123698,5.424575298858836,15,3500,156026.34,6.366989300004207
thr_tarsus,pca_target_topk,4000,0.24253202508813482,0.08775188962477772,380.341758219401,5.464485189895287,15,3500,156026.34,6.794759200012777
thr_tarsus,pca_target_topk,4500,0.24889088417810865,0.08238335930632416,380.3506184895833,5.405904095188064,15,3500,156026.34,7.2006221000046935
