n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
11,4,653,0.04149952126303941,1.0207388401031494,random_individual,1,4,653,14
10,5,1708,0.03568865254219559,1.0145717859268188,random_individual,1,5,1708,14
9,6,2289,0.09246577814297637,1.0023348331451416,random_individual,1,6,2289,14
8,7,2381,0.09764156271855748,1.0012612342834473,random_individual,1,7,2381,14
7,8,2532,0.1133849566455604,0.9957790374755859,random_individual,1,8,2532,14
6,9,2788,0.11553020137585415,0.9968665242195129,random_individual,1,9,2788,14
5,10,3371,0.10784770830254771,1.0013587474822998,random_individual,1,10,3371,14
4,11,3768,0.13199323922051023,0.9974164366722107,random_individual,1,11,3768,14
3,12,4321,0.14209286748347136,1.0008649826049805,random_individual,1,12,4321,14
2,13,4607,0.16068824041436147,0.9960855841636658,random_individual,1,13,4607,14
1,14,4956,0.1507865074835773,0.9971699714660645,random_individual,1,14,4956,14
0,15,5147,0.15191796077238837,0.9995190501213074,random_individual,1,15,5147,14
14,1,118,-0.02978393157217564,1.0393801927566528,random_individual,2,1,118,14
13,2,320,0.04954498106064437,1.0198255777359009,random_individual,2,2,320,14
12,3,480,-0.02426384180903854,1.0204304456710815,random_individual,2,3,480,14
11,4,653,0.02361948950531686,1.020843744277954,random_individual,2,4,653,14
10,5,1708,0.11893991715240017,1.0135667324066162,random_individual,2,5,1708,14
9,6,2289,0.13107347650239654,1.0058640241622925,random_individual,2,6,2289,14
8,7,2381,0.1280650595223451,1.0071296691894531,random_individual,2,7,2381,14
7,8,2532,0.11870768163022097,1.0082951784133911,random_individual,2,8,2532,14
6,9,2788,0.1377059153606822,1.0044184923171997,random_individual,2,9,2788,14
5,10,3371,0.16362516749173214,0.9997804760932922,random_individual,2,10,3371,14
4,11,3768,0.1503813156983232,1.0059963464736938,random_individual,2,11,3768,14
3,12,4321,0.14813306006308763,1.0041738748550415,random_individual,2,12,4321,14
2,13,4607,0.13957292547840006,1.0022929906845093,random_individual,2,13,4607,14
1,14,4956,0.15097658028229638,0.9994052648544312,random_individual,2,14,4956,14
0,15,5147,0.15191796077238837,0.9995190501213074,random_individual,2,15,5147,14
14,1,118,-0.06937132845650265,1.0259063243865967,random_individual,3,1,118,14
13,2,320,0.10059842144404456,1.0220389366149902,random_individual,3,2,320,14
12,3,480,0.09000178714716159,1.0235025882720947,random_individual,3,3,480,14
11,4,653,0.06535751331311877,1.0167181491851807,random_individual,3,4,653,14
10,5,1708,0.02886388041008091,1.0221848487854004,random_individual,3,5,1708,14
9,6,2289,0.07968317634145947,1.0168215036392212,random_individual,3,6,2289,14
8,7,2381,0.07674276193855574,1.017988681793213,random_individual,3,7,2381,14
7,8,2532,0.06714470110926299,1.019553542137146,random_individual,3,8,2532,14
6,9,2788,0.07917928918274499,1.015807032585144,random_individual,3,9,2788,14
5,10,3371,0.11799311251645575,1.0035291910171509,random_individual,3,10,3371,14
4,11,3768,0.13555117629749822,1.0016144514083862,random_individual,3,11,3768,14
3,12,4321,0.13885464351129817,1.0013883113861084,random_individual,3,12,4321,14
2,13,4607,0.15457369076260655,0.9994399547576904,random_individual,3,13,4607,14
1,14,4956,0.1581681013695088,0.9993571043014526,random_individual,3,14,4956,14
0,15,5147,0.15191796077238837,0.9995190501213074,random_individual,3,15,5147,14
14,1,118,0.05556097550603988,1.0228242874145508,random_individual,4,1,118,14
13,2,320,0.04439228225187846,1.0212559700012207,random_individual,4,2,320,14
12,3,480,0.00772195356107448,1.0173500776290894,random_individual,4,3,480,14
11,4,653,0.06086237389679625,1.0084985494613647,random_individual,4,4,653,14
10,5,1708,0.06478531426273758,1.0052666664123535,random_individual,4,5,1708,14
9,6,2289,0.11146011128610198,1.00075364112854,random_individual,4,6,2289,14
8,7,2381,0.11061577742598813,1.000793218612671,random_individual,4,7,2381,14
7,8,2532,0.1270712648928326,0.9976474046707153,random_individual,4,8,2532,14
6,9,2788,0.1394590744775422,0.9991689324378967,random_individual,4,9,2788,14
5,10,3371,0.15005976074008207,1.003392219543457,random_individual,4,10,3371,14
4,11,3768,0.1575302468060064,1.0038535594940186,random_individual,4,11,3768,14
3,12,4321,0.17293295904458167,0.9967552423477173,random_individual,4,12,4321,14
2,13,4607,0.16143788778824159,0.9951920509338379,random_individual,4,13,4607,14
1,14,4956,0.1654203703623268,0.9944437742233276,random_individual,4,14,4956,14
0,15,5147,0.15191796077238837,0.9995190501213074,random_individual,4,15,5147,14
