method,n_train_size,n_individuals,corr_eval_cal,corr_eval_test,mse_adj_test,pevmean_obj,fitness,target_island,target_island_name,n_cal_samples,repeat,repeat_seed,trait,order_seed,ga_generations,ga_elapsed_sec
calibration_ga,2000,2000,0.8673996571374655,0.13006149241403187,0.9438586831092834,,0.00043369982856873273,3,Selvær,50,3,1565904768,body_mass,-1,100,1716.2291781860404
pevmean_ga,2000,2000,0.07175713583798314,0.25553344991181887,0.9082455039024353,17702.12129709997,3.587856791899157e-05,3,Selvær,50,3,1565904768,body_mass,-1,100,361.4422353601549
random,2000,2000,0.14604736938799578,0.2502653698346611,0.9178815484046936,,7.302368469399789e-05,3,Selvær,50,3,1565904768,body_mass,0,0,0.0
random,2000,2000,0.055838945454006216,0.12953942622586934,0.9392226338386536,,2.791947272700311e-05,3,Selvær,50,3,1565904768,body_mass,1,0,0.0
random,2000,2000,0.030642204971043564,0.2941255406238421,0.8950721025466919,,1.5321102485521783e-05,3,Selvær,50,3,1565904768,body_mass,2,0,0.0
random,2000,2000,-0.06807056731991644,0.23006821193462001,0.920879602432251,,-3.403528365995822e-05,3,Selvær,50,3,1565904768,body_mass,3,0,0.0
random,2000,2000,-0.0250685757312614,0.28070427224008226,0.9019677639007568,,-1.2534287865630701e-05,3,Selvær,50,3,1565904768,body_mass,4,0,0.0
calibration_ga,3000,3000,0.714019366396245,0.17915480485522334,0.9348087310791016,,0.000238006455465415,3,Selvær,50,3,1565904768,body_mass,-1,100,2469.2847870860714
pevmean_ga,3000,3000,-0.020783476910902828,0.3392912385206894,0.8751765489578247,17329.61836947297,-6.927825636967609e-06,3,Selvær,50,3,1565904768,body_mass,-1,100,741.6256662379019
random,3000,3000,0.03099728156510454,0.1601687616386919,0.9347832798957825,,1.0332427188368181e-05,3,Selvær,50,3,1565904768,body_mass,0,0,0.0
random,3000,3000,-0.04251093818884426,0.23068403425440692,0.9167378544807434,,-1.4170312729614753e-05,3,Selvær,50,3,1565904768,body_mass,1,0,0.0
random,3000,3000,0.02531293860913837,0.288558152288878,0.8978210091590881,,8.437646203046123e-06,3,Selvær,50,3,1565904768,body_mass,2,0,0.0
random,3000,3000,0.013908802601497346,0.2777492795437835,0.8946234583854675,,4.6362675338324486e-06,3,Selvær,50,3,1565904768,body_mass,3,0,0.0
random,3000,3000,0.0755123865989911,0.22171901482381004,0.9188449382781982,,2.517079553299703e-05,3,Selvær,50,3,1565904768,body_mass,4,0,0.0
calibration_ga,4000,4000,0.5692913018704391,0.2759935534698724,0.9015948176383972,,0.00014232282546760978,3,Selvær,50,3,1565904768,body_mass,-1,100,3290.778003317071
pevmean_ga,4000,4000,-0.0014911171895834882,0.3300585409802585,0.8697881102561951,16967.90281027651,-3.7277929739587204e-07,3,Selvær,50,3,1565904768,body_mass,-1,100,1333.4817678998224
random,4000,4000,-0.009800925873140078,0.22409643036724486,0.9134539365768433,,-2.4502314682850195e-06,3,Selvær,50,3,1565904768,body_mass,0,0,0.0
random,4000,4000,-0.0725618873226047,0.279882515015545,0.89548259973526,,-1.8140471830651175e-05,3,Selvær,50,3,1565904768,body_mass,1,0,0.0
random,4000,4000,-0.038885208328485334,0.278716428256278,0.8971657156944275,,-9.721302082121333e-06,3,Selvær,50,3,1565904768,body_mass,2,0,0.0
random,4000,4000,-0.001546922463384984,0.25369820219803535,0.906779408454895,,-3.8673061584624603e-07,3,Selvær,50,3,1565904768,body_mass,3,0,0.0
random,4000,4000,0.02457260552654347,0.2280059461150946,0.9183525443077087,,6.143151381635867e-06,3,Selvær,50,3,1565904768,body_mass,4,0,0.0
all_individuals,5503,5503,0.2310801550733764,0.2068093334479043,1.036128282546997,16597.565144808566,4.199166910292139e-05,3,Selvær,100,3,1829201244,body_mass,-2,0,0.0
calibration_ga,500,500,0.7802127000256296,-0.019051703487210036,1.0645692348480225,,0.001560425400051259,3,Selvær,100,3,1829201244,body_mass,-1,100,370.83353349007666
pevmean_ga,500,500,0.3526362385347212,0.19661553083471883,1.0395474433898926,18720.95839837749,0.0007052724770694424,3,Selvær,100,3,1829201244,body_mass,-1,100,33.50176393496804
random,500,500,0.007012698585420746,0.15485148624774575,1.0524201393127441,,1.4025397170841492e-05,3,Selvær,100,3,1829201244,body_mass,0,0,0.0
random,500,500,0.17535108363408167,0.22644852014689662,1.0372284650802612,,0.00035070216726816334,3,Selvær,100,3,1829201244,body_mass,1,0,0.0
