trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,n_components,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48598,8L48598,2,Træna,2412,-0.005460341711240566,0.9818480204534031
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48607,8L48607,6,Indre Kvarøy,1563,0.00010217499814690094,1.0441038937454583
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48608,8L48608,6,Indre Kvarøy,1172,0.0016722437797368334,1.0623799521253976
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48609,8L48609,6,Indre Kvarøy,441,0.004962469320470555,1.10172340179816
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48611,8L48611,0,Nesøy,207,0.00755833979198144,1.1337895685755799
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48691,8L48691,10,Aldra,2253,-0.0037336283564134215,1.0007654331879754
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48692,8L48692,0,Nesøy,1873,-0.0013470397827525028,1.0275137672273054
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48694,8L48694,6,Indre Kvarøy,1286,0.001205299140310327,1.0569114080031259
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48695,8L48695,6,Indre Kvarøy,1496,0.0003665410075577784,1.0471590298817002
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48735,8L48735,11,Southern 1,3313,-0.010504464421584548,0.9286093549309833
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48738,8L48738,11,Southern 1,4109,-0.01235138846634077,0.9098462919818127
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48742,8L48742,11,Southern 1,3291,-0.010439480763161152,0.9292765299808645
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48744,8L48744,11,Southern 1,2714,-0.007968943908583928,0.9549997636459205
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48745,8L48745,11,Southern 1,2811,-0.008520535984655216,0.949195531366227
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48746,8L48746,11,Southern 1,3030,-0.009547099061011246,0.9384870822029946
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48750,8L48750,11,Southern 1,2712,-0.007959948144711524,0.9550947168270877
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48752,8L48752,11,Southern 1,3242,-0.010300334914757061,0.9307067268570229
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48754,8L48754,11,Southern 1,2754,-0.008187412627012256,0.9526966522905311
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48755,8L48755,11,Southern 1,3091,-0.009776117529930255,0.9361146385352819
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48756,8L48756,11,Southern 1,2793,-0.008417362201702623,0.9502785085144978
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48757,8L48757,11,Southern 1,4085,-0.012292320230964937,0.9104404615612408
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48759,8L48759,11,Southern 1,4212,-0.012639283555943676,0.9069558905956709
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48761,8L48761,11,Southern 1,3688,-0.01136469479091866,0.9198225380560971
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48763,8L48763,11,Southern 1,2745,-0.008138571332897242,0.9532110578360261
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48764,8L48764,11,Southern 1,3784,-0.01161843039902469,0.9172466720075776
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48765,8L48765,11,Southern 1,2407,-0.005415187797051518,0.9823381316927094
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48766,8L48766,11,Southern 1,4302,-0.01293725833666615,0.9039739611270753
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48767,8L48767,11,Southern 1,4360,-0.013151514735610274,0.9018358895559679
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48768,8L48768,11,Southern 1,3004,-0.009446048189002314,0.9395357973049275
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48780,8L48780,11,Southern 1,4297,-0.012909155504416882,0.9042547759815356
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48781,8L48781,11,Southern 1,4374,-0.013189318791418886,0.9014591668437227
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48785,8L48785,11,Southern 1,3988,-0.01208114409365001,0.9125678653080965
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L48789,8L48789,11,Southern 1,3858,-0.011819992601655371,0.915205600544508
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L49909,8L49909,10,Aldra,2194,-0.0033287018674126533,1.0052542022816773
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L49930,8L49930,1,Myken,2170,-0.0031617969538720054,1.0071102633516007
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L49934,8L49934,1,Myken,1547,0.0001598516525019391,1.0447696707980407
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L49957,8L49957,4,Gjerøy,993,0.002345853937778595,1.0703187133858814
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L49963,8L49963,4,Gjerøy,1195,0.0015969909986195425,1.0614967330300609
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L49991,8L49991,6,Indre Kvarøy,1104,0.0019040533271036054,1.0651052517257547
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L52203,8L52203,8,Lovund,2314,-0.004306294543669227,0.9944514006653655
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L52204,8L52204,8,Lovund,2123,-0.002852183243554911,1.0105623929488055
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L52205,8L52205,8,Lovund,2275,-0.003915030804633413,0.9987610221950257
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L52206,8L52206,8,Lovund,2145,-0.003010311138163142,1.0087978233334676
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L52207,8L52207,9,Sleneset,1491,0.0003930121263087023,1.0474654343452297
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L52209,8L52209,4,Gjerøy,718,0.0034861947049671742,1.083893531364183
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L52210,8L52210,4,Gjerøy,269,0.0064706162115694375,1.1202411140028503
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L52221,8L52221,8,Lovund,2207,-0.003387668776245877,1.0045992806005783
body_mass,5,Hestmannøy,0,639053116,bpcrr_weight_exp_beta_0p5,exp_beta_0p5,500,8L52223,8L52223,8,Lovund,391,0.005195685690997651,1.1045668024022974
