n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
1,14,4301,0.22970532496959023,0.5646044015884399,random_individual,1,14,4301,5
0,15,4587,0.23451659872949304,0.5641089677810669,random_individual,1,15,4587,5
14,1,92,0.16373855536291068,0.5909497141838074,random_individual,2,1,92,5
13,2,244,0.09014876664477,0.5893813371658325,random_individual,2,2,244,5
12,3,592,0.09755916366078711,0.5874283313751221,random_individual,2,3,592,5
11,4,755,0.12230967222555497,0.5841016173362732,random_individual,2,4,755,5
10,5,928,0.12487414960150837,0.5831740498542786,random_individual,2,5,928,5
9,6,1185,0.14605020056450307,0.5799861550331116,random_individual,2,6,1185,5
8,7,1302,0.1713855076694698,0.5769556760787964,random_individual,2,7,1302,5
7,8,1857,0.19915843763821117,0.5723073482513428,random_individual,2,8,1857,5
6,9,2440,0.19116622492883195,0.5725423693656921,random_individual,2,9,2440,5
5,10,3023,0.2075055421117239,0.5687762498855591,random_individual,2,10,3023,5
4,11,3419,0.21102224354150356,0.5676760077476501,random_individual,2,11,3419,5
3,12,3613,0.19914040391432308,0.5694410800933838,random_individual,2,12,3613,5
2,13,3815,0.21700951969294008,0.5668647289276123,random_individual,2,13,3815,5
1,14,4301,0.21989133472451636,0.5661247968673706,random_individual,2,14,4301,5
0,15,4587,0.23451659872949304,0.5641089677810669,random_individual,2,15,4587,5
14,1,92,0.09240616666350347,0.5902988314628601,random_individual,3,1,92,5
13,2,244,0.1142699825603617,0.589309811592102,random_individual,3,2,244,5
12,3,592,0.16162552614623682,0.5846909880638123,random_individual,3,3,592,5
11,4,755,0.18145906411128113,0.581282913684845,random_individual,3,4,755,5
10,5,928,0.2157749056827615,0.5785527229309082,random_individual,3,5,928,5
9,6,1185,0.1956832016908516,0.580444872379303,random_individual,3,6,1185,5
8,7,1302,0.20205516696321757,0.5785990953445435,random_individual,3,7,1302,5
7,8,1857,0.20820731766223038,0.572961151599884,random_individual,3,8,1857,5
6,9,2440,0.2190927570823655,0.5693387389183044,random_individual,3,9,2440,5
5,10,3023,0.2238300991735117,0.5674620866775513,random_individual,3,10,3023,5
4,11,3419,0.22679151247270235,0.567205548286438,random_individual,3,11,3419,5
3,12,3613,0.23335193443157753,0.5660187602043152,random_individual,3,12,3613,5
2,13,3815,0.23013126094114697,0.5660135746002197,random_individual,3,13,3815,5
1,14,4301,0.24649830562942024,0.5624211430549622,random_individual,3,14,4301,5
0,15,4587,0.23451659872949304,0.5641089677810669,random_individual,3,15,4587,5
14,1,92,0.10437855119335816,0.5895756483078003,random_individual,4,1,92,5
13,2,244,0.15848029538108385,0.5927557945251465,random_individual,4,2,244,5
12,3,592,0.17155730543565148,0.5851366519927979,random_individual,4,3,592,5
11,4,755,0.15814945805472932,0.5842982530593872,random_individual,4,4,755,5
10,5,928,0.16825684259430518,0.5810447931289673,random_individual,4,5,928,5
9,6,1185,0.1810133273623832,0.5786380171775818,random_individual,4,6,1185,5
8,7,1302,0.19076803113965235,0.5778331756591797,random_individual,4,7,1302,5
7,8,1857,0.20847332979369437,0.5733873844146729,random_individual,4,8,1857,5
6,9,2440,0.22463920441606086,0.5683284401893616,random_individual,4,9,2440,5
5,10,3023,0.23915347283301014,0.565855860710144,random_individual,4,10,3023,5
4,11,3419,0.23696227858314128,0.5648455023765564,random_individual,4,11,3419,5
3,12,3613,0.2301698660686422,0.5658988356590271,random_individual,4,12,3613,5
2,13,3815,0.23940080066634653,0.5645098090171814,random_individual,4,13,3815,5
1,14,4301,0.23158062814354505,0.5645604133605957,random_individual,4,14,4301,5
0,15,4587,0.23451659872949304,0.5641089677810669,random_individual,4,15,4587,5
