trait,trait_label,fold,test_island_code,test_island,pearson_r,mean_inner_r,alpha,log10_alpha,n_pcs,num_snps,weight_scheme,weight_clip_max,weight_beta,inner_validation_top_k_used,inner_validation_n_samples,top_inner_avg_grm,n_train,n_test,kish_ess,ess_ratio,ess_loss_pct,max_weight,p95_weight,p99_weight,weight_cv,top10_weight_share,top20_weight_share,avg_grm_mean,avg_grm_sd,avg_grm_p95
body_mass,Body mass,11,10,Aldra,0.24128753005392142,0.211494266125561,125525.10513081585,5.098730593780414,2500,2500,exponential,20.0,0.8847982395583253,10,3377,0.0010978945658157585,5524,173,5507.342183744342,0.9969844648342401,0.30155351657599194,2.125039141977634,1.077732418599166,1.1613785103504644,0.05499687375353156,0.11052868484638918,0.21470174744755396,-0.005076303334098853,0.007053310720625446,0.00544573740041369
body_mass,Body mass,12,11,Leka,0.15505907434769367,0.19775376309574383,1456076.259202311,6.163184120913469,1000,1000,exponential,20.0,3.1487073333492837,10,3030,0.011693038304965452,5114,583,4021.1130412679995,0.7862950804200234,21.37049195799766,10.717068659965053,1.9154623275212863,2.3681470478078785,0.521332117000391,0.2080450280153521,0.36393154506723563,-0.004787047109560499,0.009340054484187617,0.01278258933223519
body_mass,Body mass,13,12,Vega,0.13070086136543232,0.20922952471849907,257608.6152034073,5.410960383038455,2500,2500,exponential,10.0,1.8351578962403332,10,3135,0.0006855971271691338,5300,397,5074.131174457075,0.957383240463599,4.261675953640099,4.681417554685919,1.1668058190689268,1.712727256610952,0.21098292147791387,0.13458608355427756,0.24071137743785628,-0.0036900626994202427,0.00618261620306418,0.003805717012645572
body_mass,Body mass,14,13,Vikna,0.17167106367943558,0.1980058912362684,425112.4393105382,5.628503813141401,2500,2500,linear,3.0,,10,2948,0.011693038304965448,5113,584,3973.410726718453,0.7771192502871999,22.288074971280015,3.0011645278029566,1.926405145058899,2.495318255494639,0.535540656194754,0.20523613815039837,0.37962104330840307,-0.0036528064612761533,0.009743436366816747,0.013143581430069615
body_mass,Body mass,15,14,Lauvøya,0.0859428309981535,0.19316173830475528,107416.9168794729,5.0310726829357035,2500,2500,linear,5.0,,10,2844,0.0105060362817128,5009,688,4818.268159134981,0.9619221719175446,3.807782808245541,1.7664862203894447,1.35952708586285,1.425390153421256,0.19896015783507282,0.1373696890380357,0.2657835537437956,-0.0051826977700915695,0.009192821265631933,0.011429011209504273
thr_tarsus,Tarsus length,1,0,Nesøy,0.2721830120111504,0.29517051200227096,121759.90277456673,5.085504292641954,3000,3000,exponential,20.0,2.133829072522385,10,3283,0.006603586947006324,5533,117,5248.241402407949,0.9485345025136361,5.146549748636387,6.039259086571326,1.2325203780738028,1.6110755302080273,0.232933268767353,0.13886701206440974,0.25188807633422455,-0.0013317752212751322,0.007736686899376886,0.008827744245879768
thr_tarsus,Tarsus length,2,1,Myken,0.3508300526454665,0.27420412685830825,182948.9226533502,5.262329856363852,4000,4000,exponential,5.0,1.229179409632463,10,3308,0.021172577363718248,5558,92,5477.232547304906,0.9854682524837902,1.453174751620978,2.829110792607125,1.1981358671731954,1.5217776136299341,0.12143324564040944,0.1264594838782489,0.23357030254270914,-0.0011926224616397032,0.010041924162853856,0.016589204673447454
thr_tarsus,Tarsus length,3,2,Træna,0.23348165165322135,0.2886344899213392,91286.40291888932,4.960406094324456,2000,2000,exponential,3.0,3.0112563322034767,10,3337,0.019652195413326554,5364,286,4393.017996499176,0.818981729399548,18.101827060045196,3.109648121345369,1.9247576848252264,3.109648121345369,0.47013663995014365,0.21670518570208486,0.34436115186998406,-0.0016069879431333052,0.008409398020857174,0.01415162897236646
thr_tarsus,Tarsus length,4,3,Selvær,0.25678432202801926,0.2742733303323603,164373.4727585848,5.2158317306971,1000,1000,linear,20.0,,10,3429,0.021172577363718248,5456,194,5325.4008388098055,0.9760632035941725,2.3936796405827465,1.9280596160373147,1.3544878900692583,1.5777316216287216,0.15660082389781899,0.1374488523438662,0.2480648985125508,-0.0011544506469621154,0.008644787007978797,0.018414235074360075
thr_tarsus,Tarsus length,5,4,Gjerøy,0.24225900107465767,0.28639469522905453,207588.30468446613,5.31720288215293,1000,1000,linear,5.0,,10,2845,0.0046752792633685866,5095,555,4551.246475133386,0.8932770314295164,10.672296857048359,3.5226201624902873,1.5417608027092178,1.8334403472678826,0.3456494457628993,0.16213982612540193,0.29864919874417556,-0.0037052282577008534,0.00783499800109178,0.008575117793275541
thr_tarsus,Tarsus length,6,5,Hestmannøy,0.2411227189946554,0.2741626094983175,80999.01103549336,4.9084797163545755,1000,1000,linear,3.0,,10,2337,0.004675279263368585,4587,1063,4278.385790588748,0.932719814822051,6.728018517794898,2.215729267409232,1.4156539176182688,1.6663057401247117,0.268576486134062,0.14726234616742387,0.276156644324578,-0.004121870447423439,0.007254413633855201,0.00710519373208992
thr_tarsus,Tarsus length,7,6,Indre Kvarøy,0.39102307299896744,0.2732884101608799,104200.56578771403,5.017870077099927,3500,3500,exponential,5.0,1.7976652536365678,10,3052,0.004343204854231577,5302,348,5082.193537839438,0.9585427268652279,4.1457273134772095,4.426412875272708,1.2563785317563634,1.768186281964357,0.20796709639147748,0.13934698812815738,0.25156613844047426,-0.0025539372949331717,0.008648092408026177,0.010009973800772839
thr_tarsus,Tarsus length,8,7,Onøy og Lurøy,0.20042171485437782,0.3258991389987022,64076.87727384237,4.806701338660071,3500,3500,exponential,,3.599370409375985,10,3143,0.009144271519545595,5393,257,4364.347105272039,0.8092614695479396,19.073853045206036,19.91874120684547,1.470300401522937,2.2568318684073927,0.4854838468102474,0.1762143796102169,0.2981597792278842,-0.0019799967214897615,0.007420781862756714,0.009204374875652272
thr_tarsus,Tarsus length,9,8,Lovund,0.403055092768744,0.26653545337392026,170226.7250047677,5.231027743827065,1000,1000,exponential,,1.6521416161952978,10,3471,0.021955154951598516,5498,152,5048.049866370474,0.9181611252037967,8.183887479620333,3.4943726740455663,1.5996240159377466,2.277791672770106,0.2985522677693896,0.17193946762666043,0.29108435489638657,-0.000790673576200693,0.008069517617479647,0.016263755257503155
thr_tarsus,Tarsus length,10,9,Sleneset,0.25942388723692444,0.29728605032372896,136493.1446772981,5.135110839628899,2000,2000,exponential,3.0,3.250598173669918,10,3460,0.02195515495159852,5487,163,4685.588886324872,0.8539436643566378,14.605633564336218,3.1289162406343274,1.7300648842374844,3.1289162406343274,0.4135667261044614,0.1994091094561419,0.31767560711462506,-0.0016361394366697507,0.01000521779581057,0.015969646218388703
thr_tarsus,Tarsus length,11,10,Aldra,0.16044426961983882,0.2923762454944254,116083.3645293386,5.064769987087763,2000,2000,linear,20.0,,10,3337,0.00110744931795462,5477,173,5346.088655790837,0.9760979835294572,2.3902016470542797,3.3075798717429086,1.233229496451757,1.4643594701874896,0.15648422482828117,0.13005063405147607,0.2433039879182397,-0.005087027174068719,0.007069846796909796,0.005450116811171735
thr_tarsus,Tarsus length,12,11,Leka,0.25732370437589674,0.23337431167385508,199713.17088163647,5.300406707097027,3000,3000,exponential,20.0,1.5373732914908618,10,3009,0.011677912618427669,5067,583,4843.760995102036,0.9559425686011518,4.405743139884821,3.2565901055530877,1.4057515160598246,1.5566985872835977,0.21468103783626677,0.14500219898587313,0.2722472113551631,-0.004737912633144907,0.009351929043354105,0.012812197218839957
thr_tarsus,Tarsus length,13,12,Vega,0.15224106805102033,0.2643394790310592,204352.7269137793,5.3103804373777095,5000,5000,exponential,,1.5801167863057746,10,3115,0.0006882771963559604,5254,396,5108.110203721678,0.97223262347196,2.7767376528039955,3.7839077740838567,1.144071357645525,1.5948520941086537,0.1689982975993311,0.12880701131350683,0.23413964944481788,-0.003674116562052871,0.006194583153144497,0.003818094137071126
thr_tarsus,Tarsus length,14,13,Vikna,0.1365280782876978,0.27034130538532797,261666.18705334087,5.417747605999049,3000,3000,linear,10.0,,10,2928,0.011677912618427669,5067,583,4696.717719214947,0.9269227786096204,7.307722139037964,2.4178542263302893,1.4822138463842325,1.781774236013038,0.28078198211167027,0.15498058093217287,0.29390649188472057,-0.003596070200178018,0.009761003843197216,0.013167438527840794
thr_tarsus,Tarsus length,15,14,Lauvøya,0.09838477797314812,0.25384557207195796,52786.359769474264,4.722521713401968,1000,1000,exponential,20.0,3.405926584657831,10,2823,0.010510304963582934,4962,688,3189.0469940548055,0.642693872239985,35.7306127760015,8.737086655393751,2.4691349785503176,3.024223973510655,0.7456210367877909,0.2624061675681286,0.4577011869780139,-0.0051292252378494045,0.00920833154538185,0.011476093755001953
thr_wing,Wing length,1,0,Nesøy,0.13640469566635813,0.2607490501447128,166506.26987310412,5.221430591716352,4000,4000,exponential,3.0,9.503732966963705,10,3266,0.006598441581212969,5515,118,2874.7427772621295,0.5212588898027434,47.87411101972566,7.600984367962803,2.159414704142116,7.026448196588364,0.9583488453471704,0.3011937183963574,0.448191731005101,-0.001346235992326955,0.0077295155797899185,0.00886078588084296
thr_wing,Wing length,2,1,Myken,0.2208636352233784,0.2498688542015699,309905.94186257705,5.4912299030975955,4000,4000,exponential,3.0,8.844734399290092,10,3292,0.021240654531168274,5541,92,2824.367328709381,0.5097215897327885,49.027841026721156,5.304056340097358,3.0139142402214403,5.304056340097358,0.9807422165920716,0.3447598317853663,0.4807194372965302,-0.001210311641350717,0.010040802480482567,0.016427843065807322
thr_wing,Wing length,3,2,Træna,0.28475625714437125,0.20863437636832166,161272.32061306835,5.207559835234352,3000,3000,exponential,3.0,3.196654210568803,10,3322,0.019410508141042157,5347,286,4306.002655351023,0.8053118861700063,19.468811382999373,3.135488508315803,2.005144202380841,3.135488508315803,0.4916857980366065,0.22281868767384963,0.35233770968854167,-0.0016398281423452453,0.008340498244716592,0.01410735173448767
thr_wing,Wing length,4,3,Selvær,0.39515695592045086,0.19810774778548906,72577.79002653851,4.860803739920037,4500,4500,linear,,,10,3417,0.021240654531168274,5442,191,4669.154091538119,0.8579849488309664,14.201505116903357,3.4528631602934583,1.9202877017076605,2.5095051259107444,0.4068434726795868,0.19708976409902632,0.3245401866146964,-0.001161988106152008,0.008602942257445512,0.018298031507493085
thr_wing,Wing length,5,4,Gjerøy,0.09350955161856958,0.25996359913458195,110571.43779071631,5.043642956879488,4000,4000,exponential,5.0,8.06484811908058,10,2831,0.004707559172177233,5080,553,2564.659424744136,0.504854217469318,49.514578253068194,6.018232830960963,2.7602305951865302,5.805325828976161,0.9903382376871691,0.3292439734254091,0.5068678027594966,-0.0037082872863977104,0.007834570677486033,0.008556351780042874
thr_wing,Wing length,6,5,Hestmannøy,0.16344981180597398,0.23825365933560247,155631.1686378173,5.192096578590952,4000,4000,exponential,3.0,3.8432398460779433,10,2329,0.004707559172177233,4578,1055,3289.7104135948757,0.7185911781552808,28.140882184471916,3.114520621797041,2.178112964273617,3.114520621797041,0.6257889833108803,0.23440738941497263,0.3974060728069202,-0.0041328576389804625,0.007266538776812575,0.007112777608823676
thr_wing,Wing length,7,6,Indre Kvarøy,0.3565775430575592,0.2287757813831091,49430.87757657087,4.693998320824503,4500,4500,linear,10.0,,10,3035,0.004303449371327566,5284,349,4546.521766801787,0.8604318256627151,13.956817433728485,4.64122666490522,1.587475012464167,2.395484748094664,0.4027494592221516,0.17688419783193318,0.3084703789074627,-0.0025890543997647364,0.00862360952637049,0.009989870284020338
thr_wing,Wing length,8,7,Onøy og Lurøy,0.4104581602424141,0.22356194409955688,242708.89319664153,5.385085689786684,4000,4000,exponential,3.0,8.10058390652623,10,3128,0.009155116992441415,5377,256,3661.5000066766816,0.6809559246190593,31.90440753809407,4.056584331883569,2.27590256570983,4.056584331883569,0.6844880030752839,0.2564186736697152,0.40553136978392496,-0.0019873903847146897,0.007434634344580502,0.009254822469759966
thr_wing,Wing length,9,8,Lovund,0.1632124031593498,0.23469062114588263,193767.91373495167,5.2872818633156795,3000,3000,exponential,3.0,8.663138503575343,10,3457,0.02187477725733186,5482,151,1452.8992634777169,0.26503087622723764,73.49691237727623,7.065742300333643,6.721274365429001,7.065742300333643,1.6652763377787043,0.5569147933892566,0.7082073258708282,-0.0008121031337456552,0.008023086818438193,0.016014218591066096
thr_wing,Wing length,10,9,Sleneset,0.17336415537731686,0.23592669608374228,123398.39120846806,5.091309497672593,4000,4000,linear,,,10,3448,0.021874777257331855,5473,160,3798.263583477856,0.6940002893253894,30.599971067461063,6.502498336772947,2.177146779878415,3.8971454091289885,0.6640192689133234,0.25216180690040535,0.39365606168611117,-0.001635398627245062,0.009961818699299149,0.016024514800874554
thr_wing,Wing length,11,10,Aldra,0.1627033981778235,0.2286961974826041,65457.560256512894,4.815959814188001,4500,4500,exponential,3.0,3.0788573134881916,10,3322,0.001108110962403731,5460,173,5241.115105928066,0.959911191561917,4.008880843808305,3.0123642611165815,1.2848402433602253,1.6749858309472796,0.20436007169826179,0.14036598957411228,0.2548252059624522,-0.005098184938199877,0.007071453386794774,0.005449401791048944
thr_wing,Wing length,12,11,Leka,0.13993311604666855,0.20193568130197245,30826.519515939657,4.488924493252295,4500,4500,exponential,3.0,2.7900399607293185,10,3003,0.011708655010983166,5052,581,4348.733818931104,0.8607945009760697,13.92054990239303,3.013968732151963,1.8043146053084755,2.1721024776154634,0.40214109282814364,0.1887776034333535,0.33911750722924344,-0.004714516827767394,0.009364419734897761,0.012839384411789343
thr_wing,Wing length,13,12,Vega,0.05823277464501116,0.23108331943699617,40653.86571936138,4.6091018483498765,4500,4500,exponential,3.0,2.98187228536483,10,3106,0.0006855971271691338,5236,397,4903.548006840191,0.9365064948128707,6.349350518712926,3.063983075237266,1.2874363964669957,2.4114508903661225,0.2603809785252049,0.15247034029515066,0.26282490357434607,-0.003670425314706169,0.006202252797738518,0.0038366737724498416
thr_wing,Wing length,14,13,Vikna,0.10948661781342331,0.22240349180992514,38961.25283601039,4.590632913581781,4500,4500,exponential,3.0,3.3569450127198115,10,2920,0.01170865501098316,5050,583,3775.4138526443803,0.7476067034939367,25.239329650606336,3.0529800995684577,2.079548285505544,3.0529800995684577,0.5810350276108294,0.22752914408608665,0.4038036667384968,-0.003586484722988897,0.009773735565568464,0.013182734714002907
thr_wing,Wing length,15,14,Lauvøya,0.10547021956023708,0.21685755970565618,44551.749206108354,4.648864760127038,4500,4500,exponential,10.0,3.0547829983953605,10,2815,0.010502109546836051,4945,688,3448.437831396786,0.6973585098881265,30.264149011187346,7.130691882835023,2.294923396878575,2.7541899615491485,0.6587735910390999,0.2419161401868607,0.42791265444187787,-0.005119105648904815,0.009214378654045955,0.011471365853768177
