n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
5,10,3932,0.1281402171768501,1.0330219268798828,random_individual,1,10,3932,9
4,11,4329,0.12565402571128073,1.0352908372879028,random_individual,1,11,4329,9
3,12,4523,0.12938543272468306,1.0334959030151367,random_individual,1,12,4523,9
2,13,4681,0.13197648908504914,1.0325422286987305,random_individual,1,13,4681,9
1,14,4973,0.13711853122033238,1.0337164402008057,random_individual,1,14,4973,9
0,15,5531,0.16099775550109788,1.0260735750198364,random_individual,1,15,5531,9
14,1,92,0.13952106474024772,1.055542230606079,random_individual,2,1,92,9
13,2,211,0.18920294928767536,1.0521891117095947,random_individual,2,2,211,9
12,3,413,0.13722657614337902,1.043282389640808,random_individual,2,3,413,9
11,4,769,0.09552530602742856,1.0481412410736084,random_individual,2,4,769,9
10,5,1847,0.1189816071273199,1.041575312614441,random_individual,2,5,1847,9
9,6,2020,0.13735748263703781,1.036764144897461,random_individual,2,6,2020,9
8,7,2604,0.12575412620607124,1.040118932723999,random_individual,2,7,2604,9
7,8,3090,0.11546132125958104,1.0409307479858398,random_individual,2,8,3090,9
6,9,3349,0.10661957511150456,1.0466419458389282,random_individual,2,9,3349,9
5,10,3932,0.15884017870104153,1.0273135900497437,random_individual,2,10,3932,9
4,11,4329,0.1360795201861232,1.0346978902816772,random_individual,2,11,4329,9
3,12,4523,0.15267923025526484,1.0302740335464478,random_individual,2,12,4523,9
2,13,4681,0.1439939770752267,1.032691240310669,random_individual,2,13,4681,9
1,14,4973,0.15855833336034114,1.0272945165634155,random_individual,2,14,4973,9
0,15,5531,0.16099775550109788,1.0260735750198364,random_individual,2,15,5531,9
14,1,92,-0.20847463546852402,1.1358551979064941,random_individual,3,1,92,9
13,2,211,-0.16953165665845987,1.083861231803894,random_individual,3,2,211,9
12,3,413,0.032213402140154404,1.0644097328186035,random_individual,3,3,413,9
11,4,769,-9.700910792088336e-05,1.0743428468704224,random_individual,3,4,769,9
10,5,1847,0.014440217535789222,1.0639084577560425,random_individual,3,5,1847,9
9,6,2020,-0.01817331575887311,1.0700165033340454,random_individual,3,6,2020,9
8,7,2604,0.05567850771957994,1.0516101121902466,random_individual,3,7,2604,9
7,8,3090,0.10448697457311792,1.0442135334014893,random_individual,3,8,3090,9
6,9,3349,0.10186717467672289,1.0445126295089722,random_individual,3,9,3349,9
5,10,3932,0.12298585061532274,1.0376827716827393,random_individual,3,10,3932,9
4,11,4329,0.16492841180432088,1.0285310745239258,random_individual,3,11,4329,9
3,12,4523,0.15241629269839604,1.0325853824615479,random_individual,3,12,4523,9
2,13,4681,0.14658845546539598,1.031530737876892,random_individual,3,13,4681,9
1,14,4973,0.17147301827836306,1.0221668481826782,random_individual,3,14,4973,9
0,15,5531,0.16099775550109788,1.0260735750198364,random_individual,3,15,5531,9
14,1,92,0.0027566385907684316,1.1312109231948853,random_individual,4,1,92,9
13,2,211,0.038633177894305155,1.0656529664993286,random_individual,4,2,211,9
12,3,413,0.10010019745783057,1.0560117959976196,random_individual,4,3,413,9
11,4,769,0.042856238357397006,1.0551609992980957,random_individual,4,4,769,9
10,5,1847,0.13867165306542922,1.040581464767456,random_individual,4,5,1847,9
9,6,2020,0.16423758264073926,1.0353212356567383,random_individual,4,6,2020,9
8,7,2604,0.1501397414161343,1.0340405702590942,random_individual,4,7,2604,9
7,8,3090,0.15496401080134214,1.033508539199829,random_individual,4,8,3090,9
