target_island,target_island_name,method,n_individuals,corr_eval_mean
13,Southern 3,avggrm_topk,4500,0.04878207503994
13,Southern 3,random_individual,50,0.02067553554509314
13,Southern 3,random_individual,100,0.02444148046327666
13,Southern 3,random_individual,250,0.023004719874226302
13,Southern 3,random_individual,500,0.02399445095570872
13,Southern 3,random_individual,1000,0.027451927286499776
13,Southern 3,random_individual,1500,0.030736419205820396
13,Southern 3,random_individual,2000,0.03523912552205521
13,Southern 3,random_individual,2500,0.034487305030827795
13,Southern 3,random_individual,3000,0.042797370530930065
13,Southern 3,random_individual,3500,0.04010863751748932
13,Southern 3,random_individual,4000,0.03241660492250134
13,Southern 3,random_individual,4500,0.03664157802807486
14,Southern 4,avggrm_topk,50,0.0647574501436625
14,Southern 4,avggrm_topk,100,0.0771887386200956
14,Southern 4,avggrm_topk,250,0.0881140272917101
14,Southern 4,avggrm_topk,500,0.0469356503984662
14,Southern 4,avggrm_topk,1000,0.096560602973411
14,Southern 4,avggrm_topk,1500,0.1328511905360229
14,Southern 4,avggrm_topk,2000,0.1564702735168699
14,Southern 4,avggrm_topk,2500,0.1457559927677488
14,Southern 4,avggrm_topk,3000,0.1615256220533078
14,Southern 4,avggrm_topk,3500,0.1632848605235231
14,Southern 4,avggrm_topk,4000,0.1590538595150763
14,Southern 4,avggrm_topk,4500,0.1534324970262214
14,Southern 4,random_individual,50,-0.00870669645838493
14,Southern 4,random_individual,100,0.009618866902808259
14,Southern 4,random_individual,250,0.05505807640721653
14,Southern 4,random_individual,500,0.060370849725009154
14,Southern 4,random_individual,1000,0.08756055556686612
14,Southern 4,random_individual,1500,0.08863700977053299
14,Southern 4,random_individual,2000,0.10421621993569256
14,Southern 4,random_individual,2500,0.11372228852025083
14,Southern 4,random_individual,3000,0.12675051337028234
14,Southern 4,random_individual,3500,0.12813918306267214
14,Southern 4,random_individual,4000,0.12884085936619089
14,Southern 4,random_individual,4500,0.13899207742384234
15,Southern 5,avggrm_topk,50,0.1640416701748992
15,Southern 5,avggrm_topk,100,0.149107159068384
15,Southern 5,avggrm_topk,250,0.1884898276687142
15,Southern 5,avggrm_topk,500,0.2217226134191078
15,Southern 5,avggrm_topk,1000,0.1739573464333907
15,Southern 5,avggrm_topk,1500,0.1673580503719229
15,Southern 5,avggrm_topk,2000,0.1454000430025154
15,Southern 5,avggrm_topk,2500,0.1130948331753047
15,Southern 5,avggrm_topk,3000,0.094709092034752
15,Southern 5,avggrm_topk,3500,0.0864675372682796
15,Southern 5,avggrm_topk,4000,0.0844714818332644
15,Southern 5,avggrm_topk,4500,0.0477693731973723
15,Southern 5,random_individual,50,0.013263325624426558
15,Southern 5,random_individual,100,0.005581664725493852
15,Southern 5,random_individual,250,0.008313233955162347
15,Southern 5,random_individual,500,-0.023793152856820515
15,Southern 5,random_individual,1000,-0.00183918963538039
15,Southern 5,random_individual,1500,0.021295062747717253
15,Southern 5,random_individual,2000,0.025388953491258838
15,Southern 5,random_individual,2500,0.01568950661006355
15,Southern 5,random_individual,3000,0.02625743773513705
15,Southern 5,random_individual,3500,0.03351149983478582
