n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island
5,10,4239,0.19608274102210999,1.5009275674819946,random_island,1,0
6,9,3655,0.19041123986244202,1.5527757406234741,random_island,1,0
7,8,3461,0.19949068129062653,1.591756820678711,random_island,1,0
8,7,3369,0.21890053153038025,1.5253061056137085,random_island,1,0
9,6,3167,0.2139209508895874,1.492172360420227,random_island,1,0
10,5,2908,0.24598698318004608,1.4709540605545044,random_island,1,0
11,4,2616,0.2784528136253357,1.4849014282226562,random_island,1,0
12,3,1538,0.18392960727214813,1.4444293975830078,random_island,1,0
13,2,1141,0.1622728556394577,1.4241905212402344,random_island,1,0
14,1,583,-0.17586153745651245,1.426190972328186,random_island,1,0
0,15,5578,0.20050308108329773,1.4846372604370117,random_island,2,0
1,14,5092,0.1979377120733261,1.5160290002822876,random_island,2,0
2,13,4695,0.18664132058620453,1.4749521017074585,random_island,2,0
3,12,4339,0.17563305795192719,1.443413257598877,random_island,2,0
4,11,3755,0.16332758963108063,1.488481879234314,random_island,2,0
5,10,3589,0.14819276332855225,1.5147733688354492,random_island,2,0
6,9,3006,0.17633600533008575,1.513741135597229,random_island,2,0
7,8,2747,0.22001489996910095,1.5080374479293823,random_island,2,0
8,7,2545,0.19977964460849762,1.463962435722351,random_island,2,0
9,6,2253,0.2582911550998688,1.4377418756484985,random_island,2,0
10,5,1175,0.18519149720668793,1.4020390510559082,random_island,2,0
11,4,1083,0.2168176919221878,1.3522697687149048,random_island,2,0
12,3,525,-0.035875651985406876,1.3924521207809448,random_island,2,0
13,2,352,-0.08102139085531235,1.4152765274047852,random_island,2,0
14,1,158,-0.08892770856618881,1.4248605966567993,random_island,2,0
0,15,5578,0.20050308108329773,1.4846372604370117,random_island,3,0
1,14,4995,0.2215864062309265,1.489699363708496,random_island,3,0
2,13,4837,0.21262532472610474,1.4632763862609863,random_island,3,0
3,12,4545,0.27560144662857056,1.4334412813186646,random_island,3,0
4,11,4453,0.302017480134964,1.396504521369934,random_island,3,0
5,10,4056,0.270660936832428,1.4058870077133179,random_island,3,0
6,9,3700,0.3049233853816986,1.3637911081314087,random_island,3,0
7,8,3116,0.26132574677467346,1.412232756614685,random_island,3,0
8,7,2950,0.2497640997171402,1.426997184753418,random_island,3,0
9,6,2748,0.2593960165977478,1.4308208227157593,random_island,3,0
10,5,2262,0.25594010949134827,1.4254059791564941,random_island,3,0
11,4,1184,0.15126396715641022,1.4053559303283691,random_island,3,0
12,3,1011,0.12374140322208405,1.4378619194030762,random_island,3,0
13,2,817,0.11277107894420624,1.4576449394226074,random_island,3,0
14,1,259,-0.20753981173038483,1.465040683746338,random_island,3,0
0,15,5578,0.20050308108329773,1.4846372604370117,random_island,4,0
1,14,5222,0.1975765973329544,1.4651247262954712,random_island,4,0
2,13,5028,0.16966474056243896,1.5187736749649048,random_island,4,0
3,12,4826,0.20790907740592957,1.5204142332077026,random_island,4,0
4,11,4653,0.20939849317073822,1.5156375169754028,random_island,4,0
5,10,3575,0.09156659990549088,1.5551315546035767,random_island,4,0
6,9,3483,0.09479823708534241,1.5174468755722046,random_island,4,0
7,8,2899,0.08649066090583801,1.5320991277694702,random_island,4,0
8,7,2502,0.07841269671916962,1.5042625665664673,random_island,4,0
9,6,2344,0.09406106173992157,1.4778212308883667,random_island,4,0
10,5,2085,0.11361274123191833,1.4262415170669556,random_island,4,0
11,4,1527,-0.03858393803238869,1.4117426872253418,random_island,4,0
12,3,1361,-0.09535697847604752,1.4660972356796265,random_island,4,0
13,2,875,-0.17370018362998962,1.4410630464553833,random_island,4,0
14,1,583,-0.17586153745651245,1.426190972328186,random_island,4,0
0,15,5578,0.20050308108329773,1.4846372604370117,random_island,5,0
1,14,5222,0.1975765973329544,1.4651247262954712,random_island,5,0
2,13,4963,0.22609685361385345,1.4406318664550781,random_island,5,0
3,12,4790,0.22027742862701416,1.4919782876968384,random_island,5,0
4,11,4393,0.21125826239585876,1.4638948440551758,random_island,5,0
5,10,3835,0.19719679653644562,1.42023503780365,random_island,5,0
6,9,3641,0.18159256875514984,1.463865876197815,random_island,5,0
7,8,3349,0.20062607526779175,1.4379969835281372,random_island,5,0
8,7,2765,0.18377685546875,1.5048240423202515,random_island,5,0
9,6,2599,0.16191363334655762,1.5640467405319214,random_island,5,0
10,5,2397,0.16862766444683075,1.529550552368164,random_island,5,0
11,4,2239,0.19786612689495087,1.5298258066177368,random_island,5,0
12,3,1656,0.23105129599571228,1.5014606714248657,random_island,5,0
13,2,1170,0.2204531729221344,1.4751983880996704,random_island,5,0
14,1,1078,0.24082793295383453,1.4096578359603882,random_island,5,0
0,15,5578,0.20050308108329773,1.4846372604370117,random_island,6,0
1,14,5020,0.1388750821352005,1.470454216003418,random_island,6,0
2,13,4437,0.18275028467178345,1.4760208129882812,random_island,6,0
3,12,4145,0.22630493342876434,1.4204120635986328,random_island,6,0
4,11,3943,0.23130616545677185,1.4320882558822632,random_island,6,0
5,10,3684,0.25931641459465027,1.3907839059829712,random_island,6,0
6,9,3511,0.2678084075450897,1.4478603601455688,random_island,6,0
7,8,3353,0.2882039248943329,1.4212340116500854,random_island,6,0
8,7,3159,0.2744748890399933,1.457812786102295,random_island,6,0
9,6,3067,0.29381895065307617,1.4172401428222656,random_island,6,0
10,5,2901,0.25755009055137634,1.481505274772644,random_island,6,0
11,4,1823,0.11461236327886581,1.428834319114685,random_island,6,0
12,3,1337,0.07565321773290634,1.4308112859725952,random_island,6,0
13,2,940,0.1008889302611351,1.374651312828064,random_island,6,0
14,1,584,0.07847941666841507,1.3592181205749512,random_island,6,0
0,15,5578,0.20050308108329773,1.4846372604370117,random_island,7,0
1,14,4995,0.2215864062309265,1.489699363708496,random_island,7,0
2,13,4437,0.18275028467178345,1.4760208129882812,random_island,7,0
3,12,3853,0.18076947331428528,1.5320768356323242,random_island,7,0
4,11,3761,0.16366812586784363,1.5016735792160034,random_island,7,0
5,10,2683,-0.03958965837955475,1.5138810873031616,random_island,7,0
6,9,2481,-0.038644108921289444,1.47809636592865,random_island,7,0
7,8,2308,-0.02423086203634739,1.5115314722061157,random_island,7,0
8,7,1822,-0.04284602776169777,1.4936765432357788,random_island,7,0
9,6,1664,-0.016582494601607323,1.4540166854858398,random_island,7,0
10,5,1470,-0.030910219997167587,1.479591965675354,random_island,7,0
11,4,1304,-0.06682734936475754,1.532470703125,random_island,7,0
12,3,1045,0.008685817942023277,1.4423189163208008,random_island,7,0
13,2,689,-0.011839386075735092,1.4376834630966187,random_island,7,0
14,1,292,-0.11078884452581406,1.4153276681900024,random_island,7,0
0,15,5578,0.20050308108329773,1.4846372604370117,random_island,8,0
1,14,5286,0.25117039680480957,1.43405020236969,random_island,8,0
