n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
1,202,-0.10096714645624161,1.405313491821289,random_island,9,0
2,1280,0.2322646528482437,1.4207448959350586,random_island,9,0
3,1539,0.17611262202262878,1.4640144109725952,random_island,9,0
4,1705,0.19505897164344788,1.4407697916030884,random_island,9,0
5,2288,0.19865000247955322,1.4362239837646484,random_island,9,0
6,2482,0.19159942865371704,1.4285783767700195,random_island,9,0
7,2838,0.17483273148536682,1.4579896926879883,random_island,9,0
8,3396,0.210566908121109,1.5128265619277954,random_island,9,0
9,3793,0.2522587776184082,1.4562689065933228,random_island,9,0
10,4377,0.27363061904907227,1.4233511686325073,random_island,9,0
11,4550,0.2914733588695526,1.3605774641036987,random_island,9,0
12,5036,0.26449042558670044,1.379581093788147,random_island,9,0
13,5194,0.2519069314002991,1.4274702072143555,random_island,9,0
14,5486,0.2089204639196396,1.454003930091858,random_island,9,0
15,5578,0.20050308108329773,1.4846372604370117,random_island,9,0
1,356,-0.15477243065834045,1.4527698755264282,random_individual,0,0
2,448,-0.15742044150829315,1.520790696144104,random_individual,0,0
3,740,-0.0887267142534256,1.5196672677993774,random_individual,0,0
4,906,-0.12692365050315857,1.5159902572631836,random_individual,0,0
5,1079,-0.041647493839263916,1.511472225189209,random_individual,0,0
6,1663,0.0334748849272728,1.4609500169754028,random_individual,0,0
7,2246,0.06862859427928925,1.5399436950683594,random_individual,0,0
8,2643,0.15228427946567535,1.5377922058105469,random_individual,0,0
9,3721,0.083430714905262,1.5156038999557495,random_individual,0,0
10,3879,0.14065830409526825,1.500257968902588,random_individual,0,0
11,4073,0.12360068410634995,1.5183638334274292,random_individual,0,0
12,4559,0.1919107735157013,1.4705137014389038,random_individual,0,0
13,4761,0.17401950061321259,1.4310413599014282,random_individual,0,0
14,5020,0.22895972430706024,1.4028445482254028,random_individual,0,0
15,5578,0.20017436146736145,1.4906834363937378,random_individual,0,0
1,356,0.10874408483505249,1.3485645055770874,random_individual,1,0
2,448,0.13259831070899963,1.331868052482605,random_individual,1,0
3,740,0.015235081315040588,1.411795973777771,random_individual,1,0
4,906,0.2660462558269501,1.3023945093154907,random_individual,1,0
5,1079,0.2546002268791199,1.314534306526184,random_individual,1,0
6,1663,0.21595363318920135,1.325913429260254,random_individual,1,0
7,2246,0.11246919631958008,1.478327751159668,random_individual,1,0
8,2643,0.11261404305696487,1.4611244201660156,random_individual,1,0
9,3721,0.21011200547218323,1.3995929956436157,random_individual,1,0
10,3879,0.21403340995311737,1.5333261489868164,random_individual,1,0
11,4073,0.1981487274169922,1.4202662706375122,random_individual,1,0
12,4559,0.12920419871807098,1.5127716064453125,random_individual,1,0
13,4761,0.1534118950366974,1.469769835472107,random_individual,1,0
14,5020,0.2317160815000534,1.3894767761230469,random_individual,1,0
15,5578,0.20336253941059113,1.4761418104171753,random_individual,1,0
1,356,0.12514568865299225,1.3383592367172241,random_individual,2,0
2,448,0.20906910300254822,1.3251296281814575,random_individual,2,0
3,740,0.17841674387454987,1.3202513456344604,random_individual,2,0
4,906,0.20019423961639404,1.3224503993988037,random_individual,2,0
5,1079,0.1247887834906578,1.3755232095718384,random_individual,2,0
6,1663,0.16850778460502625,1.3517423868179321,random_individual,2,0
7,2246,0.21823765337467194,1.3375734090805054,random_individual,2,0
8,2643,0.2009982466697693,1.3366284370422363,random_individual,2,0
9,3721,0.14260730147361755,1.3651232719421387,random_individual,2,0
10,3879,0.16222508251667023,1.3674606084823608,random_individual,2,0
11,4073,0.13479341566562653,1.3991349935531616,random_individual,2,0
12,4559,0.18669503927230835,1.47537362575531,random_individual,2,0
13,4761,0.1829793006181717,1.4743274450302124,random_individual,2,0
14,5020,0.2284594476222992,1.4528135061264038,random_individual,2,0
15,5578,0.17040136456489563,1.4828521013259888,random_individual,2,0
1,356,0.26437655091285706,1.3047009706497192,random_individual,3,0
2,448,0.3343639373779297,1.2750961780548096,random_individual,3,0
3,740,0.24338218569755554,1.3122929334640503,random_individual,3,0
4,906,0.2666699290275574,1.3541253805160522,random_individual,3,0
5,1079,0.21730923652648926,1.3305282592773438,random_individual,3,0
6,1663,0.16163644194602966,1.3797794580459595,random_individual,3,0
7,2246,0.16587936878204346,1.4126720428466797,random_individual,3,0
8,2643,0.1840703785419464,1.414075255393982,random_individual,3,0
9,3721,0.20271313190460205,1.4563837051391602,random_individual,3,0
10,3879,0.21331347525119781,1.4140101671218872,random_individual,3,0
11,4073,0.18807187676429749,1.4796925783157349,random_individual,3,0
12,4559,0.24635030329227448,1.4207144975662231,random_individual,3,0
13,4761,0.201099693775177,1.5249419212341309,random_individual,3,0
14,5020,0.13571105897426605,1.5824626684188843,random_individual,3,0
15,5578,0.1719021499156952,1.443698525428772,random_individual,3,0
1,356,0.27756187319755554,1.3809224367141724,random_individual,4,0
2,448,0.20561940968036652,1.3759773969650269,random_individual,4,0
3,740,0.23560580611228943,1.3507972955703735,random_individual,4,0
4,906,0.1508983075618744,1.4132941961288452,random_individual,4,0
5,1079,0.18673816323280334,1.3896139860153198,random_individual,4,0
6,1663,0.12954194843769073,1.403714656829834,random_individual,4,0
7,2246,0.040484052151441574,1.480930209159851,random_individual,4,0
8,2643,0.11500513553619385,1.4366350173950195,random_individual,4,0
9,3721,0.06468513607978821,1.480150580406189,random_individual,4,0
10,3879,-0.008956855162978172,1.574180245399475,random_individual,4,0
11,4073,0.044462114572525024,1.5622329711914062,random_individual,4,0
12,4559,0.11876565217971802,1.469004511833191,random_individual,4,0
13,4761,0.1568356156349182,1.4325261116027832,random_individual,4,0
14,5020,0.14901182055473328,1.4750009775161743,random_individual,4,0
15,5578,0.2034684419631958,1.4227361679077148,random_individual,4,0
1,356,-0.0897316038608551,1.4109240770339966,random_individual,5,0
2,448,-0.10638310015201569,1.4306293725967407,random_individual,5,0
3,740,0.017237182706594467,1.3987137079238892,random_individual,5,0
4,906,-0.0019073393195867538,1.4193216562271118,random_individual,5,0
5,1079,0.1237775906920433,1.3620697259902954,random_individual,5,0
6,1663,-0.0387374609708786,1.538159966468811,random_individual,5,0
7,2246,-0.03187894821166992,1.525840401649475,random_individual,5,0
8,2643,0.03381270915269852,1.433187484741211,random_individual,5,0
9,3721,0.05065908655524254,1.4847732782363892,random_individual,5,0
10,3879,0.15568383038043976,1.4456653594970703,random_individual,5,0
11,4073,0.12301146239042282,1.5303115844726562,random_individual,5,0
12,4559,0.15994951128959656,1.4799641370773315,random_individual,5,0
13,4761,0.1157325878739357,1.5778656005859375,random_individual,5,0
14,5020,0.12153100222349167,1.5763696432113647,random_individual,5,0
15,5578,0.19820237159729004,1.4148473739624023,random_individual,5,0
1,356,0.2151770293712616,1.3340834379196167,random_individual,6,0
2,448,0.20885509252548218,1.3250232934951782,random_individual,6,0
3,740,0.15719804167747498,1.3753818273544312,random_individual,6,0
4,906,0.26567476987838745,1.279622197151184,random_individual,6,0
5,1079,0.10624726861715317,1.4156469106674194,random_individual,6,0
6,1663,0.0557568296790123,1.4998960494995117,random_individual,6,0
7,2246,0.09444545209407806,1.4918642044067383,random_individual,6,0
8,2643,0.17136380076408386,1.4262762069702148,random_individual,6,0
9,3721,0.12160081416368484,1.5882635116577148,random_individual,6,0
10,3879,0.17304627597332,1.4423874616622925,random_individual,6,0
11,4073,0.13271081447601318,1.5379797220230103,random_individual,6,0
12,4559,0.18824049830436707,1.524140477180481,random_individual,6,0
13,4761,0.19093509018421173,1.453865647315979,random_individual,6,0
14,5020,0.17406083643436432,1.5123587846755981,random_individual,6,0
15,5578,0.21033459901809692,1.45806884765625,random_individual,6,0
1,356,-0.1139293685555458,1.478144645690918,random_individual,7,0
2,448,0.03238483518362045,1.376559853553772,random_individual,7,0
3,740,0.019063249230384827,1.4355854988098145,random_individual,7,0
4,906,-0.017087189480662346,1.4750900268554688,random_individual,7,0
5,1079,0.10718941688537598,1.409712314605713,random_individual,7,0
6,1663,0.14034605026245117,1.3948134183883667,random_individual,7,0
7,2246,0.21924340724945068,1.3569021224975586,random_individual,7,0
8,2643,0.18449749052524567,1.4457324743270874,random_individual,7,0
9,3721,0.20157839357852936,1.4891009330749512,random_individual,7,0
10,3879,0.12130176275968552,1.5523103475570679,random_individual,7,0
11,4073,0.10645205527544022,1.5453516244888306,random_individual,7,0
12,4559,0.19881780445575714,1.4046963453292847,random_individual,7,0
13,4761,0.1870124489068985,1.4983597993850708,random_individual,7,0
14,5020,0.1884828507900238,1.3996080160140991,random_individual,7,0
15,5578,0.19577433168888092,1.5001436471939087,random_individual,7,0
1,356,0.15114948153495789,1.3314502239227295,random_individual,8,0
2,448,0.17760860919952393,1.3434678316116333,random_individual,8,0
3,740,0.20315933227539062,1.3844900131225586,random_individual,8,0
4,906,0.16808080673217773,1.4640339612960815,random_individual,8,0
5,1079,0.13176634907722473,1.4603471755981445,random_individual,8,0
6,1663,0.13619309663772583,1.470981240272522,random_individual,8,0
7,2246,0.20623545348644257,1.3781694173812866,random_individual,8,0
8,2643,0.23247355222702026,1.4272931814193726,random_individual,8,0
9,3721,0.22624129056930542,1.4572614431381226,random_individual,8,0
10,3879,0.23176947236061096,1.3845113515853882,random_individual,8,0
11,4073,0.19381484389305115,1.4364442825317383,random_individual,8,0
12,4559,0.15943190455436707,1.471821665763855,random_individual,8,0
13,4761,0.14648322761058807,1.5298866033554077,random_individual,8,0
14,5020,0.13766776025295258,1.5979782342910767,random_individual,8,0
15,5578,0.17255647480487823,1.492645263671875,random_individual,8,0
1,356,-0.08243434131145477,1.454512596130371,random_individual,9,0
2,448,-0.039635222405195236,1.441681981086731,random_individual,9,0
3,740,-0.0027453224174678326,1.4078432321548462,random_individual,9,0
4,906,-0.0184710081666708,1.4260343313217163,random_individual,9,0
5,1079,-0.09019702672958374,1.4526630640029907,random_individual,9,0
6,1663,0.071201391518116,1.49544095993042,random_individual,9,0
7,2246,0.15606020390987396,1.4321198463439941,random_individual,9,0
8,2643,0.2146192342042923,1.4358266592025757,random_individual,9,0
9,3721,0.19364488124847412,1.6165066957473755,random_individual,9,0
10,3879,0.18540532886981964,1.6033352613449097,random_individual,9,0
11,4073,0.23313497006893158,1.573931097984314,random_individual,9,0
12,4559,0.21486079692840576,1.5544084310531616,random_individual,9,0
13,4761,0.16581480205059052,1.508894920349121,random_individual,9,0
14,5020,0.19067959487438202,1.541152834892273,random_individual,9,0
15,5578,0.13901998102664948,1.525118350982666,random_individual,9,0
