target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations
9,Sleneset,3,3014,1360,1360,8N05237,13,Southern 3,2.168277205412156e-05,2592,0.16119854468835712,50
9,Sleneset,3,3014,5254,5254,8939519,4,Gjerøy,2.1678761250998048e-05,2593,0.16119854468835712,50
9,Sleneset,3,3014,1558,1558,8N05706,4,Gjerøy,2.1584074369470924e-05,2594,0.16119854468835712,50
9,Sleneset,3,3014,687,687,8M31206,6,Indre Kvarøy,2.122570963388498e-05,2595,0.16119854468835712,50
9,Sleneset,3,3014,2083,2083,8N14149,6,Indre Kvarøy,2.1225074412714594e-05,2596,0.16119854468835712,50
9,Sleneset,3,3014,4488,4488,8732239,7,Onøy og Lurøy,2.1205026142363527e-05,2597,0.16119854468835712,50
9,Sleneset,3,3014,2924,2924,8N72903,13,Southern 3,2.0804296562033156e-05,2598,0.16119854468835712,50
9,Sleneset,3,3014,4403,4403,8681469,5,Hestmannøy,2.078742467760207e-05,2599,0.16119854468835712,50
9,Sleneset,3,3014,3158,3158,8N73487,11,Southern 1,2.0748912666840037e-05,2600,0.16119854468835712,50
9,Sleneset,3,3014,3611,3611,8N87803,14,Southern 4,2.0364089496393844e-05,2601,0.16119854468835712,50
9,Sleneset,3,3014,3848,3848,8P11551,14,Southern 4,1.9984469098258546e-05,2602,0.16119854468835712,50
9,Sleneset,3,3014,3139,3139,8N73467,11,Southern 1,1.9968896441590056e-05,2603,0.16119854468835712,50
9,Sleneset,3,3014,614,614,8L89634,5,Hestmannøy,1.9682677823484873e-05,2604,0.16119854468835712,50
9,Sleneset,3,3014,1602,1602,8N05868,11,Southern 1,1.9552366354002038e-05,2605,0.16119854468835712,50
9,Sleneset,3,3014,3755,3755,8N87951,13,Southern 3,1.9271286595349614e-05,2606,0.16119854468835712,50
9,Sleneset,3,3014,1105,1105,8M72574,11,Southern 1,1.9234799308835427e-05,2607,0.16119854468835712,50
9,Sleneset,3,3014,3316,3316,8N73876,5,Hestmannøy,1.9187357061029863e-05,2608,0.16119854468835712,50
9,Sleneset,3,3014,1814,1814,8N06874,11,Southern 1,1.8861297092076514e-05,2609,0.16119854468835712,50
9,Sleneset,3,3014,2302,2302,8N14687,13,Southern 3,1.8768052254976713e-05,2610,0.16119854468835712,50
9,Sleneset,3,3014,2602,2602,8N28696,5,Hestmannøy,1.871557888959874e-05,2611,0.16119854468835712,50
9,Sleneset,3,3014,122,122,8L30604,11,Southern 1,1.865543567200898e-05,2612,0.16119854468835712,50
9,Sleneset,3,3014,3526,3526,8N87557,11,Southern 1,1.8389086782472955e-05,2613,0.16119854468835712,50
9,Sleneset,3,3014,3510,3510,8N87541,11,Southern 1,1.838364193875449e-05,2614,0.16119854468835712,50
9,Sleneset,3,3014,2456,2456,8N27407,7,Onøy og Lurøy,1.8248416742455698e-05,2615,0.16119854468835712,50
9,Sleneset,3,3014,3820,3820,8P11522,14,Southern 4,1.8169458342703823e-05,2616,0.16119854468835712,50
9,Sleneset,3,3014,4910,4910,8857274,10,Aldra,1.812281167867663e-05,2617,0.16119854468835712,50
9,Sleneset,3,3014,1950,1950,8N13654,14,Southern 4,1.8121956473649836e-05,2618,0.16119854468835712,50
9,Sleneset,3,3014,1318,1318,8N05195,13,Southern 3,1.79823134174234e-05,2619,0.16119854468835712,50
9,Sleneset,3,3014,2699,2699,8N42442,14,Southern 4,1.7714568249709918e-05,2620,0.16119854468835712,50
9,Sleneset,3,3014,4567,4567,8747118,5,Hestmannøy,1.7382970480042252e-05,2621,0.16119854468835712,50
9,Sleneset,3,3014,2660,2660,8N28945,2,Træna,1.728030639831103e-05,2622,0.16119854468835712,50
9,Sleneset,3,3014,2292,2292,8N14677,13,Southern 3,1.7277303123201525e-05,2623,0.16119854468835712,50
9,Sleneset,3,3014,2977,2977,8N72958,13,Southern 3,1.7174635175085663e-05,2624,0.16119854468835712,50
