target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction,v_full,n_source_islands
9,Sleneset,2,758124901,10,0.05,-0.0652368495595738,15
9,Sleneset,7,1367149506,10,0.05,0.0463421288720455,15
9,Sleneset,2,758124901,25,0.05,-0.0652368495595738,15
9,Sleneset,7,1367149506,25,0.05,0.0463421288720455,15
9,Sleneset,2,758124901,50,0.05,-0.0652368495595738,15
9,Sleneset,7,1367149506,50,0.05,0.0463421288720455,15
9,Sleneset,2,758124901,75,0.05,-0.0652368495595738,15
9,Sleneset,7,1367149506,75,0.05,0.0463421288720455,15
9,Sleneset,2,758124901,100,0.05,-0.0652368495595738,15
9,Sleneset,7,1367149506,100,0.05,0.0463421288720455,15
9,Sleneset,2,1853778448,10,0.1,0.539020985127798,15
9,Sleneset,7,915104090,10,0.1,0.2917545519177015,15
9,Sleneset,2,1853778448,25,0.1,0.539020985127798,15
9,Sleneset,7,915104090,25,0.1,0.2917545519177015,15
9,Sleneset,2,1853778448,50,0.1,0.539020985127798,15
9,Sleneset,7,915104090,50,0.1,0.2917545519177015,15
9,Sleneset,2,1853778448,75,0.1,0.539020985127798,15
9,Sleneset,7,915104090,75,0.1,0.2917545519177015,15
9,Sleneset,2,1853778448,100,0.1,0.539020985127798,15
9,Sleneset,7,915104090,100,0.1,0.2917545519177015,15
9,Sleneset,2,34125377,10,0.15,-0.2172636844580507,15
9,Sleneset,7,882026025,10,0.15,0.4105995877416467,15
9,Sleneset,2,34125377,25,0.15,-0.2172636844580507,15
9,Sleneset,7,882026025,25,0.15,0.4105995877416467,15
9,Sleneset,2,34125377,50,0.15,-0.2172636844580507,15
9,Sleneset,7,882026025,50,0.15,0.4105995877416467,15
9,Sleneset,2,34125377,75,0.15,-0.2172636844580507,15
9,Sleneset,7,882026025,75,0.15,0.4105995877416467,15
9,Sleneset,2,34125377,100,0.15,-0.2172636844580507,15
9,Sleneset,7,882026025,100,0.15,0.4105995877416467,15
9,Sleneset,2,2093256797,10,0.2,0.0279761362463301,15
9,Sleneset,7,1770577989,10,0.2,0.361462356175797,15
9,Sleneset,2,2093256797,25,0.2,0.0279761362463301,15
9,Sleneset,7,1770577989,25,0.2,0.361462356175797,15
9,Sleneset,2,2093256797,50,0.2,0.0279761362463301,15
9,Sleneset,7,1770577989,50,0.2,0.361462356175797,15
