n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
9,6,1847,0.1117749075038828,1.020069599151611,shapley_mean,-1,6,1847,9,Sleneset,5,1710782713,10,0.05
8,7,2106,0.1076271267273012,1.01785147190094,shapley_mean,-1,7,2106,9,Sleneset,5,1710782713,10,0.05
7,8,2462,0.1733447205847253,1.002200484275818,shapley_mean,-1,8,2462,9,Sleneset,5,1710782713,10,0.05
6,9,2859,0.1459291071261548,1.0091272592544556,shapley_mean,-1,9,2859,9,Sleneset,5,1710782713,10,0.05
5,10,3937,0.1435078955033134,1.0033241510391235,shapley_mean,-1,10,3937,9,Sleneset,5,1710782713,10,0.05
4,11,4521,0.1384780423082807,1.005260944366455,shapley_mean,-1,11,4521,9,Sleneset,5,1710782713,10,0.05
3,12,5079,0.0969560870376397,1.014471173286438,shapley_mean,-1,12,5079,9,Sleneset,5,1710782713,10,0.05
2,13,5281,0.1028706728504625,1.013085126876831,shapley_mean,-1,13,5281,9,Sleneset,5,1710782713,10,0.05
1,14,5373,0.1220334678272618,1.0087592601776123,shapley_mean,-1,14,5373,9,Sleneset,5,1710782713,10,0.05
0,15,5531,0.1470859128674381,0.9971341490745544,shapley_mean,-1,15,5531,9,Sleneset,5,1710782713,10,0.05
14,1,194,-0.027800714787982,1.0353227853775024,random_individual,0,1,194,9,Sleneset,5,1710782713,10,0.05
13,2,313,-0.0242785921630221,1.0355138778686523,random_individual,0,2,313,9,Sleneset,5,1710782713,10,0.05
12,3,486,0.023902388238686,1.0350488424301147,random_individual,0,3,486,9,Sleneset,5,1710782713,10,0.05
11,4,778,0.0463687617286404,1.0327351093292236,random_individual,0,4,778,9,Sleneset,5,1710782713,10,0.05
10,5,1264,0.0282602416244112,1.0332679748535156,random_individual,0,5,1264,9,Sleneset,5,1710782713,10,0.05
9,6,1847,0.0904980842078273,1.019474744796753,random_individual,0,6,1847,9,Sleneset,5,1710782713,10,0.05
