n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island,repeat,split_seed
5,1932,0.12539750337600708,1.1612306833267212,random_individual,1,0,0,14
6,2288,-0.0468042716383934,1.177372932434082,random_individual,1,0,0,14
7,2872,-0.03651013597846031,1.1776376962661743,random_individual,1,0,0,14
8,2964,0.10369275510311127,1.1850496530532837,random_individual,1,0,0,14
9,3361,0.0819321796298027,1.1716758012771606,random_individual,1,0,0,14
10,3919,0.2897263765335083,1.1475481986999512,random_individual,1,0,0,14
11,4502,0.06951045244932175,1.1652274131774902,random_individual,1,0,0,14
12,4988,0.22856692969799042,1.1464908123016357,random_individual,1,0,0,14
13,5161,0.12533442676067352,1.1721261739730835,random_individual,1,0,0,14
14,5319,0.20917639136314392,1.1568411588668823,random_individual,1,0,0,14
15,5578,0.23461981117725372,1.3916386365890503,random_individual,1,0,0,14
1,166,0.1564883589744568,1.148084044456482,random_individual,2,0,0,14
2,360,0.11181972920894623,1.1546963453292847,random_individual,2,0,0,14
3,652,0.15707062184810638,1.1530710458755493,random_individual,2,0,0,14
4,854,-0.0881047323346138,1.191845178604126,random_individual,2,0,0,14
5,1932,0.008170131593942642,1.16801917552948,random_individual,2,0,0,14
6,2288,0.06768841296434402,1.324629783630371,random_individual,2,0,0,14
7,2872,0.005607380997389555,1.1788207292556763,random_individual,2,0,0,14
8,2964,0.15211302042007446,1.1609586477279663,random_individual,2,0,0,14
9,3361,0.10009709745645523,1.1637386083602905,random_individual,2,0,0,14
10,3919,0.2008497714996338,1.1540430784225464,random_individual,2,0,0,14
11,4502,0.04172665625810623,1.1697697639465332,random_individual,2,0,0,14
12,4988,0.17205370962619781,1.1473256349563599,random_individual,2,0,0,14
13,5161,0.09015733748674393,1.1597620248794556,random_individual,2,0,0,14
14,5319,0.17357678711414337,1.1540485620498657,random_individual,2,0,0,14
15,5578,0.11534728854894638,1.1664533615112305,random_individual,2,0,0,14
1,166,-0.03219190239906311,1.174360752105713,random_individual,3,0,0,14
2,360,0.139418363571167,1.1459145545959473,random_individual,3,0,0,14
3,652,0.27066293358802795,1.1311687231063843,random_individual,3,0,0,14
4,854,0.11136116832494736,1.152059555053711,random_individual,3,0,0,14
5,1932,0.04039420560002327,1.2968922853469849,random_individual,3,0,0,14
6,2288,0.23619410395622253,1.213438630104065,random_individual,3,0,0,14
7,2872,0.21543210744857788,1.279335856437683,random_individual,3,0,0,14
8,2964,0.1857408732175827,1.291972279548645,random_individual,3,0,0,14
9,3361,0.2373058795928955,1.3165779113769531,random_individual,3,0,0,14
10,3919,0.17889076471328735,1.1434568166732788,random_individual,3,0,0,14
11,4502,0.1451501101255417,1.3775495290756226,random_individual,3,0,0,14
12,4988,0.2623177170753479,1.2255891561508179,random_individual,3,0,0,14
13,5161,0.20396926999092102,1.1549350023269653,random_individual,3,0,0,14
14,5319,0.23850497603416443,1.2617664337158203,random_individual,3,0,0,14
15,5578,0.2610889971256256,1.1447563171386719,random_individual,3,0,0,14
1,166,-0.0015606338856741786,1.1691869497299194,random_individual,4,0,0,14
2,360,-0.017554357647895813,1.221564769744873,random_individual,4,0,0,14
3,652,0.215852290391922,1.114949345588684,random_individual,4,0,0,14
4,854,0.1996244341135025,1.1626390218734741,random_individual,4,0,0,14
5,1932,0.2443547397851944,1.1462939977645874,random_individual,4,0,0,14
6,2288,0.15374797582626343,1.2760761976242065,random_individual,4,0,0,14
7,2872,0.1996529996395111,1.2807303667068481,random_individual,4,0,0,14
8,2964,0.2289048433303833,1.1896017789840698,random_individual,4,0,0,14
9,3361,0.24651822447776794,1.1758805513381958,random_individual,4,0,0,14
10,3919,-0.14152038097381592,1.1987508535385132,random_individual,4,0,0,14
11,4502,0.1632908433675766,1.1507936716079712,random_individual,4,0,0,14
12,4988,0.18507423996925354,1.158675193786621,random_individual,4,0,0,14
13,5161,0.1518116295337677,1.1544748544692993,random_individual,4,0,0,14
14,5319,0.19635054469108582,1.1566061973571777,random_individual,4,0,0,14
15,5578,0.06735306978225708,1.171617031097412,random_individual,4,0,0,14
1,194,0.1367313265800476,1.3653764724731445,shapley_mean,-1,0,1,1014
2,360,0.14656946063041687,1.357817530632019,shapley_mean,-1,0,1,1014
3,452,0.15255150198936462,1.3463226556777954,shapley_mean,-1,0,1,1014
4,1010,0.3296813368797302,1.3204213380813599,shapley_mean,-1,0,1,1014
5,1366,0.32298022508621216,1.3202145099639893,shapley_mean,-1,0,1,1014
6,1763,0.32163307070732117,1.3168727159500122,shapley_mean,-1,0,1,1014
7,2346,0.2980310022830963,1.3242799043655396,shapley_mean,-1,0,1,1014
8,2548,0.2949245572090149,1.3238401412963867,shapley_mean,-1,0,1,1014
9,2706,0.3097139596939087,1.323245882987976,shapley_mean,-1,0,1,1014
10,3192,0.3052919805049896,1.322858214378357,shapley_mean,-1,0,1,1014
11,4270,0.28159186244010925,1.3385614156723022,shapley_mean,-1,0,1,1014
12,4854,0.2805565893650055,1.3340997695922852,shapley_mean,-1,0,1,1014
13,5027,0.2661643922328949,1.347051978111267,shapley_mean,-1,0,1,1014
14,5319,0.2860753834247589,1.3363896608352661,shapley_mean,-1,0,1,1014
15,5578,0.2861008048057556,1.3344992399215698,shapley_mean,-1,0,1,1014
