target_island,repeat,split_seed,source_island,source_island_name,n_island,phi,phi_per_individual,v_full
0,3,3014,1,Myken,92,-0.023521319241262974,-0.0002556665134919888,0.4716093838214874
0,3,3014,2,Træna,292,0.010840776655822993,3.71259474514486e-05,0.4716093838214874
0,3,3014,3,Selvær,194,0.020613702398259194,0.00010625619792917111,0.4716093838214874
0,3,3014,4,Gjerøy,558,-0.04794340315274894,-8.592007733467552e-05,0.4716093838214874
0,3,3014,5,Hestmannøy,1078,0.431939390162006,0.0004006858906883172,0.4716093838214874
0,3,3014,6,Indre Kvarøy,356,-0.028682341752573847,-8.05683757094771e-05,0.4716093838214874
0,3,3014,7,Onøy og Lurøy,259,0.007014774717390537,2.708407226791713e-05,0.4716093838214874
0,3,3014,8,Lovund,158,-0.035250470147002486,-0.0002231042414367246,0.4716093838214874
0,3,3014,9,Sleneset,166,0.020495025464333592,0.00012346400882128671,0.4716093838214874
0,3,3014,10,Aldra,173,0.054436699207872155,0.00031466300120157315,0.4716093838214874
0,3,3014,11,Southern 1,583,0.032538759149611,5.581262289813207e-05,0.4716093838214874
0,3,3014,12,Southern 2,397,-0.0547190971672535,-0.00013783147901071409,0.4716093838214874
0,3,3014,13,Southern 3,584,0.06837199879810214,0.00011707534040770915,0.4716093838214874
0,3,3014,14,Southern 4,486,0.020347105944529174,4.186647313689131e-05,0.4716093838214874
0,3,3014,15,Southern 5,202,-0.00487221721559763,-2.411988720592886e-05,0.4716093838214874
0,4,4014,1,Myken,92,-0.07624455457553267,-0.0008287451584297029,0.29370421171188354
0,4,4014,2,Træna,292,-0.06241685587156098,-0.00021375635572452392,0.29370421171188354
0,4,4014,3,Selvær,194,0.018607570277526974,9.591531070890193e-05,0.29370421171188354
0,4,4014,4,Gjerøy,558,0.11833885000087321,0.00021207679211626023,0.29370421171188354
0,4,4014,5,Hestmannøy,1078,0.3505082324612886,0.00032514678335926586,0.29370421171188354
0,4,4014,6,Indre Kvarøy,356,-0.006957024382427335,-1.9542203321425096e-05,0.29370421171188354
0,4,4014,7,Onøy og Lurøy,259,-0.035779006755910815,-0.00013814288322745488,0.29370421171188354
0,4,4014,8,Lovund,158,-0.1167761533317389,-0.0007390895780489804,0.29370421171188354
0,4,4014,9,Sleneset,166,-0.01143923371564597,-6.8911046479795e-05,0.29370421171188354
0,4,4014,10,Aldra,173,0.02311675389064476,0.00013362285485921826,0.29370421171188354
0,4,4014,11,Southern 1,583,0.11600543982349336,0.0001989801712238308,0.29370421171188354
0,4,4014,12,Southern 2,397,0.005905294045805931,1.4874796085153479e-05,0.29370421171188354
0,4,4014,13,Southern 3,584,0.05353753487579525,9.167386108869049e-05,0.29370421171188354
0,4,4014,14,Southern 4,486,-0.030317316809669138,-6.238131030796118e-05,0.29370421171188354
0,4,4014,15,Southern 5,202,-0.0523853182210587,-0.0002593332585200926,0.29370421171188354
