n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island,repeat,split_seed
5,10,3914,0.1892656832933426,1.359204888343811,random_individual,3,0,2,2014
6,9,3331,0.19158108532428741,1.3836225271224976,random_individual,3,0,2,2014
7,8,3129,0.1710105538368225,1.3893414735794067,random_individual,3,0,2,2014
8,7,2643,0.28025323152542114,1.3538159132003784,random_individual,3,0,2,2014
9,6,1565,0.1876366287469864,1.353951334953308,random_individual,3,0,2,2014
10,5,1209,0.23471084237098694,1.4134960174560547,random_individual,3,0,2,2014
11,4,625,0.03349898010492325,1.4383654594421387,random_individual,3,0,2,2014
12,3,431,0.1434071809053421,1.386376976966858,random_individual,3,0,2,2014
13,2,258,0.0435357503592968,1.3899482488632202,random_individual,3,0,2,2014
14,1,92,-0.12169256806373596,1.5823129415512085,random_individual,3,0,2,2014
0,15,5578,0.19956225156784058,1.3429914712905884,random_individual,4,0,2,2014
1,14,5319,0.2634549140930176,1.320892333984375,random_individual,4,0,2,2014
2,13,5027,0.3302110433578491,1.299635410308838,random_individual,4,0,2,2014
3,12,4469,0.2955273687839508,1.3039873838424683,random_individual,4,0,2,2014
4,11,4311,0.2934201657772064,1.3004604578018188,random_individual,4,0,2,2014
5,10,3914,0.2724083364009857,1.3064037561416626,random_individual,4,0,2,2014
6,9,3331,0.32635870575904846,1.317325472831726,random_individual,4,0,2,2014
7,8,3129,0.3052000403404236,1.3075017929077148,random_individual,4,0,2,2014
8,7,2643,0.1727375090122223,1.4043426513671875,random_individual,4,0,2,2014
9,6,1565,0.16151730716228485,1.3803625106811523,random_individual,4,0,2,2014
10,5,1209,0.14431613683700562,1.4117070436477661,random_individual,4,0,2,2014
11,4,625,-0.08867312222719193,1.4014695882797241,random_individual,4,0,2,2014
12,3,431,-0.09225452691316605,1.4326847791671753,random_individual,4,0,2,2014
13,2,258,-0.18538826704025269,1.4001694917678833,random_individual,4,0,2,2014
14,1,92,-0.1425507813692093,1.4116196632385254,random_individual,4,0,2,2014
0,15,5578,0.2261763960123062,1.396103858947754,shapley_mean,-1,0,3,3014
1,14,5486,0.23965348303318024,1.351157307624817,shapley_mean,-1,0,3,3014
2,13,5328,0.24428965151309967,1.348920226097107,shapley_mean,-1,0,3,3014
3,12,4931,0.20853421092033386,1.364061951637268,shapley_mean,-1,0,3,3014
4,11,4373,0.18116095662117004,1.3592296838760376,shapley_mean,-1,0,3,3014
5,10,4017,0.13655208051204681,1.3772257566452026,shapley_mean,-1,0,3,3014
6,9,3815,0.18192261457443237,1.3273487091064453,shapley_mean,-1,0,3,3014
7,8,3556,0.2026260942220688,1.289171576499939,shapley_mean,-1,0,3,3014
8,7,3264,0.19750486314296722,1.333635687828064,shapley_mean,-1,0,3,3014
9,6,2778,0.21952350437641144,1.2971546649932861,shapley_mean,-1,0,3,3014
10,5,2195,0.2114151120185852,1.290925145149231,shapley_mean,-1,0,3,3014
11,4,2001,0.22975924611091614,1.2710827589035034,shapley_mean,-1,0,3,3014
12,3,1417,0.18624061346054077,1.3144298791885376,shapley_mean,-1,0,3,3014
13,2,1251,0.1425279825925827,1.3881158828735352,shapley_mean,-1,0,3,3014
14,1,1078,0.12496825307607651,1.4068740606307983,shapley_mean,-1,0,3,3014
0,15,5578,0.23525479435920715,1.3889139890670776,random_individual,0,0,3,3014
1,14,5486,0.23949918150901794,1.3823248147964478,random_individual,0,0,3,3014
2,13,5328,0.2391713559627533,1.3709579706192017,random_individual,0,0,3,3014
3,12,4931,0.17622224986553192,1.3662376403808594,random_individual,0,0,3,3014
4,11,4373,0.17770437896251678,1.4183162450790405,random_individual,0,0,3,3014
5,10,4017,0.17871583998203278,1.438438892364502,random_individual,0,0,3,3014
6,9,3815,0.17385973036289215,1.4153685569763184,random_individual,0,0,3,3014
7,8,3556,0.20989790558815002,1.3426271677017212,random_individual,0,0,3,3014
8,7,3264,0.16028261184692383,1.3889551162719727,random_individual,0,0,3,3014
9,6,2778,0.13269321620464325,1.4151225090026855,random_individual,0,0,3,3014
10,5,2195,0.0805555135011673,1.4064816236495972,random_individual,0,0,3,3014
11,4,2001,0.0847947895526886,1.3794924020767212,random_individual,0,0,3,3014
12,3,1417,0.10192364454269409,1.299461007118225,random_individual,0,0,3,3014
13,2,1251,0.07240307331085205,1.3467720746994019,random_individual,0,0,3,3014
14,1,1078,0.10980512201786041,1.307510495185852,random_individual,0,0,3,3014
0,15,5578,0.2702036499977112,1.3448089361190796,random_individual,1,0,3,3014
1,14,5486,0.23581914603710175,1.4211406707763672,random_individual,1,0,3,3014
2,13,5328,0.2407671958208084,1.3928025960922241,random_individual,1,0,3,3014
3,12,4931,0.194017693400383,1.4573103189468384,random_individual,1,0,3,3014
4,11,4373,0.22263097763061523,1.3983818292617798,random_individual,1,0,3,3014
5,10,4017,0.36419224739074707,1.2090212106704712,random_individual,1,0,3,3014
6,9,3815,0.23634396493434906,1.3552565574645996,random_individual,1,0,3,3014
7,8,3556,0.3077808618545532,1.301429033279419,random_individual,1,0,3,3014
8,7,3264,0.29700687527656555,1.2309767007827759,random_individual,1,0,3,3014
9,6,2778,0.21123546361923218,1.2234703302383423,random_individual,1,0,3,3014
10,5,2195,0.14415250718593597,1.2280181646347046,random_individual,1,0,3,3014
11,4,2001,-0.0045677172020077705,1.252892017364502,random_individual,1,0,3,3014
12,3,1417,0.2480941265821457,1.273704171180725,random_individual,1,0,3,3014
13,2,1251,0.29978147149086,1.1955785751342773,random_individual,1,0,3,3014
14,1,1078,0.3041994273662567,1.192787766456604,random_individual,1,0,3,3014
0,15,5578,0.21973779797554016,1.4223321676254272,random_individual,2,0,3,3014
1,14,5486,0.2608547508716583,1.34933602809906,random_individual,2,0,3,3014
2,13,5328,0.22980047762393951,1.3902732133865356,random_individual,2,0,3,3014
3,12,4931,0.22651034593582153,1.381339430809021,random_individual,2,0,3,3014
4,11,4373,0.19954347610473633,1.388436198234558,random_individual,2,0,3,3014
5,10,4017,0.18999582529067993,1.367936134338379,random_individual,2,0,3,3014
6,9,3815,0.23813067376613617,1.3481029272079468,random_individual,2,0,3,3014
7,8,3556,0.17675937712192535,1.371945858001709,random_individual,2,0,3,3014
8,7,3264,0.16317221522331238,1.3582953214645386,random_individual,2,0,3,3014
9,6,2778,0.1758807897567749,1.3381818532943726,random_individual,2,0,3,3014
10,5,2195,0.21167096495628357,1.262850046157837,random_individual,2,0,3,3014
11,4,2001,0.17681176960468292,1.385087013244629,random_individual,2,0,3,3014
12,3,1417,0.034146491438150406,1.2433239221572876,random_individual,2,0,3,3014
13,2,1251,-0.14213377237319946,1.2603079080581665,random_individual,2,0,3,3014
14,1,1078,0.21354438364505768,1.2807929515838623,random_individual,2,0,3,3014
0,15,5578,0.18478409945964813,1.441562294960022,random_individual,3,0,3,3014
1,14,5486,0.22253286838531494,1.463971734046936,random_individual,3,0,3,3014
2,13,5328,0.18631254136562347,1.5006662607192993,random_individual,3,0,3,3014
3,12,4931,0.20949417352676392,1.4547204971313477,random_individual,3,0,3,3014
4,11,4373,0.05368660017848015,1.2647147178649902,random_individual,3,0,3,3014
5,10,4017,0.21317869424819946,1.2354536056518555,random_individual,3,0,3,3014
6,9,3815,0.2195936143398285,1.359106421470642,random_individual,3,0,3,3014
7,8,3556,0.1709938794374466,1.2238351106643677,random_individual,3,0,3,3014
8,7,3264,0.029390014708042145,1.3072210550308228,random_individual,3,0,3,3014
9,6,2778,0.2722710072994232,1.2837992906570435,random_individual,3,0,3,3014
10,5,2195,0.21159660816192627,1.2107107639312744,random_individual,3,0,3,3014
11,4,2001,0.2325514703989029,1.2324457168579102,random_individual,3,0,3,3014
12,3,1417,0.3269294798374176,1.165258765220642,random_individual,3,0,3,3014
13,2,1251,0.011854532174766064,1.2517987489700317,random_individual,3,0,3,3014
14,1,1078,0.16578471660614014,1.2307205200195312,random_individual,3,0,3,3014
0,15,5578,0.24659183621406555,1.4050308465957642,random_individual,4,0,3,3014
1,14,5486,0.23713970184326172,1.4253077507019043,random_individual,4,0,3,3014
2,13,5328,0.266737699508667,1.3536438941955566,random_individual,4,0,3,3014
3,12,4931,0.20829813182353973,1.4285999536514282,random_individual,4,0,3,3014
4,11,4373,0.229882150888443,1.3788472414016724,random_individual,4,0,3,3014
5,10,4017,0.2592661380767822,1.4403234720230103,random_individual,4,0,3,3014
6,9,3815,0.17526249587535858,1.5835727453231812,random_individual,4,0,3,3014
7,8,3556,0.1755843311548233,1.5133895874023438,random_individual,4,0,3,3014
8,7,3264,0.14349789917469025,1.6120871305465698,random_individual,4,0,3,3014
