ringnr,island,score,rank
8794352,1,-0.0029909809672972187,58
8N14588,11,-0.0029484280639735516,59
8934893,5,-0.002896540318033658,60
8681009,0,-0.0028913858441228513,61
8981214,12,-0.002871615899493918,62
8M71865,5,-0.002855579645256512,63
8816949,4,-0.0028251377516426146,64
8N73624,13,-0.00280922303772968,65
8981156,12,-0.002807733544614166,66
8M71823,5,-0.002805189898936078,67
8N27307,5,-0.0028047863252140814,68
8M31713,5,-0.0028015270545438398,69
8730584,5,-0.002796664157358464,70
8816954,4,-0.0027711148868547752,71
8939379,7,-0.0027497993723955005,72
8573603,5,-0.002748945566054317,73
8N73626,11,-0.002722573066421319,74
8L89654,5,-0.002708515734411776,75
8N72348,6,-0.002705072249227669,76
8939762,5,-0.0026814079355972353,77
8P11051,9,-0.002681193863125486,78
8N14902,6,-0.0026752640696940944,79
8L64142,8,-0.0026628578707459383,80
8N87057,5,-0.0026508702314913535,81
8M71502,4,-0.0026311051715310896,82
8887342,5,-0.0026039604272227734,83
8M71867,5,-0.002593412544229068,84
8L89739,10,-0.0025914969954783373,85
8M71158,13,-0.002591433709312696,86
8N42520,5,-0.0025798105489229783,87
8681028,5,-0.0025729805347509682,88
8N87547,11,-0.002566797993495129,89
8M72406,13,-0.002558335276262369,90
8N05127,14,-0.002527773514884757,91
8857401,4,-0.00251302727519942,92
8N42715,4,-0.0025023542693816125,93
8747875,1,-0.002496208777301945,94
8668476,5,-0.002495422842912376,95
8L48310,5,-0.0024941212013800396,96
8L30468,12,-0.0024732541361345284,97
8934374,5,-0.002469528692017775,98
8981031,4,-0.0024321372184203938,99
8L89326,10,-0.0024087646379484795,100
8L48592,5,-0.0024040581702138297,101
8P11894,14,-0.002390747074969113,102
8651870,5,-0.002361490078328643,103
8P26527,9,-0.002361340962124814,104
8747757,7,-0.002360522265007603,105
8P26525,9,-0.002344109587284038,106
8N73950,12,-0.00232502970538917,107
8N13927,5,-0.0023150447668740526,108
8P11750,7,-0.0023148209147620946,109
8N14587,11,-0.002310500407475047,110
8N42734,4,-0.0022856662144477013,111
8939376,7,-0.0022805783737567253,112
8M31374,5,-0.0022742641158401966,113
8M72916,6,-0.00226704220767715,114
8N73678,13,-0.002251038073154632,115
8P14847,14,-0.0022448237432399765,116
8P14856,14,-0.0022258328535826877,117
8N73460,11,-0.0022132711455924436,118
8730497,4,-0.0021937428318778984,119
8N27835,6,-0.0021926929457549704,120
8P11833,15,-0.002181462106818799,121
8939184,1,-0.0021708521526306868,122
8N73636,13,-0.002150333260942716,123
8N42989,14,-0.002149777938029729,124
8N05199,13,-0.002146632530639181,125
8681038,5,-0.002146242157323286,126
8887310,5,-0.0021378148135227093,127
8800146,9,-0.002133300651621539,128
8N73623,13,-0.00212841565371491,129
8M72580,11,-0.0021193112625041977,130
8N05264,13,-0.002097178468829952,131
8800104,10,-0.0020916153298458084,132
8L89487,11,-0.002088079185341485,133
8N27119,7,-0.002073831157758832,134
8N87962,13,-0.0020723498601000756,135
8730486,5,-0.002070765374810435,136
8943897,5,-0.0020609068451449275,137
8P11538,15,-0.0020559370168484747,138
8939377,7,-0.002052087726042373,139
8N72672,11,-0.002037596253103402,140
8934899,0,-0.002020531552261673,141
8M71231,6,-0.0020198590027575847,142
8L48651,5,-0.0020192299998598173,143
8732685,5,-0.00201798444504675,144
8904640,7,-0.0020077956135082786,145
8N73406,4,-0.001991028620977886,146
8N05444,6,-0.001965197876415914,147
8800077,5,-0.001965165516594425,148
8934077,5,-0.0019559157371986657,149
8N73409,4,-0.0019511050486471504,150
8N27902,1,-0.0019507585457176901,151
8L89682,6,-0.001934835956490133,152
8681069,9,-0.0019307136972201988,153
8939360,5,-0.001926171091326978,154
8L30059,13,-0.001923699579492677,155
8747520,5,-0.0019230054058425594,156
8N05726,5,-0.0019215756183257326,157
8747735,7,-0.001909648213768378,158
8M31370,5,-0.0019051226645387942,159
8N42729,5,-0.0019005568028660491,160
8747732,7,-0.0018935485713882372,161
8573608,7,-0.0018799288664013147,162
8800027,4,-0.0018784798157867044,163
8747517,5,-0.0018726525513557135,164
8N14109,6,-0.0018725556365097873,165
8N14181,6,-0.001869192550657317,166
8L89503,5,-0.0018633224863151554,167
8N14187,5,-0.001861285803897772,168
8M71492,13,-0.0018541741737863049,169
8N05682,15,-0.001846251281676814,170
8P14852,14,-0.0018435732345096767,171
8N05190,13,-0.0018434909943607636,172
8681371,5,-0.0018428190669510514,173
8M72666,5,-0.0018423089350108057,174
8N72678,11,-0.0018422092107357457,175
8N87526,11,-0.0018373163184151053,176
8934059,5,-0.0018368254095548764,177
8L57927,3,-0.001836246079619741,178
8N14582,11,-0.0018361579641350545,179
8N87515,11,-0.001836141134845093,180
8981704,0,-0.0018264600075781345,181
8N73951,12,-0.0018246285326313227,182
8N87978,13,-0.0018198978796135634,183
8800519,5,-0.0018174747601733543,184
8M31824,12,-0.0018166851077694446,185
8P14196,5,-0.001796533069864381,186
8N73230,12,-0.0017956267693080008,187
8681396,7,-0.0017923874693224207,188
8N05445,6,-0.0017868839895527344,189
8P14992,14,-0.0017853822355391458,190
8M31789,11,-0.001784403808414936,191
8N05846,5,-0.0017783127696020529,192
8M31504,4,-0.0017717687296681106,193
8M31605,4,-0.0017673838956397958,194
8309287,5,-0.001763530686730519,195
8800102,10,-0.0017555982485646382,196
8N06311,5,-0.001750523821101524,197
8N05253,13,-0.0017372631118632853,198
8681454,5,-0.0017330657938146032,199
8651884,0,-0.0017298954699072056,200
8730417,4,-0.0017260698659811169,201
8N06786,5,-0.0017231899328180589,202
8L30591,5,-0.0017220538866240531,203
8N05709,5,-0.0017198595887748525,204
8M31764,11,-0.0017179809874505736,205
8N42706,4,-0.0017170240898849443,206
8747758,5,-0.0017163068550871685,207
8800171,10,-0.0017072457558242604,208
8681403,5,-0.0017026546265697107,209
8N14668,13,-0.0016966456023510545,210
8573989,3,-0.001691963421762921,211
8N73533,5,-0.0016895594744710252,212
8981604,10,-0.0016895350418053567,213
8N05168,12,-0.0016859743700479157,214
8L48479,4,-0.001684220609604381,215
8N14968,7,-0.001675763342063874,216
8943009,5,-0.001675759704085067,217
8N87774,5,-0.0016756693439674564,218
