trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind,source_lat,source_lon,target_lat,target_lon,geo_distance_km,phi_per_ind_1e4,shapley_sign
thr_tarsus,12,Vega,2,Træna,286,-0.0003275280754367,0.117199393385128,-1.1452030609676315e-06,0.0004097880887591,10,9,66.498248,12.082706,65.657315,11.910286,93.83014047761338,-0.011452030609676315,Negative
thr_tarsus,12,Vega,3,Selvær,194,-0.01967029395226,0.0426847500107869,-0.0001013932677951,0.0002200244845916,10,12,66.586744,12.237925,65.657315,11.910286,104.39443539345504,-1.013932677951,Negative
thr_tarsus,12,Vega,4,Gjerøy,555,-0.020205913139818,0.0984421450836447,-3.640705070237487e-05,0.0001773732343849,10,11,66.615165,13.023725,65.657315,11.910286,117.69384186202014,-0.36407050702374866,Negative
thr_tarsus,12,Vega,5,Hestmannøy,1063,0.0389729324193594,0.1230949727964131,3.666315373411049e-05,0.0001157995981151,10,6,66.536102,12.838656,65.657315,11.910286,106.2900954679976,0.3666315373411049,Positive
thr_tarsus,12,Vega,6,Indre Kvarøy,348,-0.0640807512661933,0.0555392035350148,-0.0001841400898453,0.0001595954124569,10,13,66.484892,12.945714,65.657315,11.910286,103.19039109510574,-1.841400898453,Negative
thr_tarsus,12,Vega,7,Onøy og Lurøy,257,0.0150894736253187,0.1081869996987549,5.8713905156882144e-05,0.000420961088322,10,5,66.406531,12.863522,65.657315,11.910286,93.77608063958276,0.5871390515688214,Positive
thr_tarsus,12,Vega,8,Lovund,152,0.0264763871499164,0.0608009290030866,0.0001741867575652,0.0004000061118624,10,3,66.363291,12.339011,65.657315,11.910286,80.85793785329014,1.741867575652,Positive
thr_tarsus,12,Vega,9,Sleneset,163,0.0293521926634403,0.0329217661405,0.0001800748016161,0.0002019740254018,10,2,66.360922,12.595983,65.657315,11.910286,84.1545356354321,1.800748016161,Positive
thr_tarsus,12,Vega,10,Aldra,173,0.0020944075809384,0.0653189232475742,1.2106402201956248e-05,0.0003775660303327,10,7,66.408641,13.059615,65.657315,11.910286,98.35590063445129,0.12106402201956248,Positive
thr_tarsus,12,Vega,11,Leka,583,0.0024392358395758,0.0524278996971653,4.183937975258692e-06,8.992778678759071e-05,10,8,65.08345,11.634547,65.657315,11.910286,65.07759475778198,0.041839379752586926,Positive
thr_tarsus,12,Vega,13,Vikna,583,-0.0063522573239389,0.1570641551719547,-1.0895810161130302e-05,0.0002694067841714,10,10,64.905897,11.023292,65.657315,11.910286,93.17635764242071,-0.10895810161130302,Negative
thr_tarsus,12,Vega,14,Lauvøya,688,0.0623330979862282,0.1963644173260652,9.060043311951776e-05,0.0002854133972762,10,4,63.928508,9.933058,65.657315,11.910286,213.80241739673264,0.9060043311951775,Positive
thr_tarsus,13,Vikna,0,Nesøy,117,0.0003404234376487,0.0688632574258448,2.9096020311856005e-06,0.0005885748497935,10,9,66.574584,12.646056,64.905897,11.023292,199.79729199077198,0.029096020311856007,Positive
thr_tarsus,13,Vikna,1,Myken,92,0.0081938006450372,0.0219016811541304,8.906305048953528e-05,0.0002380617516753,10,4,66.760027,12.478567,64.905897,11.023292,216.53801730892877,0.8906305048953528,Positive
thr_tarsus,13,Vikna,2,Træna,286,0.0212607011922863,0.0875730786148745,7.433811605694516e-05,0.0003061995755764,10,7,66.498248,12.082706,64.905897,11.023292,183.5702186335209,0.7433811605694516,Positive
thr_tarsus,13,Vikna,3,Selvær,194,0.0158918766329766,0.0418074624993074,8.191688986070427e-05,0.000215502384017,10,5,66.586744,12.237925,64.905897,11.023292,194.9532977258153,0.8191688986070427,Positive
thr_tarsus,13,Vikna,4,Gjerøy,555,0.042383965585374,0.0786910135333233,7.636750555923248e-05,0.0001417856099699,10,6,66.615165,13.023725,64.905897,11.023292,210.83863166091695,0.7636750555923248,Positive
thr_tarsus,13,Vikna,5,Hestmannøy,1063,-0.0025823428578469,0.10108115733114,-2.429297138143852e-06,9.50904584488618e-05,10,10,66.536102,12.838656,64.905897,11.023292,199.3499655831265,-0.024292971381438523,Negative
thr_tarsus,13,Vikna,6,Indre Kvarøy,348,0.0253538744971913,0.0382976611235751,7.285596119882583e-05,0.0001100507503551,10,8,66.484892,12.945714,64.905897,11.023292,196.36631708257528,0.7285596119882584,Positive
thr_tarsus,13,Vikna,7,Onøy og Lurøy,257,0.0250271109833286,0.0535503078648069,9.738175479894415e-05,0.0002083669566724,10,3,66.406531,12.863522,64.905897,11.023292,186.95208564615646,0.9738175479894415,Positive
thr_tarsus,13,Vikna,8,Lovund,152,-0.0217858113407756,0.0409146664249175,-0.0001433277061893,0.000269175437006,10,13,66.363291,12.339011,64.905897,11.023292,172.92091389543634,-1.433277061893,Negative
thr_tarsus,13,Vikna,9,Sleneset,163,0.0220103134088458,0.051256782021977,0.0001350325976002,0.0003144587854109,10,2,66.360922,12.595983,64.905897,11.023292,177.1365583196607,1.350325976002,Positive
thr_tarsus,13,Vikna,10,Aldra,173,-0.0059764292787273,0.0641172276446226,-3.454583398108308e-05,0.0003706198129746,10,12,66.408641,13.059615,64.905897,11.023292,191.3741612522616,-0.3454583398108308,Negative
thr_tarsus,13,Vikna,11,Leka,583,0.080435196921147,0.0962012020059297,0.0001379677477206,0.000165010638089,10,1,65.08345,11.634547,64.905897,11.023292,34.85987552283562,1.3796774772059999,Positive
thr_tarsus,13,Vikna,12,Vega,396,-0.090060464575369,0.1007629797981419,-0.0002274254155943,0.0002544519691872,10,14,65.657315,11.910286,64.905897,11.023292,93.17635764242071,-2.2742541559430003,Negative
thr_tarsus,13,Vikna,14,Lauvøya,688,-0.0102600485143588,0.0886348086210401,-1.491286121273091e-05,0.0001288296636933,10,11,63.928508,9.933058,64.905897,11.023292,120.6269986777565,-0.1491286121273091,Negative
thr_tarsus,14,Lauvøya,0,Nesøy,117,-0.0192751879094758,0.067341506318428,-0.0001647451958074,0.000575568430072,10,13,66.574584,12.646056,63.928508,9.933058,320.11818234304565,-1.647451958074,Negative
thr_tarsus,14,Lauvøya,1,Myken,92,-0.0446425648765303,0.0455604099976692,-0.000485245270397,0.0004952218478007,10,14,66.760027,12.478567,63.928508,9.933058,336.1969051410113,-4.85245270397,Negative
thr_tarsus,14,Lauvøya,2,Træna,286,-0.0322061727113756,0.039228102008611,-0.0001126089954943,0.0001371611958343,10,12,66.498248,12.082706,63.928508,9.933058,302.7617332650209,-1.1260899549430001,Negative
thr_tarsus,14,Lauvøya,3,Selvær,194,0.0135539842654027,0.0505132091595146,6.986589827527175e-05,0.0002603773668016,10,7,66.586744,12.237925,63.928508,9.933058,314.3929669088815,0.6986589827527174,Positive
thr_tarsus,14,Lauvøya,4,Gjerøy,555,-0.0082065882391564,0.0807814589794895,-1.4786645475957476e-05,0.0001455521783414,10,9,66.615165,13.023725,63.928508,9.933058,331.4408247553052,-0.14786645475957474,Negative
thr_tarsus,14,Lauvøya,5,Hestmannøy,1063,0.0150465700969944,0.1110067438091574,1.415481664816038e-05,0.000104427792859,10,8,66.536102,12.838656,63.928508,9.933058,319.9091343034955,0.1415481664816038,Positive
thr_tarsus,14,Lauvøya,6,Indre Kvarøy,348,-0.0129616227406384,0.0624277057445854,-3.724604235815635e-05,0.0001793899590361,10,11,66.484892,12.945714,63.928508,9.933058,316.9908133537998,-0.3724604235815635,Negative
thr_tarsus,14,Lauvøya,7,Onøy og Lurøy,257,0.0620786321040806,0.072012200965897,0.0002415510976812,0.0002802031165988,10,1,66.406531,12.863522,63.928508,9.933058,307.5784894864828,2.415510976812,Positive
thr_tarsus,14,Lauvøya,8,Lovund,152,0.0319624452541597,0.0333144003830639,0.0002102792450931,0.0002191736867306,10,2,66.363291,12.339011,63.928508,9.933058,293.1072145452544,2.102792450931,Positive
thr_tarsus,14,Lauvøya,9,Sleneset,163,0.0294758452424678,0.0687983731021251,0.0001808334063955,0.0004220759086019,10,4,66.360922,12.595983,63.928508,9.933058,297.6721376741345,1.808334063955,Positive
thr_tarsus,14,Lauvøya,10,Aldra,173,0.0244762638698602,0.062733622228939,0.0001414812940454,0.0003626220938088,10,5,66.408641,13.059615,63.928508,9.933058,311.9538045293238,1.414812940454,Positive
thr_tarsus,14,Lauvøya,11,Leka,583,0.0662163425879789,0.1197332217851966,0.0001135786322263,0.0002053743083794,10,6,65.08345,11.634547,63.928508,9.933058,152.0544293116098,1.135786322263,Positive
thr_tarsus,14,Lauvøya,12,Vega,396,0.0742768454795426,0.1058286582261279,0.000187567791615,0.0002672440864296,10,3,65.657315,11.910286,63.928508,9.933058,213.80241739673264,1.8756779161500001,Positive
thr_tarsus,14,Lauvøya,13,Vikna,583,-0.0181824018777645,0.0626364876569458,-3.118765330662872e-05,0.0001074382292571,10,10,64.905897,11.023292,63.928508,9.933058,120.6269986777565,-0.3118765330662872,Negative
thr_wing,0,Nesøy,1,Myken,92,0.002939474023027,0.0627278354259076,3.195080459811985e-05,0.0006818242981076,10,11,66.760027,12.478567,66.574584,12.646056,21.89997585625237,0.31950804598119853,Positive
thr_wing,0,Nesøy,2,Træna,286,0.0644528212529352,0.0596720001550904,0.0002253595148704,0.0002086433571856,10,1,66.498248,12.082706,66.574584,12.646056,26.346499755857668,2.253595148704,Positive
thr_wing,0,Nesøy,3,Selvær,191,0.0131394013997842,0.0515322124688333,6.879267748578157e-05,0.0002698021595226,10,6,66.586744,12.237925,66.574584,12.646056,18.088059525853904,0.6879267748578157,Positive
