source_island,target_island,source_island_name,target_island_name,geo_distance_km,phi_per_ind_mean,n_traits,phi_per_ind_1e4,shapley_sign
4,0,Gjerøy,Nesøy,17.281149760859467,7.521478853735342e-05,3,0.7521478853735342,Positive
4,1,Gjerøy,Myken,28.895620061767442,-8.782520363867576e-06,3,-0.08782520363867576,Negative
4,2,Gjerøy,Træna,43.61110539152316,-5.460216155218888e-06,3,-0.05460216155218888,Negative
4,3,Gjerøy,Selvær,34.843669936832505,-1.9902480476909036e-05,3,-0.19902480476909037,Negative
4,5,Gjerøy,Hestmannøy,12.008953821559212,0.00012733094216809144,3,1.2733094216809144,Positive
4,6,Gjerøy,Indre Kvarøy,14.891341339762576,0.00015168154445180745,3,1.5168154445180746,Positive
4,7,Gjerøy,Onøy og Lurøy,24.261245476020058,5.4655778425236424e-05,3,0.5465577842523642,Positive
4,8,Gjerøy,Lovund,41.3141859046234,3.351465236114203e-05,3,0.33514652361142033,Positive
4,9,Gjerøy,Sleneset,34.0478201085102,-5.2966162879068035e-05,3,-0.5296616287906803,Negative
4,10,Gjerøy,Aldra,23.019468666790445,-3.7740705157825457e-06,3,-0.037740705157825453,Negative
4,11,Gjerøy,Leka,181.65582547188887,4.348266595749596e-05,3,0.4348266595749596,Positive
4,12,Gjerøy,Vega,117.69384186202014,9.81630383145392e-06,3,0.09816303831453921,Positive
4,13,Gjerøy,Vikna,210.83863166091695,9.354149156416734e-06,3,0.09354149156416734,Positive
4,14,Gjerøy,Lauvøya,331.4408247553052,-3.1844310058343355e-05,3,-0.31844310058343356,Negative
5,0,Hestmannøy,Nesøy,9.534789809742941,2.1588465232955642e-05,3,0.21588465232955642,Positive
5,1,Hestmannøy,Myken,29.52729444660615,8.739629133274347e-05,3,0.8739629133274347,Positive
5,2,Hestmannøy,Træna,33.75813562529129,1.8303478045655135e-05,3,0.18303478045655136,Positive
5,3,Hestmannøy,Selvær,27.160136758982777,4.907366111672534e-05,3,0.49073661116725337,Positive
5,4,Hestmannøy,Gjerøy,12.008953821559212,7.123159413550799e-05,3,0.7123159413550799,Positive
5,6,Hestmannøy,Indre Kvarøy,7.412051367140754,0.00012082788227741665,3,1.2082788227741665,Positive
5,7,Hestmannøy,Onøy og Lurøy,14.449877852297275,7.872976395650726e-05,3,0.7872976395650727,Positive
5,8,Hestmannøy,Lovund,29.35995081989071,-7.838105856721861e-06,3,-0.07838105856721861,Negative
5,9,Hestmannøy,Sleneset,22.26408239542809,-6.131769226557311e-06,3,-0.061317692265573105,Negative
5,10,Hestmannøy,Aldra,17.23572101384943,4.1739357371895946e-05,3,0.41739357371895947,Positive
5,11,Hestmannøy,Leka,170.5832403766758,3.1725293143595415e-05,3,0.3172529314359542,Positive
5,12,Hestmannøy,Vega,106.2900954679976,2.0233079710065484e-05,3,0.20233079710065485,Positive
5,13,Hestmannøy,Vikna,199.3499655831265,-4.001929924643265e-05,3,-0.4001929924643265,Negative
5,14,Hestmannøy,Lauvøya,319.9091343034955,-2.503192687322961e-06,3,-0.02503192687322961,Negative
6,0,Indre Kvarøy,Nesøy,16.600488854328603,4.567792017366022e-05,3,0.4567792017366022,Positive
6,1,Indre Kvarøy,Myken,36.88857339434147,7.261096088186408e-05,3,0.7261096088186407,Positive
6,2,Indre Kvarøy,Træna,38.30629687683305,-1.0330123934499273e-05,3,-0.10330123934499273,Negative
6,3,Indre Kvarøy,Selvær,33.320994417271756,7.183034887851894e-05,3,0.7183034887851893,Positive
6,4,Indre Kvarøy,Gjerøy,14.891341339762576,0.0001999173421945,3,1.9991734219450001,Positive
6,5,Indre Kvarøy,Hestmannøy,7.412051367140754,0.00021259433135517518,3,2.125943313551752,Positive
6,7,Indre Kvarøy,Onøy og Lurøy,9.447828453947155,0.00011873329073816667,3,1.1873329073816667,Positive
6,8,Indre Kvarøy,Lovund,30.18069711388027,0.00014021221874955638,3,1.4021221874955638,Positive
