n_islands,n_individuals,corr_eval,mse_adj,method,order_seed,target_island
3,416,0.11199824673462996,1.2590694427490234,random_individual,1,0
4,708,-0.03723478869668716,1.2841061353683472,random_individual,1,0
5,910,-0.1422728051306904,1.3003017902374268,random_individual,1,0
6,1494,0.03642879898715496,1.288447618484497,random_individual,1,0
7,2572,0.05613807477761938,1.2922382354736328,random_individual,1,0
8,2928,0.13236234054428878,1.280854344367981,random_individual,1,0
9,3486,0.1518816430678414,1.2723417282104492,random_individual,1,0
10,4069,0.1310180991767033,1.2818671464920044,random_individual,1,0
11,4555,0.16325602820843185,1.282349944114685,random_individual,1,0
12,4814,0.15388557683398127,1.2810523509979248,random_individual,1,0
13,5211,0.20625856999165504,1.260266661643982,random_individual,1,0
14,5405,0.20638514628176363,1.2591216564178467,random_individual,1,0
15,5578,0.20352806433023254,1.2622796297073364,random_individual,1,0
1,158,0.08956740728625136,1.3167182207107544,random_individual,2,0
2,250,0.13300709166447308,1.2730220556259155,random_individual,2,0
3,416,-0.01613361046508672,1.2863960266113281,random_individual,2,0
4,708,-0.003115073700038557,1.2944707870483398,random_individual,2,0
5,910,0.015660874466682084,1.2867647409439087,random_individual,2,0
6,1494,0.21527363606143912,1.2628507614135742,random_individual,2,0
7,2572,0.30046991891923375,1.2283813953399658,random_individual,2,0
8,2928,0.24852257992793406,1.242957353591919,random_individual,2,0
9,3486,0.2182147732071073,1.253126859664917,random_individual,2,0
10,4069,0.2259440098502067,1.2599385976791382,random_individual,2,0
11,4555,0.17688965507415036,1.2765214443206787,random_individual,2,0
12,4814,0.1911147589176546,1.2687371969223022,random_individual,2,0
13,5211,0.19189895232336243,1.2707558870315552,random_individual,2,0
14,5405,0.18940727500513344,1.2699557542800903,random_individual,2,0
15,5578,0.20352806433023254,1.2622796297073364,random_individual,2,0
1,158,-0.10587965273238716,1.3275169134140015,random_individual,3,0
2,250,-0.14445677026672493,1.28733229637146,random_individual,3,0
3,416,-0.22028610476300925,1.2957873344421387,random_individual,3,0
4,708,-0.11696934974330753,1.300169825553894,random_individual,3,0
5,910,-0.06635060441274032,1.29498291015625,random_individual,3,0
6,1494,0.06070767430049197,1.2915438413619995,random_individual,3,0
7,2572,0.0906388293866041,1.281070590019226,random_individual,3,0
8,2928,0.17007082634540083,1.2656209468841553,random_individual,3,0
9,3486,0.2266248017067129,1.250594139099121,random_individual,3,0
10,4069,0.15041194723983248,1.2730276584625244,random_individual,3,0
11,4555,0.22664821425425954,1.255735993385315,random_individual,3,0
12,4814,0.22090528097165468,1.2589242458343506,random_individual,3,0
13,5211,0.22306976793969685,1.260995626449585,random_individual,3,0
14,5405,0.20981724161877616,1.2598506212234497,random_individual,3,0
15,5578,0.20352806433023254,1.2622796297073364,random_individual,3,0
1,158,-0.021682163469300943,1.278751254081726,random_individual,4,0
2,250,-0.2340705449092632,1.290502905845642,random_individual,4,0
3,416,-0.1285462433081151,1.2938988208770752,random_individual,4,0
4,708,0.13652987403723535,1.2810097932815552,random_individual,4,0
5,910,0.15861477923739917,1.2729995250701904,random_individual,4,0
6,1494,0.16252762067371193,1.2612649202346802,random_individual,4,0
7,2572,0.19670526631663782,1.2547860145568848,random_individual,4,0
8,2928,0.20224703812194533,1.2573977708816528,random_individual,4,0
9,3486,0.20708495904506147,1.256130576133728,random_individual,4,0
10,4069,0.20669922465778187,1.2550703287124634,random_individual,4,0
11,4555,0.1757662792158025,1.2679767608642578,random_individual,4,0
12,4814,0.17168934301977207,1.2758476734161377,random_individual,4,0
13,5211,0.2003506905620024,1.268078327178955,random_individual,4,0
14,5405,0.19078063820859328,1.270003080368042,random_individual,4,0
15,5578,0.20352806433023254,1.2622796297073364,random_individual,4,0
