trait,trait_label,fold,test_island_code,test_island,test_size,n_train,pearson_r,mean_inner_r,outer_minus_inner_r,alpha,log10_alpha,n_pcs,num_snps,weighting_method,weighting_label,clip_max,prob_clip,n_components,n_components_used,logistic_c,rho,pca_fit,effective_sample_size,pre_shrink_effective_sample_size,ess_ratio,pre_shrink_ess_ratio,inner_validation_top_k_requested,inner_validation_top_k_used,inner_validation_n_samples,top_inner_avg_grm,source_file
thr_tarsus,Tarsus length,6,5,Hestmannøy,1063,4587,0.2324243302555831,0.2763152141403451,-0.043890883884762005,146542.55724796277,5.165963765945915,3000,3000,pc_logistic,PC logistic,1.5,0.00778103742896959,100,100,0.003177629432430359,0.7,combined,3319.640165416819,1135.3310212206134,0.723706162070377,0.24751057798574522,10,10,2337,0.004675279263368585,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,7,6,Indre Kvarøy,348,5302,0.3993565662272506,0.2787828578345498,0.12057370839270076,102963.81799368463,5.012684638236329,5000,5000,pc_logistic,PC logistic,7.0,0.04880619478183517,10,10,2.6952770143174326e-05,1.0,combined,3473.7378728531744,3473.7378728531744,0.6551750043102932,0.6551750043102932,10,10,3052,0.004343204854231577,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,8,7,Onøy og Lurøy,257,5393,0.22090646008743683,0.3199187670652047,-0.09901230697776789,69401.92766583264,4.841371533322398,5000,5000,pc_logistic,PC logistic,4.0,0.003994033345040329,40,40,5.505854160191908,0.3,combined,4226.754047030577,710.6769062714965,0.7837482008215422,0.13177765738392294,10,10,3143,0.009144271519545595,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,9,8,Lovund,152,5498,0.39390337676758713,0.27137529752595996,0.12252807924162717,223291.6885066247,5.348872557809958,1000,1000,pc_logistic,PC logistic,7.0,0.049527228265069674,10,10,0.00011942611488835688,0.5,combined,5056.0096950670295,4073.5726530126476,0.9196088932460948,0.7409189983653415,10,10,3471,0.021955154951598516,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,10,9,Sleneset,163,5487,0.2735376218714118,0.2999094685704829,-0.02637184669907111,96815.03771776725,4.985942818988404,5000,5000,pc_logistic,PC logistic,7.0,0.03677644790573778,10,10,2.2927762335042683e-05,0.7,combined,4752.767815318993,4171.748380528357,0.8661869537669022,0.7602967706448619,10,10,3460,0.02195515495159852,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,11,10,Aldra,173,5477,0.2075158684642544,0.2954355284152209,-0.08791965995096651,153954.2917408332,5.187391800114059,3000,3000,pc_logistic,PC logistic,7.0,0.03974193864316837,60,60,1.048864756106958e-05,1.0,combined,5464.387327523428,5464.387327523428,0.9976971567506716,0.9976971567506716,10,10,3337,0.00110744931795462,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,12,11,Leka,583,5067,0.24658221114614445,0.24362631662666626,0.002955894519478197,119182.05933404806,5.076210885281474,2500,2500,pc_logistic,PC logistic,7.0,0.0024320011935490787,40,40,0.17805433465897466,0.3,combined,3244.202814953091,238.6354239472635,0.6402610647233257,0.047095998410748664,10,10,3009,0.011677912618427669,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,13,12,Vega,396,5254,0.16096439221314107,0.26980561991510776,-0.10884122770196669,292760.38669930206,5.466512312134397,5000,5000,pc_logistic,PC logistic,4.0,0.03199895162903667,100,100,0.00196680425012868,0.3,combined,5070.222965246096,3745.5342716844657,0.9650215008081644,0.7128919436019158,10,10,3115,0.0006882771963559604,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,14,13,Vikna,583,5067,0.16041209657168803,0.2756293326040407,-0.11521723603235268,189345.54369454496,5.277255088323266,3000,3000,pc_logistic,PC logistic,4.0,0.012660515805333738,40,40,2.199808021291629,0.3,combined,4305.2273325853075,413.2051159026089,0.8496600222193226,0.08154827627839134,10,10,2928,0.011677912618427669,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
thr_tarsus,Tarsus length,15,14,Lauvøya,688,4962,0.17487870224983312,0.251819684542681,-0.07694098229284788,113350.71377261696,5.054424259235653,5000,5000,pc_logistic,PC logistic,4.0,0.005305884007221519,60,60,0.10647828317532787,0.3,combined,4003.273130901362,1325.1492675844704,0.8067862013102302,0.2670595057606752,10,10,2823,0.010510304963582934,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e6_pc_ridge_importance\thr_tarsus\e6_pc_ridge_importance_thr_tarsus_results.json
