n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
8,7,2614,0.35912504722228095,0.9364024996757507,random_individual,1,7,2614,8
7,8,3692,0.40607139103597706,0.9082021713256836,random_individual,1,8,3692,8
6,9,3894,0.42437177819856375,0.9023590087890625,random_individual,1,9,3894,8
5,10,4380,0.4335537514443539,0.8925197720527649,random_individual,1,10,4380,8
4,11,4472,0.4407652293066082,0.8892620801925659,random_individual,1,11,4472,8
3,12,4869,0.42692998448644714,0.8921382427215576,random_individual,1,12,4869,8
2,13,4988,0.4358706050773465,0.8884239792823792,random_individual,1,13,4988,8
1,14,5280,0.42758805638352837,0.891289472579956,random_individual,1,14,5280,8
0,15,5539,0.4384006125687498,0.88299560546875,random_individual,1,15,5539,8
14,1,356,0.4113030058739469,0.9982523322105408,random_individual,2,1,356,8
13,2,550,0.3901528760118268,0.9883543252944946,random_individual,2,2,550,8
12,3,716,0.4195281140099021,0.9923602938652039,random_individual,2,3,716,8
11,4,1274,0.45108478078088526,0.9678661823272705,random_individual,2,4,1274,8
10,5,1858,0.44127006467854973,0.9461802840232849,random_individual,2,5,1858,8
9,6,2441,0.4417481186515094,0.916587233543396,random_individual,2,6,2441,8
8,7,2614,0.4251214601118846,0.9190691113471985,random_individual,2,7,2614,8
7,8,3692,0.4411076920900709,0.8911854028701782,random_individual,2,8,3692,8
6,9,3894,0.43103776937566857,0.8943003416061401,random_individual,2,9,3894,8
5,10,4380,0.3971787423096869,0.9044082760810852,random_individual,2,10,4380,8
4,11,4472,0.4105985586187945,0.8973032236099243,random_individual,2,11,4472,8
3,12,4869,0.42278637659411794,0.8878742456436157,random_individual,2,12,4869,8
2,13,4988,0.42021819559967594,0.8883342742919922,random_individual,2,13,4988,8
1,14,5280,0.4275081762193689,0.8881175518035889,random_individual,2,14,5280,8
0,15,5539,0.4384006125687498,0.88299560546875,random_individual,2,15,5539,8
14,1,356,0.1741018118823554,1.0180140733718872,random_individual,3,1,356,8
13,2,550,0.11699667480864312,1.0277882814407349,random_individual,3,2,550,8
12,3,716,0.12342264732554885,1.0259329080581665,random_individual,3,3,716,8
11,4,1274,0.23233653542053634,0.9897118806838989,random_individual,3,4,1274,8
10,5,1858,0.20661473400148778,0.9882965683937073,random_individual,3,5,1858,8
9,6,2441,0.22409665243596089,0.979356586933136,random_individual,3,6,2441,8
8,7,2614,0.23504143399875674,0.9766057729721069,random_individual,3,7,2614,8
7,8,3692,0.39318379174815915,0.9218202233314514,random_individual,3,8,3692,8
6,9,3894,0.40990989188848265,0.9114488959312439,random_individual,3,9,3894,8
5,10,4380,0.4455750894002648,0.8878911137580872,random_individual,3,10,4380,8
4,11,4472,0.43732609549019447,0.8882869482040405,random_individual,3,11,4472,8
3,12,4869,0.4429177028665912,0.8786638379096985,random_individual,3,12,4869,8
2,13,4988,0.4433323634571541,0.8788803219795227,random_individual,3,13,4988,8
1,14,5280,0.42611057510410594,0.885802686214447,random_individual,3,14,5280,8
0,15,5539,0.4384006125687498,0.88299560546875,random_individual,3,15,5539,8
14,1,356,0.1164722107412988,1.0304161310195923,random_individual,4,1,356,8
13,2,550,0.17622491982793373,1.0328086614608765,random_individual,4,2,550,8
12,3,716,0.3357301686341351,1.0024571418762207,random_individual,4,3,716,8
11,4,1274,0.32039678715441555,0.9857653975486755,random_individual,4,4,1274,8
10,5,1858,0.3064626672067634,0.978202760219574,random_individual,4,5,1858,8
