trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,4,pevmean_ga,1000,0.1148940231468595,,1.4744879007339478,1
body_mass,4,pevmean_ga,1500,0.1222867067195676,,1.478191614151001,1
body_mass,4,pevmean_ga,2000,0.0487837864246505,,1.5132464170455933,1
body_mass,4,pevmean_ga,2500,0.0780039251098086,,1.4868017435073853,1
body_mass,4,pevmean_ga,3000,0.0782889550588667,,1.493391752243042,1
body_mass,4,pevmean_ga,3500,0.1490868086112932,,1.456748604774475,1
body_mass,4,pevmean_ga,4000,0.081676988447778,,1.4902667999267578,1
body_mass,4,pevmean_ga,4500,0.0830615282933747,,1.4878654479980469,1
body_mass,4,pevmean_ga,5139,0.0988827943402837,,1.4826565980911257,1
body_mass,4,random_individual,5139,0.0988827943402837,,1.4826565980911257,1
body_mass,5,pevmean_ga,500,0.1124605190527888,,1.605622410774231,1
body_mass,5,pevmean_ga,1000,0.0912124842040012,,1.6038016080856323,1
body_mass,5,pevmean_ga,1500,0.1614251570056808,,1.5767208337783811,1
body_mass,5,pevmean_ga,2000,0.1311437808173907,,1.582112193107605,1
body_mass,5,pevmean_ga,2500,0.1241206197028804,,1.5904054641723633,1
body_mass,5,pevmean_ga,3000,0.1694716901720015,,1.5551866292953491,1
body_mass,5,pevmean_ga,3500,0.1681598479025978,,1.5591511726379397,1
body_mass,5,pevmean_ga,4000,0.1687087670489121,,1.5570929050445557,1
body_mass,5,pevmean_ga,4500,0.1700676524141208,,1.5569583177566528,1
body_mass,5,pevmean_ga,4619,0.1732011833310229,,1.554428219795227,1
body_mass,5,random_individual,4619,0.1732011833310229,,1.554428219795227,1
body_mass,6,pevmean_ga,500,0.1053179247475506,,1.5699905157089231,1
body_mass,6,pevmean_ga,1000,0.1356533315894272,,1.5654393434524536,1
body_mass,6,pevmean_ga,1500,0.2454392336504876,,1.496328592300415,1
body_mass,6,pevmean_ga,2000,0.274513661654547,,1.4761770963668823,1
body_mass,6,pevmean_ga,2500,0.3034299614859299,,1.4621461629867554,1
body_mass,6,pevmean_ga,3000,0.2910506488578009,,1.462440013885498,1
body_mass,6,pevmean_ga,3500,0.2644327276366346,,1.4789284467697144,1
body_mass,6,pevmean_ga,4000,0.2769358656298974,,1.466545343399048,1
body_mass,6,pevmean_ga,4500,0.2625850687824296,,1.4707226753234863,1
body_mass,6,pevmean_ga,5341,0.2742286759811107,,1.4622877836227417,1
body_mass,6,random_individual,5341,0.2742286759811107,,1.4622877836227417,1
body_mass,7,pevmean_ga,500,-0.0035507555921334,,1.3865387439727783,1
body_mass,7,pevmean_ga,1000,0.0147581605836536,,1.3845690488815308,1
body_mass,7,pevmean_ga,1500,0.0217559240022038,,1.3984116315841677,1
body_mass,7,pevmean_ga,2000,-0.0107983063416834,,1.4159388542175293,1
body_mass,7,pevmean_ga,2500,0.0208209635118763,,1.414678692817688,1
body_mass,7,pevmean_ga,3000,-0.0008881254451303,,1.4200353622436523,1
body_mass,7,pevmean_ga,3500,0.0227235392896753,,1.398520588874817,1
body_mass,7,pevmean_ga,4000,-0.0141045029871887,,1.4213351011276243,1
body_mass,7,pevmean_ga,4500,0.0106204885711146,,1.416243076324463,1
body_mass,7,pevmean_ga,5438,-0.0119373752901561,,1.4334732294082642,1
body_mass,7,random_individual,5438,-0.0119373752901561,,1.4334732294082642,1
body_mass,8,pevmean_ga,500,0.3323059736172857,,0.9002916216850281,1
body_mass,8,pevmean_ga,1000,0.266788767862152,,0.9182797074317932,1
body_mass,8,pevmean_ga,1500,0.3646153418436602,,0.8673458695411682,1
body_mass,8,pevmean_ga,2000,0.3579088565720948,,0.8766918182373047,1
body_mass,8,pevmean_ga,2500,0.283019867822498,,0.9029529690742492,1
body_mass,8,pevmean_ga,3000,0.3170580378727057,,0.8900676965713501,1
body_mass,8,pevmean_ga,3500,0.3946745176511295,,0.8499108552932739,1
body_mass,8,pevmean_ga,4000,0.3800921507927881,,0.8424302935600281,1
body_mass,8,pevmean_ga,4500,0.3867353154044121,,0.8490146398544312,1
body_mass,8,pevmean_ga,5539,0.4089254552977253,,0.8250023722648621,1
body_mass,8,random_individual,5539,0.4089254552977253,,0.8250023722648621,1
body_mass,9,pevmean_ga,500,0.1409796131836886,,0.9785974621772766,1
body_mass,9,pevmean_ga,1000,0.1742296271887078,,0.96702641248703,1
body_mass,9,pevmean_ga,1500,0.1992436027232817,,0.9507826566696168,1
body_mass,9,pevmean_ga,2000,0.1059911769256987,,1.0061402320861816,1
body_mass,9,pevmean_ga,2500,0.1594730674656183,,0.9743800163269044,1
body_mass,9,pevmean_ga,3000,0.1231914309111709,,0.9883354902267456,1
body_mass,9,pevmean_ga,3500,0.1479561519820166,,0.98976731300354,1
body_mass,9,pevmean_ga,4000,0.1623006337620838,,0.97584867477417,1
body_mass,9,pevmean_ga,4500,0.1406531867593217,,0.9904443025588988,1
body_mass,9,pevmean_ga,5531,0.1775904534057232,,0.9695125818252563,1
body_mass,9,random_individual,5531,0.1775904534057232,,0.9695125818252563,1
