n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
1000,0.1356533315894272,1.5654393434524536,pevmean_ga,-1,55978.88025959707,6,Indre Kvarøy,0,2036077539,body_mass
3000,0.2910506488578009,1.462440013885498,pevmean_ga,-1,51299.213139725725,6,Indre Kvarøy,0,2036077539,body_mass
2500,0.1920049847268783,1.3869074583053589,pevmean_ga,-1,65297.313582905066,10,Aldra,0,2138453555,body_mass
4000,0.2428188822505441,1.3714475631713867,pevmean_ga,-1,62632.6460058269,10,Aldra,0,2138453555,body_mass
2000,0.1246949317749011,0.9705960750579834,pevmean_ga,-1,63298.549740406175,14,Southern 4,0,1319110456,body_mass
5503,0.2135076285673531,0.9276846647262572,pevmean_ga,-2,48647.498373347495,3,Selvær,0,261820732,body_mass
5503,0.2135076285673531,0.9276846647262572,random_individual,-2,48647.498373347495,3,Selvær,0,261820732,body_mass
500,0.1138945755480065,0.9371235370635986,pevmean_ga,-1,58653.10193837563,3,Selvær,0,261820732,body_mass
4500,0.209181396156766,0.924079418182373,pevmean_ga,-1,49484.385065303766,3,Selvær,0,261820732,body_mass
500,-0.0035507555921334,1.3865387439727783,pevmean_ga,-1,59230.14229132216,7,Onøy og Lurøy,0,546911525,body_mass
1000,0.0147581605836536,1.3845690488815308,pevmean_ga,-1,57544.21896345093,7,Onøy og Lurøy,0,546911525,body_mass
3000,-0.0008881254451303,1.4200353622436523,pevmean_ga,-1,53489.79864169338,7,Onøy og Lurøy,0,546911525,body_mass
2500,0.1754454690384206,0.9432870149612428,pevmean_ga,-1,60549.892537052096,11,Southern 1,0,707858893,body_mass
4000,0.1812342767155468,0.946239411830902,pevmean_ga,-1,58933.94269820779,11,Southern 1,0,707858893,body_mass
2000,0.0529085821426098,0.901193916797638,pevmean_ga,-1,63080.500501448216,15,Southern 5,0,1988484267,body_mass
1500,0.3148842286923415,1.2150686979293823,pevmean_ga,-1,55476.09525837111,0,Nesøy,0,744452614,body_mass
5139,0.0988827943402837,1.4826565980911257,pevmean_ga,-2,51867.29677894326,4,Gjerøy,0,1623418790,body_mass
5139,0.0988827943402837,1.4826565980911257,random_individual,-2,51867.29677894326,4,Gjerøy,0,1623418790,body_mass
1500,0.1222867067195676,1.478191614151001,pevmean_ga,-1,56596.637763382845,4,Gjerøy,0,1623418790,body_mass
4500,0.0830615282933747,1.4878654479980469,pevmean_ga,-1,52424.25986294328,4,Gjerøy,0,1623418790,body_mass
1000,0.266788767862152,0.9182797074317932,pevmean_ga,-1,56421.74194222981,8,Lovund,0,1690148911,body_mass
3000,0.3170580378727057,0.8900676965713501,pevmean_ga,-1,51757.56754722385,8,Lovund,0,1690148911,body_mass
2500,0.133767637430509,1.2114700078964231,pevmean_ga,-1,59771.21285345071,12,Southern 2,0,1717623462,body_mass
4000,0.0506643714583235,1.2646281719207764,pevmean_ga,-1,58189.22339561135,12,Southern 2,0,1717623462,body_mass
1500,0.2722821938077086,1.6479722261428833,pevmean_ga,-1,54012.02407367476,1,Myken,0,1714262082,body_mass
4619,0.1732011833310229,1.554428219795227,pevmean_ga,-2,52734.2502504876,5,Hestmannøy,0,713757009,body_mass
4619,0.1732011833310229,1.554428219795227,random_individual,-2,52734.2502504876,5,Hestmannøy,0,713757009,body_mass
1500,0.1614251570056808,1.5767208337783811,pevmean_ga,-1,56996.47148352278,5,Hestmannøy,0,713757009,body_mass
4500,0.1700676524141208,1.5569583177566528,pevmean_ga,-1,52809.27299933223,5,Hestmannøy,0,713757009,body_mass
1000,0.1742296271887078,0.96702641248703,pevmean_ga,-1,56139.5893617653,9,Sleneset,0,201727611,body_mass
3000,0.1231914309111709,0.9883354902267456,pevmean_ga,-1,51621.27472567813,9,Sleneset,0,201727611,body_mass
2500,0.0740175605385618,1.0309062004089355,pevmean_ga,-1,61737.49785708473,13,Southern 3,0,343987298,body_mass
4000,0.1153376409096542,1.0134295225143433,pevmean_ga,-1,60383.35452168629,13,Southern 3,0,343987298,body_mass
1500,0.1683677552002238,1.203626275062561,pevmean_ga,-1,55852.82795334808,2,Træna,0,405385771,body_mass
5341,0.2742286759811107,1.4622877836227417,pevmean_ga,-2,48572.67261903743,6,Indre Kvarøy,0,2036077539,body_mass
5341,0.2742286759811107,1.4622877836227417,random_individual,-2,48572.67261903743,6,Indre Kvarøy,0,2036077539,body_mass
1500,0.2454392336504876,1.496328592300415,pevmean_ga,-1,54252.1651673316,6,Indre Kvarøy,0,2036077539,body_mass
4500,0.2625850687824296,1.4707226753234863,pevmean_ga,-1,49348.604878675,6,Indre Kvarøy,0,2036077539,body_mass
1000,0.2858904440356997,1.3802728652954102,pevmean_ga,-1,68899.57134209966,10,Aldra,0,2138453555,body_mass
3000,0.1028057637828985,1.457962155342102,pevmean_ga,-1,64408.6795342722,10,Aldra,0,2138453555,body_mass
2500,0.0736273532334873,0.9814643263816832,pevmean_ga,-1,62838.401889187175,14,Southern 4,0,1319110456,body_mass
4000,0.0954508749955165,0.9774543642997742,pevmean_ga,-1,61476.85235827637,14,Southern 4,0,1319110456,body_mass
1500,0.1520642173492739,0.922773540019989,pevmean_ga,-1,54902.95487300784,3,Selvær,0,261820732,body_mass
5438,-0.0119373752901561,1.4334732294082642,pevmean_ga,-2,50731.59388506523,7,Onøy og Lurøy,0,546911525,body_mass
