target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations,n_evals
5,Hestmannøy,0,14,1451,1451,8N06808,6,Indre Kvarøy,0.00044528761878156927,395,0.17024848497923442,300,165
5,Hestmannøy,0,14,2678,2678,8N73488,11,Leka,0.00044511451418595676,396,0.17024848497923442,300,164
5,Hestmannøy,0,14,917,917,8M72887,0,Nesøy,0.0004450781433435332,397,0.17024848497923442,300,151
5,Hestmannøy,0,14,2102,2102,8N27869,6,Indre Kvarøy,0.0004447079465131678,398,0.17024848497923442,300,164
5,Hestmannøy,0,14,192,192,8L48744,11,Leka,0.00044340215284149924,399,0.17024848497923442,300,163
5,Hestmannøy,0,14,3373,3373,8P14006,2,Træna,0.00044328690646716,400,0.17024848497923442,300,166
5,Hestmannøy,0,14,647,647,8M31438,4,Gjerøy,0.0004430815976788561,401,0.17024848497923442,300,166
5,Hestmannøy,0,14,3529,3529,8P14992,14,Lauvøya,0.00044207394412666516,402,0.17024848497923442,300,166
5,Hestmannøy,0,14,3602,3602,8309156,6,Indre Kvarøy,0.0004403555542204999,403,0.17024848497923442,300,162
5,Hestmannøy,0,14,3573,3573,8P26917,14,Lauvøya,0.0004397202585953729,404,0.17024848497923442,300,177
5,Hestmannøy,0,14,1176,1176,8N05601,14,Lauvøya,0.00043940032868954916,405,0.17024848497923442,300,170
5,Hestmannøy,0,14,1525,1525,8N06896,11,Leka,0.00043898485785730885,406,0.17024848497923442,300,173
5,Hestmannøy,0,14,1626,1626,8N13636,14,Lauvøya,0.00043864805077984043,407,0.17024848497923442,300,173
5,Hestmannøy,0,14,1278,1278,8N05796,10,Aldra,0.00043829701108528724,408,0.17024848497923442,300,174
5,Hestmannøy,0,14,1210,1210,8N05642,14,Lauvøya,0.00043765637999790486,409,0.17024848497923442,300,179
5,Hestmannøy,0,14,4101,4101,8800529,10,Aldra,0.00043756776791339453,410,0.17024848497923442,300,168
5,Hestmannøy,0,14,4472,4472,8943103,10,Aldra,0.00043720759280752643,411,0.17024848497923442,300,160
5,Hestmannøy,0,14,2196,2196,8N28603,2,Træna,0.0004367115879485981,412,0.17024848497923442,300,172
5,Hestmannøy,0,14,3702,3702,8681055,6,Indre Kvarøy,0.00043637156928235147,413,0.17024848497923442,300,162
5,Hestmannøy,0,14,3343,3343,8P11584,4,Gjerøy,0.00043500642761729925,414,0.17024848497923442,300,167
5,Hestmannøy,0,14,2061,2061,8N27330,4,Gjerøy,0.0004349830311266944,415,0.17024848497923442,300,159
5,Hestmannøy,0,14,2023,2023,8N27090,14,Lauvøya,0.00043377946087475906,416,0.17024848497923442,300,162
5,Hestmannøy,0,14,3482,3482,8P14875,14,Lauvøya,0.00043316723767128834,417,0.17024848497923442,300,173
5,Hestmannøy,0,14,543,543,8M31220,11,Leka,0.0004323286677097917,418,0.17024848497923442,300,168
5,Hestmannøy,0,14,3707,3707,8681062,9,Sleneset,0.00043169835159876594,419,0.17024848497923442,300,172
5,Hestmannøy,0,14,3074,3074,8N87754,4,Gjerøy,0.00043154118574531813,420,0.17024848497923442,300,167
5,Hestmannøy,0,14,4276,4276,8917967,8,Lovund,0.0004314729809566347,421,0.17024848497923442,300,162
5,Hestmannøy,0,14,3714,3714,8681071,9,Sleneset,0.00043136034255780514,422,0.17024848497923442,300,159
5,Hestmannøy,0,14,4367,4367,8934899,0,Nesøy,0.0004305532398832564,423,0.17024848497923442,300,161
5,Hestmannøy,0,14,1747,1747,8N14157,6,Indre Kvarøy,0.00043029288418882565,424,0.17024848497923442,300,163
5,Hestmannøy,0,14,1810,1810,8N14544,11,Leka,0.0004302741546352089,425,0.17024848497923442,300,166
5,Hestmannøy,0,14,3167,3167,8N87892,13,Vikna,0.0004297963688385369,426,0.17024848497923442,300,152
5,Hestmannøy,0,14,997,997,8N05154,12,Vega,0.0004295376317457673,427,0.17024848497923442,300,171
5,Hestmannøy,0,14,2814,2814,8N73823,6,Indre Kvarøy,0.0004293956842258335,428,0.17024848497923442,300,175
5,Hestmannøy,0,14,3568,3568,8P26739,7,Onøy og Lurøy,0.0004289192091805083,429,0.17024848497923442,300,161
5,Hestmannøy,0,14,315,315,8L52913,10,Aldra,0.00042871872260370276,430,0.17024848497923442,300,163
5,Hestmannøy,0,14,1548,1548,8N13100,14,Lauvøya,0.00042831509779703373,431,0.17024848497923442,300,165
5,Hestmannøy,0,14,1265,1265,8N05707,4,Gjerøy,0.0004266558844501429,432,0.17024848497923442,300,165
5,Hestmannøy,0,14,2285,2285,8N42535,4,Gjerøy,0.000426035116023619,433,0.17024848497923442,300,162
5,Hestmannøy,0,14,3286,3286,8P11517,14,Lauvøya,0.000425498280580168,434,0.17024848497923442,300,158
5,Hestmannøy,0,14,3017,3017,8N87574,11,Leka,0.0004239059851918945,435,0.17024848497923442,300,164
5,Hestmannøy,0,14,550,550,8M31269,8,Lovund,0.00042383718083729337,436,0.17024848497923442,300,162
5,Hestmannøy,0,14,3274,3274,8P11319,4,Gjerøy,0.00042274387384394274,437,0.17024848497923442,300,165
5,Hestmannøy,0,14,542,542,8M31219,11,Leka,0.00042270560781293106,438,0.17024848497923442,300,169
5,Hestmannøy,0,14,2423,2423,8N72692,11,Leka,0.00042247939593631435,439,0.17024848497923442,300,168
5,Hestmannøy,0,14,3256,3256,8N87982,13,Vikna,0.0004218747300435187,440,0.17024848497923442,300,168
5,Hestmannøy,0,14,3114,3114,8N87836,14,Lauvøya,0.0004197698160081173,441,0.17024848497923442,300,160
5,Hestmannøy,0,14,2795,2795,8N73691,13,Vikna,0.0004192445747806836,442,0.17024848497923442,300,160
5,Hestmannøy,0,14,1300,1300,8N05868,11,Leka,0.0004191746344557438,443,0.17024848497923442,300,170
5,Hestmannøy,0,14,4164,4164,8857276,10,Aldra,0.00041916090447759955,444,0.17024848497923442,300,157
5,Hestmannøy,0,14,2786,2786,8N73681,13,Vikna,0.0004185445318880967,445,0.17024848497923442,300,169
