trait,target_island,target_island_name,repeat,repeat_seed,n_train_size,method,pevmean_obj,pevmean_n_pcs,pevmean_lambda,ringnumber,source_island,source_island_name
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M71141,13,Vikna
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L64813,2,Træna
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L64838,2,Træna
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L64858,2,Træna
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L64873,14,Lauvøya
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L64902,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89197,12,Vega
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89276,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89298,10,Aldra
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89334,6,Indre Kvarøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89352,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89412,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89525,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89613,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89614,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89622,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89626,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89634,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89639,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89663,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89691,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89723,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89731,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89752,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89844,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89915,12,Vega
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31207,7,Onøy og Lurøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89988,2,Træna
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89994,3,Selvær
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31109,12,Vega
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31126,2,Træna
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31192,8,Lovund
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31219,11,Leka
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31278,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31288,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89770,13,Vikna
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31317,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31356,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31433,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31435,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31445,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31452,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31483,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31484,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31497,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31524,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31532,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31602,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31625,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31634,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31704,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31706,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31778,11,Leka
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31780,11,Leka
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31805,12,Vega
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31862,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31863,6,Indre Kvarøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31921,12,Vega
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8L89118,13,Vikna
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31923,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31924,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31927,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31936,4,Gjerøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31938,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31940,5,Hestmannøy
thr_tarsus,0,Nesøy,0,744452614,1000,pevmean_ga,0.38841691833204267,100,502.6502333305817,8M31941,5,Hestmannøy
