n_removed,n_islands_remaining,corr_eval,mse_adj,method,order_seed,target_island
9,6,0.09406106173992157,1.4778212308883667,random,4,0
10,5,0.11361274123191833,1.4262415170669556,random,4,0
11,4,-0.03858393803238869,1.4117426872253418,random,4,0
12,3,-0.09535697847604752,1.4660972356796265,random,4,0
13,2,-0.17370018362998962,1.4410630464553833,random,4,0
14,1,-0.17586153745651245,1.426190972328186,random,4,0
0,15,0.20050308108329773,1.4846372604370117,random,5,0
1,14,0.1975765973329544,1.4651247262954712,random,5,0
2,13,0.22609685361385345,1.4406318664550781,random,5,0
3,12,0.22027742862701416,1.4919782876968384,random,5,0
4,11,0.21125826239585876,1.4638948440551758,random,5,0
5,10,0.19719679653644562,1.42023503780365,random,5,0
6,9,0.18159256875514984,1.463865876197815,random,5,0
7,8,0.20062607526779175,1.4379969835281372,random,5,0
8,7,0.18377685546875,1.5048240423202515,random,5,0
9,6,0.16191363334655762,1.5640467405319214,random,5,0
10,5,0.16862766444683075,1.529550552368164,random,5,0
11,4,0.19786612689495087,1.5298258066177368,random,5,0
12,3,0.23105129599571228,1.5014606714248657,random,5,0
13,2,0.2204531729221344,1.4751983880996704,random,5,0
14,1,0.24082793295383453,1.4096578359603882,random,5,0
0,15,0.20050308108329773,1.4846372604370117,random,6,0
1,14,0.1388750821352005,1.470454216003418,random,6,0
2,13,0.18275028467178345,1.4760208129882812,random,6,0
3,12,0.22630493342876434,1.4204120635986328,random,6,0
4,11,0.23130616545677185,1.4320882558822632,random,6,0
5,10,0.25931641459465027,1.3907839059829712,random,6,0
6,9,0.2678084075450897,1.4478603601455688,random,6,0
7,8,0.2882039248943329,1.4212340116500854,random,6,0
8,7,0.2744748890399933,1.457812786102295,random,6,0
9,6,0.29381895065307617,1.4172401428222656,random,6,0
10,5,0.25755009055137634,1.481505274772644,random,6,0
11,4,0.11461236327886581,1.428834319114685,random,6,0
12,3,0.07565321773290634,1.4308112859725952,random,6,0
13,2,0.1008889302611351,1.374651312828064,random,6,0
14,1,0.07847941666841507,1.3592181205749512,random,6,0
0,15,0.20050308108329773,1.4846372604370117,random,7,0
1,14,0.2215864062309265,1.489699363708496,random,7,0
2,13,0.18275028467178345,1.4760208129882812,random,7,0
3,12,0.18076947331428528,1.5320768356323242,random,7,0
4,11,0.16366812586784363,1.5016735792160034,random,7,0
5,10,-0.03958965837955475,1.5138810873031616,random,7,0
6,9,-0.038644108921289444,1.47809636592865,random,7,0
7,8,-0.02423086203634739,1.5115314722061157,random,7,0
8,7,-0.04284602776169777,1.4936765432357788,random,7,0
9,6,-0.016582494601607323,1.4540166854858398,random,7,0
10,5,-0.030910219997167587,1.479591965675354,random,7,0
11,4,-0.06682734936475754,1.532470703125,random,7,0
12,3,0.008685817942023277,1.4423189163208008,random,7,0
13,2,-0.011839386075735092,1.4376834630966187,random,7,0
14,1,-0.11078884452581406,1.4153276681900024,random,7,0
0,15,0.20050308108329773,1.4846372604370117,random,8,0
1,14,0.25117039680480957,1.43405020236969,random,8,0
2,13,0.24243371188640594,1.5261863470077515,random,8,0
3,12,0.22300322353839874,1.5040236711502075,random,8,0
4,11,0.25025540590286255,1.455318808555603,random,8,0
5,10,0.2311863899230957,1.5075572729110718,random,8,0
6,9,0.18018695712089539,1.578858733177185,random,8,0
7,8,0.19807255268096924,1.562132716178894,random,8,0
8,7,0.19823387265205383,1.5652250051498413,random,8,0
9,6,0.22112716734409332,1.5544275045394897,random,8,0
10,5,0.11698156595230103,1.5173546075820923,random,8,0
11,4,0.1626874804496765,1.4691466093063354,random,8,0
12,3,0.1995946615934372,1.4234037399291992,random,8,0
13,2,0.0059857540763914585,1.4242897033691406,random,8,0
14,1,-0.10096714645624161,1.405313491821289,random,8,0
0,15,0.20050308108329773,1.4846372604370117,random,9,0
1,14,0.20471599698066711,1.4657896757125854,random,9,0
2,13,0.11491728574037552,1.4625672101974487,random,9,0
3,12,0.15427492558956146,1.3941110372543335,random,9,0
4,11,0.15573827922344208,1.4485763311386108,random,9,0
5,10,0.15604928135871887,1.4250503778457642,random,9,0
6,9,0.165598064661026,1.4657167196273804,random,9,0
7,8,0.1606200784444809,1.4548392295837402,random,9,0
8,7,0.04137207195162773,1.4476579427719116,random,9,0
9,6,0.0019699311815202236,1.4205268621444702,random,9,0
10,5,-0.0862642228603363,1.4675372838974,random,9,0
11,4,-0.11738471686840057,1.511041283607483,random,9,0
12,3,-0.10189700871706009,1.474974274635315,random,9,0
13,2,-0.08847256749868393,1.438391089439392,random,9,0
14,1,-0.017182474955916405,1.4065948724746704,random,9,0
