n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island
4,11,3479,0.18024655489760497,0.6483041644096375,random_individual,0,11,3479,3
3,12,3965,0.2127879347990772,0.6420864462852478,random_individual,0,12,3965,3
2,13,4548,0.17633348998651277,0.6476513147354126,random_individual,0,13,4548,3
1,14,4945,0.22053301927302424,0.6402552127838135,random_individual,0,14,4945,3
0,15,5503,0.25370680216699554,0.6334075927734375,random_individual,0,15,5503,3
14,1,292,-0.16120815307187158,0.7042028903961182,random_individual,1,1,292,3
13,2,450,-0.2669832636890367,0.7172625660896301,random_individual,1,2,450,3
12,3,542,-0.221876972464805,0.7103419899940491,random_individual,1,3,542,3
11,4,898,-0.03885991211735913,0.7032936215400696,random_individual,1,4,898,3
10,5,1071,-0.029017608832259966,0.6967417597770691,random_individual,1,5,1071,3
9,6,1190,-0.009576275444096212,0.693311870098114,random_individual,1,6,1190,3
8,7,1392,0.03826792346110148,0.6844391822814941,random_individual,1,7,1392,3
7,8,1558,0.08349951684685955,0.6759865283966064,random_individual,1,8,1558,3
6,9,2142,0.08271193770865239,0.676049530506134,random_individual,1,9,2142,3
5,10,2401,0.21615101778751494,0.6559600234031677,random_individual,1,10,2401,3
4,11,3479,0.2662544729666245,0.6405792236328125,random_individual,1,11,3479,3
3,12,3965,0.31762895921938067,0.6246564388275146,random_individual,1,12,3965,3
2,13,4548,0.2872063437599379,0.6322618126869202,random_individual,1,13,4548,3
1,14,4945,0.26033561312564835,0.6358451843261719,random_individual,1,14,4945,3
0,15,5503,0.25370680216699554,0.6334075927734375,random_individual,1,15,5503,3
14,1,292,0.27721223880962503,0.6936872005462646,random_individual,2,1,292,3
13,2,450,0.2730697014236873,0.6780734062194824,random_individual,2,2,450,3
12,3,542,0.22696741966501255,0.684482216835022,random_individual,2,3,542,3
11,4,898,0.37686840949267403,0.6518964171409607,random_individual,2,4,898,3
10,5,1071,0.4212446852382238,0.635247528553009,random_individual,2,5,1071,3
9,6,1190,0.4860587824159851,0.6419025659561157,random_individual,2,6,1190,3
8,7,1392,0.48788453255998765,0.6365812420845032,random_individual,2,7,1392,3
7,8,1558,0.46016134786341417,0.6334540247917175,random_individual,2,8,1558,3
6,9,2142,0.3814848006819576,0.626275897026062,random_individual,2,9,2142,3
5,10,2401,0.34293103085884286,0.6303457617759705,random_individual,2,10,2401,3
4,11,3479,0.3596997285180341,0.6145970225334167,random_individual,2,11,3479,3
3,12,3965,0.32601201422825515,0.6204105019569397,random_individual,2,12,3965,3
2,13,4548,0.2846311967406694,0.626008152961731,random_individual,2,13,4548,3
1,14,4945,0.2879137413000908,0.6255060434341431,random_individual,2,14,4945,3
0,15,5503,0.25370680216699554,0.6334075927734375,random_individual,2,15,5503,3
14,1,292,0.1659668866099364,0.6829224228858948,random_individual,3,1,292,3
13,2,450,0.06720910415726794,0.6954125761985779,random_individual,3,2,450,3
12,3,542,0.09817214616409004,0.6930270791053772,random_individual,3,3,542,3
11,4,898,0.04373741360672235,0.6904540657997131,random_individual,3,4,898,3
10,5,1071,0.031530145456438965,0.6906152963638306,random_individual,3,5,1071,3
9,6,1190,0.033692958564886036,0.6905931830406189,random_individual,3,6,1190,3
8,7,1392,0.0415049486357316,0.6880768537521362,random_individual,3,7,1392,3
7,8,1558,0.028073306395332554,0.691614031791687,random_individual,3,8,1558,3
6,9,2142,0.038871966009268226,0.695153534412384,random_individual,3,9,2142,3
5,10,2401,0.029292294072168937,0.6946505904197693,random_individual,3,10,2401,3
4,11,3479,0.15161302542986702,0.6654751300811768,random_individual,3,11,3479,3
3,12,3965,0.20686216057471543,0.64841628074646,random_individual,3,12,3965,3
2,13,4548,0.15041449779002158,0.6618790626525879,random_individual,3,13,4548,3
1,14,4945,0.20784939378842196,0.6434755325317383,random_individual,3,14,4945,3
0,15,5503,0.25370680216699554,0.6334075927734375,random_individual,3,15,5503,3
14,1,292,0.14639395844435474,0.6842665076255798,random_individual,4,1,292,3
13,2,450,0.1506050892172387,0.6775872707366943,random_individual,4,2,450,3
12,3,542,0.18507572682368312,0.678251326084137,random_individual,4,3,542,3
11,4,898,0.18938745171972718,0.6671935319900513,random_individual,4,4,898,3
10,5,1071,0.13530796028305048,0.6738498210906982,random_individual,4,5,1071,3
