trait,trait_label,fold,test_island_code,test_island,n_train,n_test,n_features_available,best_n_pcs,best_alpha,log10_alpha,mean_inner_r,pearson_r,outer_minus_inner_r,outer_pca_cumvar_at_best_r,fit_time_seconds,study_time_seconds,n_trials_completed,inner_top_k_requested,inner_top_k_used,n_inner_folds,inner_validation_n_samples,top_inner_avg_grm,source_file
thr_wing,Wing length,4,3,Selvær,5442,191,65344,4500,46645.46960661123,4.668809469724675,0.1940135045656948,0.3617618027151714,0.1677482981494766,0.9739188551902772,0.5690242098644376,272.3614478530362,100,10,10,10,3417,0.021240654531168274,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,5,4,Gjerøy,5080,553,65344,4500,25340.08479329569,4.403808063791259,0.2437241777262114,0.0985977518397646,-0.1451264258864468,0.9739188551902772,0.5570839862339199,292.7505881562829,100,10,10,10,2831,0.004707559172177233,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,6,5,Hestmannøy,4578,1055,65344,4000,52516.90919384145,4.720299158400712,0.2321148628416955,0.1596835755171546,-0.0724312873245409,0.953777551651001,0.4441356430761516,212.55331248929724,100,10,10,10,2329,0.004707559172177233,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,7,6,Indre Kvarøy,5284,349,65344,4500,29025.96617591188,4.462786684840703,0.2206759211824659,0.3248676417446857,0.10419172056221979,0.9739188551902772,0.5753776347264647,305.14025673270226,100,10,10,10,3035,0.004303449371327566,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,8,7,Onøy og Lurøy,5377,256,65344,4500,27788.6200547538,4.443866980836898,0.2172293340694094,0.374718828590323,0.15748949452091363,0.9739188551902772,0.5877546221017838,293.8052938990295,100,10,10,10,3128,0.009155116992441415,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,9,8,Lovund,5482,151,65344,4500,30638.507435762385,4.486267604687689,0.2243363524732577,0.2064987495218976,-0.01783760295136011,0.9739188551902772,0.5909413178451359,262.0284974211827,100,10,10,10,3457,0.02187477725733186,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,10,9,Sleneset,5473,160,65344,4500,44559.534870261625,4.648940648854787,0.2264443574230548,0.1776635191179563,-0.048780838305098495,0.9739188551902772,0.5832451111637056,280.0173155218363,100,10,10,10,3448,0.021874777257331855,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,11,10,Aldra,5460,173,65344,4500,35441.07561404237,4.5495068939755825,0.2217472208333163,0.1638938319828518,-0.05785338885046451,0.9739188551902772,0.5793388038873672,145.93017108831555,100,10,10,10,3322,0.001108110962403731,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,12,11,Leka,5052,581,65344,5000,20023.65149165729,4.301543277842312,0.1973927732298871,0.1267934991419403,-0.0705992740879468,0.9881325364112854,0.6555623528547585,196.18499707896265,100,10,10,10,3003,0.011708655010983166,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,13,12,Vega,5236,397,65344,4500,27216.55585005111,4.434833166056296,0.2239430848675649,0.062033701324355,-0.16190938354320988,0.9739188551902772,0.6055738003924489,256.0671174698509,100,10,10,10,3106,0.0006855971271691338,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,14,13,Vikna,5050,583,65344,4500,32284.581036808828,4.508995154855761,0.2145859777463653,0.0974096597254373,-0.11717631802092798,0.9739188551902772,0.5332567058503628,232.84715654002505,100,10,10,10,2920,0.01170865501098316,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
thr_wing,Wing length,15,14,Lauvøya,4945,688,65344,4500,28347.990840230093,4.452522283760772,0.2092593982443134,0.1055294562928802,-0.10372994195143319,0.9739188551902772,0.5029115779325366,261.2756109619513,100,10,10,10,2815,0.010502109546836051,C:\Users\Simen\OneDrive - NTNU\FYSMAT\INDMAT\MASTER\Master_thesis\outputs\final_results\e1_pc_ridge_nested_loio_10\thr_wing\e1_pc_ridge_nested_loio_10_per_fold_results.csv
