target_island,n_cal_samples,permutation_index,source_island,source_island_name,rank_mean,rank_std,phi_per_ind_mean,n_repeats
3,150.0,124,8,Lovund,1.9,0.8755950357709131,0.0005111333305149839,10
3,150.0,124,2,Træna,2.9,0.7378647873726218,0.0004309376459220109,10
3,150.0,124,9,Sleneset,3.5,0.8498365855987975,0.00030824075538737216,10
3,150.0,124,11,Southern 1,6.1,0.5676462121975467,7.895665728002916e-05,10
3,150.0,124,7,Onøy og Lurøy,6.5,2.3213980461973533,0.00012056107901325034,10
3,150.0,124,6,Indre Kvarøy,7.4,1.4298407059684812,3.235018936349304e-05,10
3,150.0,124,5,Hestmannøy,8.7,1.4181364924121764,1.0960805412391506e-05,10
3,150.0,124,0,Nesøy,9.3,3.7133393177689653,1.0869628697281565e-06,10
3,150.0,124,10,Aldra,11.1,1.7919573407620817,-3.7753424535716764e-05,10
3,150.0,124,13,Southern 3,11.2,1.8135294011647258,-2.1406727037000378e-05,10
3,150.0,124,12,Southern 2,11.4,2.3664319132398464,-3.364031809040272e-05,10
3,150.0,124,4,Gjerøy,11.7,1.946506842754191,-4.0329488597791125e-05,10
3,150.0,124,14,Southern 4,11.8,2.1499353995462798,-2.537778575141557e-05,10
3,150.0,124,15,Southern 5,14.8,0.421637021355784,-0.00013472682795663185,10
3,150.0,125,1,Myken,1.6,1.07496769977314,0.0006010676476305118,10
3,150.0,125,8,Lovund,2.0,0.816496580927726,0.0005129641597782861,10
3,150.0,125,2,Træna,2.9,0.7378647873726218,0.0004308385552759489,10
3,150.0,125,9,Sleneset,3.5,0.8498365855987975,0.00030719639928678075,10
3,150.0,125,11,Southern 1,6.1,0.5676462121975467,7.888727928869903e-05,10
3,150.0,125,7,Onøy og Lurøy,6.5,2.3213980461973533,0.00011994885295808975,10
3,150.0,125,6,Indre Kvarøy,7.4,1.4298407059684812,3.2187100054470983e-05,10
3,150.0,125,5,Hestmannøy,8.7,1.4181364924121764,1.0902818933676035e-05,10
3,150.0,125,0,Nesøy,9.3,3.7133393177689653,7.154296855012109e-07,10
3,150.0,125,10,Aldra,11.1,1.7919573407620817,-3.780384716310935e-05,10
3,150.0,125,13,Southern 3,11.3,1.766981104093143,-2.1448289211782204e-05,10
3,150.0,125,12,Southern 2,11.4,2.3664319132398464,-3.358844237089399e-05,10
3,150.0,125,4,Gjerøy,11.7,1.946506842754191,-4.011378697538722e-05,10
3,150.0,125,14,Southern 4,11.7,2.2135943621178655,-2.5243947618208365e-05,10
3,150.0,125,15,Southern 5,14.8,0.421637021355784,-0.00013499375565243892,10
3,150.0,126,1,Myken,1.7,1.0593499054713802,0.000599652318615511,10
3,150.0,126,8,Lovund,1.9,0.8755950357709131,0.000511977003606715,10
3,150.0,126,2,Træna,2.9,0.7378647873726218,0.00043124105492853683,10
3,150.0,126,9,Sleneset,3.5,0.8498365855987975,0.00030776349707054967,10
