n_individuals,method,order_seed,pevmean_obj,pevmean_n_pcs,pevmean_lambda,target_island,target_island_name,repeat,repeat_seed,trait,ga_generations,ga_cache_size,ga_elapsed_sec
1500,pevmean_ga,-1,0.04773816615936589,100,502.6502333305817,1,Myken,1,2085454949,thr_tarsus,300,26631,70.84250078164041
2000,pevmean_ga,-1,0.04075069919521264,100,502.6502333305817,1,Myken,1,2085454949,thr_tarsus,300,26521,81.31354430597275
2500,pevmean_ga,-1,0.036015982116075096,100,502.6502333305817,1,Myken,1,2085454949,thr_tarsus,300,26539,89.86897155689076
3000,pevmean_ga,-1,0.03288838572393654,100,502.6502333305817,1,Myken,1,2085454949,thr_tarsus,300,26633,100.36217703297734
3500,pevmean_ga,-1,0.02989542639190573,100,502.6502333305817,1,Myken,1,2085454949,thr_tarsus,300,26686,111.02062450163066
4000,pevmean_ga,-1,0.028116348714888946,100,502.6502333305817,1,Myken,1,2085454949,thr_tarsus,300,26616,120.24381556687877
4500,pevmean_ga,-1,0.026666903345982537,100,502.6502333305817,1,Myken,1,2085454949,thr_tarsus,300,26739,126.78170369425789
500,pevmean_ga,-1,0.09388115154901837,100,502.6502333305817,1,Myken,2,2060266791,thr_tarsus,300,26630,50.79739902820438
1000,pevmean_ga,-1,0.06022543688818402,100,502.6502333305817,1,Myken,2,2060266791,thr_tarsus,300,26495,60.89496924076229
1500,pevmean_ga,-1,0.04742106589172472,100,502.6502333305817,1,Myken,2,2060266791,thr_tarsus,300,26516,70.77205227036029
2000,pevmean_ga,-1,0.040377681386317976,100,502.6502333305817,1,Myken,2,2060266791,thr_tarsus,300,26636,81.4700676468201
2500,pevmean_ga,-1,0.036205225877346,100,502.6502333305817,1,Myken,2,2060266791,thr_tarsus,300,26572,90.29808526299894
3000,pevmean_ga,-1,0.032687125542864646,100,502.6502333305817,1,Myken,2,2060266791,thr_tarsus,300,26597,100.55046834098175
3500,pevmean_ga,-1,0.02998089974867272,100,502.6502333305817,1,Myken,2,2060266791,thr_tarsus,300,26642,110.99699573311955
4000,pevmean_ga,-1,0.028120797136987164,100,502.6502333305817,1,Myken,2,2060266791,thr_tarsus,300,26679,120.49133255891502
4500,pevmean_ga,-1,0.026596209060485206,100,502.6502333305817,1,Myken,2,2060266791,thr_tarsus,300,26529,119.611019898206
500,pevmean_ga,-1,0.09394944306342824,100,502.6502333305817,1,Myken,3,464011987,thr_tarsus,300,26534,51.08075960399583
1000,pevmean_ga,-1,0.06062437844624068,100,502.6502333305817,1,Myken,3,464011987,thr_tarsus,300,26544,60.89766641613096
1500,pevmean_ga,-1,0.04797558643883164,100,502.6502333305817,1,Myken,3,464011987,thr_tarsus,300,26656,71.11244432395324
2000,pevmean_ga,-1,0.04041173487441239,100,502.6502333305817,1,Myken,3,464011987,thr_tarsus,300,26619,81.67645491007715
2500,pevmean_ga,-1,0.035608697920162115,100,502.6502333305817,1,Myken,3,464011987,thr_tarsus,300,26775,90.2285966030322
3000,pevmean_ga,-1,0.03258676000994261,100,502.6502333305817,1,Myken,3,464011987,thr_tarsus,300,26620,100.35000766906887
3500,pevmean_ga,-1,0.02993428739070043,100,502.6502333305817,1,Myken,3,464011987,thr_tarsus,300,26593,110.93679720209911
4000,pevmean_ga,-1,0.0280899443402218,100,502.6502333305817,1,Myken,3,464011987,thr_tarsus,300,26579,120.84858198883012
4500,pevmean_ga,-1,0.0266510583281089,100,502.6502333305817,1,Myken,3,464011987,thr_tarsus,300,26460,127.76675054291263
500,pevmean_ga,-1,0.09298266457362281,100,502.6502333305817,1,Myken,4,131593733,thr_tarsus,300,26427,51.09035216132179
1000,pevmean_ga,-1,0.059710717371446884,100,502.6502333305817,1,Myken,4,131593733,thr_tarsus,300,26551,61.194531220942736
1500,pevmean_ga,-1,0.048063330005333964,100,502.6502333305817,1,Myken,4,131593733,thr_tarsus,300,26622,71.20938010700047
2000,pevmean_ga,-1,0.04113281750313572,100,502.6502333305817,1,Myken,4,131593733,thr_tarsus,300,26546,81.5098730889149
2500,pevmean_ga,-1,0.03610548285331632,100,502.6502333305817,1,Myken,4,131593733,thr_tarsus,300,26686,90.39937938889489
3000,pevmean_ga,-1,0.03260383250062267,100,502.6502333305817,1,Myken,4,131593733,thr_tarsus,300,26560,100.62284733681008
3500,pevmean_ga,-1,0.03016876488740145,100,502.6502333305817,1,Myken,4,131593733,thr_tarsus,300,26626,111.3233315856196
4000,pevmean_ga,-1,0.02818860276729818,100,502.6502333305817,1,Myken,4,131593733,thr_tarsus,300,26642,121.18687893310562
4500,pevmean_ga,-1,0.02667086772833871,100,502.6502333305817,1,Myken,4,131593733,thr_tarsus,300,26486,119.09647502470762
500,pevmean_ga,-1,0.08950629760457454,100,502.6502333305817,2,Træna,0,405385771,thr_tarsus,300,26464,53.41958413273096
1000,pevmean_ga,-1,0.05750249314280837,100,502.6502333305817,2,Træna,0,405385771,thr_tarsus,300,26716,63.11169363837689
