trait,target_island,method,n_individuals,pevmean_mean,pevmean_std,ga_elapsed_sum,n_rows
thr_tarsus,7,pevmean_ga,2000,0.08172670335869414,0.0003606556945203077,423.10323678841814,5
thr_tarsus,7,pevmean_ga,2500,0.07394121556848786,0.00021816756336648135,467.6990353013389,5
thr_tarsus,7,pevmean_ga,3000,0.06742824345999407,0.0003284284247214579,519.3671702137217,5
thr_tarsus,7,pevmean_ga,3500,0.0628859998977141,0.0001809344653460089,569.4150940920226,5
thr_tarsus,7,pevmean_ga,4000,0.05918984059269237,2.536010440159024e-05,617.0828002402559,5
thr_tarsus,7,pevmean_ga,4500,0.056129410918385955,5.9928447631690456e-05,641.6330528068356,5
thr_tarsus,8,pevmean_ga,500,0.0576775593564093,0.0008124108357201023,269.21301059098914,5
thr_tarsus,8,pevmean_ga,1000,0.03353776966430782,0.00042888342263756396,320.63691762369126,5
thr_tarsus,8,pevmean_ga,1500,0.02487756125520298,0.00018789570074331837,367.8915972709656,5
thr_tarsus,8,pevmean_ga,2000,0.020268584431002358,0.0002582436515877294,420.057597075589,5
thr_tarsus,8,pevmean_ga,2500,0.01740582512605992,3.1084221831545235e-05,464.9371279506013,5
thr_tarsus,8,pevmean_ga,3000,0.01542289935816426,0.00012653336241980764,516.92637721356,5
thr_tarsus,8,pevmean_ga,3500,0.01401756267061982,5.697886695837458e-05,567.6207022839226,5
thr_tarsus,8,pevmean_ga,4000,0.01287397447328698,3.612874591513464e-05,612.482252905611,5
thr_tarsus,8,pevmean_ga,4500,0.01202824936628044,1.583500713724937e-05,631.83640985284,5
thr_tarsus,9,pevmean_ga,500,0.06635141589620233,0.00041929512289012335,270.97119766892865,5
thr_tarsus,9,pevmean_ga,1000,0.04125719523021778,0.00026899988487376385,321.666741379071,5
thr_tarsus,9,pevmean_ga,1500,0.032616671257122996,0.0002570819766483405,369.9498152495362,5
thr_tarsus,9,pevmean_ga,2000,0.02767722025785928,0.0002663633840407007,422.5145441079512,5
thr_tarsus,9,pevmean_ga,2500,0.02457389539728878,4.626348655952454e-05,466.546693128068,5
thr_tarsus,9,pevmean_ga,3000,0.02229483818644734,0.00011349075397458062,518.9752568965778,5
thr_tarsus,9,pevmean_ga,3500,0.02064721024925478,7.518442502597006e-05,569.6492564361542,5
thr_tarsus,9,pevmean_ga,4000,0.0193216960260497,5.027750911317328e-05,615.6270490554161,5
thr_tarsus,9,pevmean_ga,4500,0.01832675950572362,7.0263306336839965e-06,653.4897941173986,5
thr_tarsus,10,pevmean_ga,500,1.2108935113652277,0.016391991675350683,273.03290340304375,5
thr_tarsus,10,pevmean_ga,1000,0.7764793836673467,0.005345563095261932,323.00260235229507,5
thr_tarsus,10,pevmean_ga,1500,0.5917597119431857,0.008769569235564934,371.73505551880226,5
thr_tarsus,10,pevmean_ga,2000,0.4892605862313304,0.004183232362066604,423.47435756539926,5
thr_tarsus,10,pevmean_ga,2500,0.41790263772777997,0.0025896830720340508,468.47239812882617,5
