n_permutations,n_cal_samples,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,20,shapley_mean,14,0.06420290385944386,0.1589068555105801,1.1569380482037863,0.181294382800257,30
10,40,random_individual,0,0.21161999720591765,0.09179684879005406,1.1263191918532054,0.1900501877862801,150
10,40,random_individual,1,0.2077051417122781,0.09241799477536247,1.1287643734614055,0.19131934978094023,150
10,40,random_individual,2,0.2080065227113142,0.09476588740800074,1.1294468200206758,0.19099418816548697,150
10,40,random_individual,3,0.20120804180774898,0.0932257228363227,1.1340996134281158,0.19161354512452416,150
10,40,random_individual,4,0.1945825070364227,0.09339975999277661,1.13764586130778,0.19222951064526891,150
10,40,random_individual,5,0.18956392214019652,0.09809685147711296,1.1405733851591746,0.19313648850882592,150
10,40,random_individual,6,0.18413854393530674,0.0973624243929973,1.145973287820816,0.1968330382350872,150
10,40,random_individual,7,0.17990986778581713,0.09532330746617323,1.1503796950976053,0.1980889976243598,150
10,40,random_individual,8,0.17336142389801218,0.09816316262163437,1.1548610027631123,0.19821792550051978,150
10,40,random_individual,9,0.16462115336474306,0.10624498999852197,1.1596168931325277,0.19976082456212943,150
10,40,random_individual,10,0.1506942834894148,0.10540410835672903,1.1664051826794941,0.19875027552960792,150
10,40,random_individual,11,0.14218483790945194,0.10401171689471672,1.1713486552238463,0.1993842406228324,150
10,40,random_individual,12,0.12442505710701612,0.11692350352005473,1.177231381336848,0.20063686318519094,150
10,40,random_individual,13,0.10703744619927001,0.11711085345745985,1.1830056850115458,0.20317163721083606,150
10,40,random_individual,14,0.06863274256800277,0.1097384560455089,1.1940800551573436,0.20791809434717037,150
10,40,shapley_mean,0,0.21161999720591765,0.09305439846632624,1.1263191918532054,0.19265373633153257,30
10,40,shapley_mean,1,0.20786733626404294,0.09088470800871536,1.1286110003789267,0.19277664747223258,30
10,40,shapley_mean,2,0.2063662302287322,0.09094306481179415,1.1289478679498037,0.189618046554448,30
10,40,shapley_mean,3,0.20775220845836967,0.09290343129324491,1.1297177930672964,0.18965729088902428,30
10,40,shapley_mean,4,0.20806108859108405,0.09995442404285619,1.1294390896956126,0.18921762137970458,30
10,40,shapley_mean,5,0.20541699105238492,0.10294260681045561,1.1317537824312847,0.19096848558289176,30
10,40,shapley_mean,6,0.2071068289818351,0.10775950625540694,1.1314398725827535,0.18912788621689217,30
10,40,shapley_mean,7,0.20183830702780445,0.1074337921628819,1.1354391773541768,0.19163751417605185,30
10,40,shapley_mean,8,0.20137619226195222,0.10508240249686868,1.1373320659001669,0.19091891427501542,30
10,40,shapley_mean,9,0.1924336079017145,0.10558979836573054,1.1415571014086405,0.19174086237144547,30
10,40,shapley_mean,10,0.19201251151683182,0.11467055929947544,1.1405322392781576,0.19265550410099216,30
10,40,shapley_mean,11,0.1863919936879334,0.1254828683083131,1.1455775896708171,0.1933328823792114,30
10,40,shapley_mean,12,0.1730260410603546,0.12737069451365235,1.1537722865740458,0.18651212872520223,30
10,40,shapley_mean,13,0.15404917007520097,0.1278227536132288,1.1688018401463827,0.19604707565330107,30
10,40,shapley_mean,14,0.11595335208749305,0.12520730677712735,1.182323416074117,0.20201621428933983,30
10,80,random_individual,0,0.18085067802988072,0.09511640561651626,1.1826707283655802,0.22719718037254602,150
10,80,random_individual,1,0.17885430763039836,0.09777903148472453,1.1843676698207855,0.22771468248301868,150
10,80,random_individual,2,0.17894136590894258,0.09647708924673735,1.1860981102784474,0.22917630309612902,150
10,80,random_individual,3,0.1706889747074852,0.0975196920859138,1.1905395952860514,0.2300291644719334,150
10,80,random_individual,4,0.1654778407523253,0.09705762418941383,1.1949360251426697,0.2333628038614696,150
10,80,random_individual,5,0.15683130981281426,0.09996715445253124,1.1990922355651856,0.23773334347005173,150
10,80,random_individual,6,0.15074765258757725,0.09953243785619689,1.2029295408725738,0.24142185377966183,150
10,80,random_individual,7,0.14227564430432418,0.09114940863399751,1.2073517314592996,0.24586982604905167,150
10,80,random_individual,8,0.13252741606121232,0.08901515308403439,1.2133667782942454,0.2505650523967173,150
10,80,random_individual,9,0.125114258177499,0.0989550784037298,1.2184375679492951,0.25253817170626636,150
10,80,random_individual,10,0.11406934544592251,0.09996091234476284,1.2233748022715252,0.2532890383155725,150
10,80,random_individual,11,0.10870993424283318,0.09380718755893942,1.2262790262699128,0.2543910706039924,150
10,80,random_individual,12,0.09661091546331864,0.10525999362611585,1.2298455568154654,0.25430221740154363,150
10,80,random_individual,13,0.07263411098410975,0.09831264584088673,1.2359291021029155,0.25617359912022936,150
10,80,random_individual,14,0.05394723698605552,0.09457440103930854,1.2456404387950897,0.25932908339844113,150
10,80,shapley_mean,0,0.18085067802988072,0.09641943079295544,1.1826707283655802,0.2303096155420897,30
10,80,shapley_mean,1,0.1811992246555792,0.10103282707271567,1.1826942980289459,0.2310483608094824,30
10,80,shapley_mean,2,0.17911884616225673,0.11429962916021909,1.1826264401276907,0.22819372245637115,30
10,80,shapley_mean,3,0.17650876574870217,0.11507027732708547,1.1845598578453065,0.22930488384822004,30
10,80,shapley_mean,4,0.17512150534249887,0.11910887972859366,1.1853517711162567,0.22972357720371062,30
10,80,shapley_mean,5,0.17249753908629575,0.11932727941856146,1.1859008371829987,0.22718813865174375,30
10,80,shapley_mean,6,0.17989979784939925,0.12189453734059875,1.184184835354487,0.22630087473492744,30
10,80,shapley_mean,7,0.177473252743773,0.12126921908198221,1.1874918679396311,0.2307576738830584,30
10,80,shapley_mean,8,0.17650691348662953,0.11943455556919255,1.190621691942215,0.2359463176308666,30
10,80,shapley_mean,9,0.17022251421750145,0.11634853115039456,1.1951346834500631,0.24065032200039269,30
10,80,shapley_mean,10,0.16087562407977157,0.1149665887092485,1.2011539439360301,0.24081236644356252,30
10,80,shapley_mean,11,0.14964794992608021,0.11528536410108853,1.2088806927204132,0.2528855597693959,30
