trait,method,n_train_size,pearson_r_mean,pearson_r_std,mse_adj_mean,mse_adj_std,n_evaluations,n_pcs,alpha,fit_time_total_seconds
body_mass,avggrm_diversity_lam0p5,2500,0.18319665193075993,0.10837378967528428,998.1850423177083,36.711541429664344,15,2500,89093.2,2.4017605999833904
body_mass,avggrm_diversity_lam0p5,3000,0.18592429234801597,0.11409473965662643,998.150927734375,36.7733949201653,15,2500,89093.2,2.5864077999722213
body_mass,avggrm_diversity_lam0p5,3500,0.18717204397229859,0.11576708556415477,998.0480794270833,36.78690337095861,15,2500,89093.2,2.9126519999990705
body_mass,avggrm_diversity_lam0p5,4000,0.1909147273200138,0.11521848317062745,997.9589965820312,36.79121182495085,15,2500,89093.2,3.1930626999237575
body_mass,avggrm_diversity_lam0p5,4500,0.19284663341989366,0.11779775101336698,997.860030110677,36.81867252349621,15,2500,89093.2,3.4196805999381468
body_mass,avggrm_diversity_lam1,500,0.15927836677305182,0.0819695432338242,998.3102579752605,37.25855607954395,15,2500,89093.2,0.1818749999802094
body_mass,avggrm_diversity_lam1,1000,0.18185962439765085,0.08889000877846674,998.262528483073,36.79945535748959,15,2500,89093.2,0.46819839999079704
body_mass,avggrm_diversity_lam1,1500,0.18093940641723674,0.09486892656514459,998.1776204427083,36.74520006237682,15,2500,89093.2,0.9230835000053048
body_mass,avggrm_diversity_lam1,2000,0.18051163156668554,0.10278599395417246,998.170821126302,36.7329235009509,15,2500,89093.2,1.5126516000309493
body_mass,avggrm_diversity_lam1,2500,0.18052374860308182,0.10947155851225786,998.1532674153646,36.72243937830927,15,2500,89093.2,2.4419426000094973
body_mass,avggrm_diversity_lam1,3000,0.18354322494379066,0.11256048717031776,998.1863321940104,36.69760729103283,15,2500,89093.2,2.7575310000393074
body_mass,avggrm_diversity_lam1,3500,0.1885134005428429,0.1155970573995319,998.1646036783854,36.80126460786027,15,2500,89093.2,3.009642400109442
body_mass,avggrm_diversity_lam1,4000,0.18842682466670163,0.1197311147945117,998.0321207682292,36.83489986059297,15,2500,89093.2,3.2315293999563437
body_mass,avggrm_diversity_lam1,4500,0.19100890644550095,0.11552350313588297,997.8310953776041,36.81764262991384,15,2500,89093.2,3.4394807999487966
body_mass,avggrm_diversity_lam2,500,0.15452439277624255,0.06381105591898625,999.0074300130208,36.996224502524385,15,2500,89093.2,0.18959710001945496
body_mass,avggrm_diversity_lam2,1000,0.17184034350199542,0.08335459395941598,998.276318359375,37.22637337348094,15,2500,89093.2,0.48253789998125285
body_mass,avggrm_diversity_lam2,1500,0.18274397658466157,0.09584759097291143,998.2641642252604,36.95830463865608,15,2500,89093.2,0.9585904000559822
body_mass,avggrm_diversity_lam2,2000,0.18120899533258808,0.0933659036597446,998.28662109375,36.78554608348053,15,2500,89093.2,1.4711185000196565
