ringnr,island,score,rank
8N13149,14,-0.000372494865587214,402
8P11635,2,-0.0003719053929671645,403
8794309,2,-0.0003705378530867165,404
8M71292,6,-0.0003695791783684399,405
8P26700,7,-0.0003694087081385078,406
8981090,11,-0.00036929639463778585,407
8N05610,14,-0.00036892694697598927,408
8N42987,14,-0.0003682091337395832,409
8L48607,6,-0.0003682040503463213,410
8N87267,8,-0.00036812113648920786,411
8747548,10,-0.00036811600512010045,412
8N13373,2,-0.0003680980789795285,413
8N06489,12,-0.00036804588489758316,414
8M31828,12,-0.0003673486880870769,415
8934066,5,-0.0003672608163469704,416
8N05464,5,-0.00036670687768491916,417
8N14166,5,-0.00036519093009701464,418
8N73450,11,-0.0003647373614512617,419
8N05649,11,-0.00036353018731460907,420
8800355,5,-0.0003626524321589386,421
8L30641,11,-0.000362435013812501,422
8L52588,7,-0.00036242960595700424,423
8N13692,13,-0.0003600200570872403,424
8N05275,13,-0.00035991045842820313,425
8N73459,11,-0.0003593408609958715,426
8M72566,11,-0.0003587831342883874,427
8800533,10,-0.0003585740960261319,428
8L89372,5,-0.00035842910256178584,429
8981801,5,-0.00035686059345607646,430
8747102,5,-0.0003564311336958781,431
8N06808,6,-0.00035591072628449183,432
8887451,5,-0.00035565485632105265,433
8747742,9,-0.00035534398739400785,434
8M72437,13,-0.00035455290526442695,435
8N27356,5,-0.00035367265627428424,436
8732620,7,-0.00035230463072366547,437
8N72043,2,-0.0003522899733070517,438
8P14585,8,-0.00035168129397789016,439
8118425,6,-0.00035153401768184267,440
8P11564,14,-0.00035039521208091173,441
8N14527,11,-0.0003502624105067298,442
8309155,6,-0.0003498522811469229,443
8N27078,14,-0.0003492349151201779,444
8934343,10,-0.000349015701431199,445
8N87890,13,-0.000348761788700358,446
8747817,7,-0.0003485490451566875,447
8981270,5,-0.0003484048061181966,448
8L30917,2,-0.00034748339021462016,449
8N87892,13,-0.0003474204277154058,450
8N73546,5,-0.0003473121687420644,451
8943023,5,-0.0003471004260973132,452
8L64113,12,-0.00034620697078935336,453
8L30300,5,-0.000346157030435279,454
8N73530,4,-0.00034577896985865664,455
8L30876,1,-0.00034453188891347963,456
8M71098,5,-0.0003441549815761391,457
8L52913,10,-0.0003434095533521031,458
8981002,5,-0.0003433928250160534,459
8L64265,2,-0.0003428141180847888,460
8L89615,4,-0.0003413337344682077,461
8N27879,5,-0.00034027078436338343,462
8N14541,11,-0.0003402072106837295,463
8730993,4,-0.0003399243087187642,464
8N73501,5,-0.00033854134653665824,465
8L64127,12,-0.00033851041007437743,466
8N05703,5,-0.00033825683749455493,467
8816942,4,-0.00033766004526114557,468
8L64011,11,-0.0003376587883394677,469
8N14972,7,-0.000336795992552652,470
8M71303,6,-0.00033647594409558224,471
8M71705,8,-0.0003359241618454689,472
8N73247,14,-0.0003352463900228031,473
8L64873,14,-0.0003333662734803511,474
8N87835,14,-0.0003329399543474665,475
8N05110,12,-0.00033229677592316875,476
8N14225,5,-0.0003318575836601667,477
8N73924,11,-0.00033177157092723064,478
8N87284,3,-0.00033151789989460667,479
8732687,5,-0.00033113730387412943,480
8732659,5,-0.00033065741627069656,481
8651783,3,-0.0003301612123323139,482
8N13618,14,-0.00033000173380060005,483
8N87620,15,-0.00032973689849313814,484
8N87950,13,-0.0003294210910098627,485
8L64182,7,-0.00032941813515208196,486
8N28403,9,-0.00032924960396485403,487
8L64755,13,-0.0003288854713900946,488
8887360,10,-0.0003279502446389415,489
8M31774,11,-0.00032713738255552016,490
8794339,9,-0.0003265550476498902,491
8981919,6,-0.0003261360561737092,492
8934414,8,-0.0003257244134147186,493
8N28285,2,-0.00032563072545599425,494
8N27096,8,-0.00032494027982465923,495
8981605,10,-0.0003246105770813301,496
8816930,4,-0.0003243011396989459,497
8M71258,5,-0.0003242495822632918,498
8N73643,13,-0.0003232840335840592,499
8N72668,4,-0.0003218132906113169,500
8N13426,2,-0.000320723691402236,501
8N14977,7,-0.0003201935003289691,502
8L30487,12,-0.00031970183954399545,503
8N42523,5,-0.0003181093961757142,504
8747623,5,-0.0003176835327849403,505
8N14543,11,-0.0003175663277943386,506
8N87560,11,-0.00031719681487629714,507
8168665,5,-0.0003157518804073334,508
8P11568,14,-0.0003156127731926972,509
8M71210,5,-0.00031494447193836095,510
8887324,6,-0.0003149361937175854,511
8N13680,13,-0.0003146965300402371,512
8N14662,13,-0.00031422347456100397,513
8N14958,5,-0.0003136680115858326,514
