n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
14,1,92,0.17941055138324105,1.0802407264709473,shapley_mean,-1,1,92,9,Sleneset,8,1764414415,10,0.05
13,2,351,0.11355943732583144,1.0654690265655518,shapley_mean,-1,2,351,9,Sleneset,8,1764414415,10,0.05
12,3,935,0.10653550928543733,1.0648934841156006,shapley_mean,-1,3,935,9,Sleneset,8,1764414415,10,0.05
11,4,1291,0.16218223019266997,1.0523951053619385,shapley_mean,-1,4,1291,9,Sleneset,8,1764414415,10,0.05
10,5,1688,0.12076278945064435,1.0607028007507324,shapley_mean,-1,5,1688,9,Sleneset,8,1764414415,10,0.05
9,6,2246,0.05598096081349072,1.0736932754516602,shapley_mean,-1,6,2246,9,Sleneset,8,1764414415,10,0.05
8,7,3324,0.08565878320574469,1.0704220533370972,shapley_mean,-1,7,3324,9,Sleneset,8,1764414415,10,0.05
7,8,3616,0.054775045263862884,1.0732698440551758,shapley_mean,-1,8,3616,9,Sleneset,8,1764414415,10,0.05
6,9,4199,0.060185385439285685,1.0691314935684204,shapley_mean,-1,9,4199,9,Sleneset,8,1764414415,10,0.05
5,10,4685,0.07291144405884664,1.0658905506134033,shapley_mean,-1,10,4685,9,Sleneset,8,1764414415,10,0.05
4,11,4887,0.06984536629301501,1.0674264430999756,shapley_mean,-1,11,4887,9,Sleneset,8,1764414415,10,0.05
3,12,5045,0.09321177557132948,1.0594309568405151,shapley_mean,-1,12,5045,9,Sleneset,8,1764414415,10,0.05
2,13,5164,0.10880752689612626,1.0541023015975952,shapley_mean,-1,13,5164,9,Sleneset,8,1764414415,10,0.05
1,14,5337,0.11802255078758177,1.0512882471084595,shapley_mean,-1,14,5337,9,Sleneset,8,1764414415,10,0.05
0,15,5531,0.1341420851409352,1.0465447902679443,shapley_mean,-1,15,5531,9,Sleneset,8,1764414415,10,0.05
14,1,92,0.009207593044641088,1.1355146169662476,random_individual,0,1,92,9,Sleneset,8,1764414415,10,0.05
13,2,351,0.1395168433187768,1.1011018753051758,random_individual,0,2,351,9,Sleneset,8,1764414415,10,0.05
12,3,935,0.09479352601290834,1.0710294246673584,random_individual,0,3,935,9,Sleneset,8,1764414415,10,0.05
11,4,1291,0.10545453970215217,1.0696532726287842,random_individual,0,4,1291,9,Sleneset,8,1764414415,10,0.05
10,5,1688,0.0803494015365448,1.0727375745773315,random_individual,0,5,1688,9,Sleneset,8,1764414415,10,0.05
9,6,2246,0.07590184797019704,1.0743458271026611,random_individual,0,6,2246,9,Sleneset,8,1764414415,10,0.05
8,7,3324,0.11024532069985085,1.0589637756347656,random_individual,0,7,3324,9,Sleneset,8,1764414415,10,0.05
7,8,3616,0.11602044294882576,1.0592235326766968,random_individual,0,8,3616,9,Sleneset,8,1764414415,10,0.05
6,9,4199,0.16633769502089993,1.0407698154449463,random_individual,0,9,4199,9,Sleneset,8,1764414415,10,0.05
5,10,4685,0.1615526651948045,1.0407346487045288,random_individual,0,10,4685,9,Sleneset,8,1764414415,10,0.05
4,11,4887,0.16936877398860622,1.037541389465332,random_individual,0,11,4887,9,Sleneset,8,1764414415,10,0.05
3,12,5045,0.14799929632162587,1.0435341596603394,random_individual,0,12,5045,9,Sleneset,8,1764414415,10,0.05
2,13,5164,0.14584026479254597,1.0444636344909668,random_individual,0,13,5164,9,Sleneset,8,1764414415,10,0.05
1,14,5337,0.1321834663643065,1.0483719110488892,random_individual,0,14,5337,9,Sleneset,8,1764414415,10,0.05
0,15,5531,0.1341420851409352,1.0465447902679443,random_individual,0,15,5531,9,Sleneset,8,1764414415,10,0.05
14,1,92,0.006890198512263669,1.1555596590042114,random_individual,1,1,92,9,Sleneset,8,1764414415,10,0.05
13,2,351,0.009239393298711294,1.0798615217208862,random_individual,1,2,351,9,Sleneset,8,1764414415,10,0.05
12,3,935,0.07001933534590432,1.068504810333252,random_individual,1,3,935,9,Sleneset,8,1764414415,10,0.05
11,4,1291,0.06815841188246152,1.068538784980774,random_individual,1,4,1291,9,Sleneset,8,1764414415,10,0.05
10,5,1688,0.09328274075398829,1.0635998249053955,random_individual,1,5,1688,9,Sleneset,8,1764414415,10,0.05
9,6,2246,0.07514457945434914,1.0676497220993042,random_individual,1,6,2246,9,Sleneset,8,1764414415,10,0.05
8,7,3324,0.11289136295473182,1.05907142162323,random_individual,1,7,3324,9,Sleneset,8,1764414415,10,0.05
7,8,3616,0.133476073007244,1.053242564201355,random_individual,1,8,3616,9,Sleneset,8,1764414415,10,0.05
6,9,4199,0.15320139264873134,1.0472514629364014,random_individual,1,9,4199,9,Sleneset,8,1764414415,10,0.05
5,10,4685,0.16940431113578516,1.0411348342895508,random_individual,1,10,4685,9,Sleneset,8,1764414415,10,0.05
4,11,4887,0.16851839358672083,1.0401124954223633,random_individual,1,11,4887,9,Sleneset,8,1764414415,10,0.05
3,12,5045,0.14609525162947515,1.047153115272522,random_individual,1,12,5045,9,Sleneset,8,1764414415,10,0.05
2,13,5164,0.1456581153684512,1.0473577976226807,random_individual,1,13,5164,9,Sleneset,8,1764414415,10,0.05
1,14,5337,0.13785517595185587,1.0466653108596802,random_individual,1,14,5337,9,Sleneset,8,1764414415,10,0.05
0,15,5531,0.1341420851409352,1.0465447902679443,random_individual,1,15,5531,9,Sleneset,8,1764414415,10,0.05
14,1,92,0.005340119884731336,1.082948088645935,random_individual,2,1,92,9,Sleneset,8,1764414415,10,0.05
13,2,351,0.07477289778676914,1.068711519241333,random_individual,2,2,351,9,Sleneset,8,1764414415,10,0.05
12,3,935,0.062148969719437994,1.0712164640426636,random_individual,2,3,935,9,Sleneset,8,1764414415,10,0.05
11,4,1291,0.03225752367726126,1.0772684812545776,random_individual,2,4,1291,9,Sleneset,8,1764414415,10,0.05
10,5,1688,0.06278163807545656,1.0700827836990356,random_individual,2,5,1688,9,Sleneset,8,1764414415,10,0.05
9,6,2246,0.055785963883179905,1.0710035562515259,random_individual,2,6,2246,9,Sleneset,8,1764414415,10,0.05
8,7,3324,0.057758479286999745,1.0734448432922363,random_individual,2,7,3324,9,Sleneset,8,1764414415,10,0.05
7,8,3616,0.10256432649023468,1.0604286193847656,random_individual,2,8,3616,9,Sleneset,8,1764414415,10,0.05
6,9,4199,0.13662261695657604,1.0463660955429077,random_individual,2,9,4199,9,Sleneset,8,1764414415,10,0.05
5,10,4685,0.18587532972914703,1.0313258171081543,random_individual,2,10,4685,9,Sleneset,8,1764414415,10,0.05
4,11,4887,0.16334747956240672,1.0392390489578247,random_individual,2,11,4887,9,Sleneset,8,1764414415,10,0.05
3,12,5045,0.12843750698009865,1.0493727922439575,random_individual,2,12,5045,9,Sleneset,8,1764414415,10,0.05
2,13,5164,0.15174758951744313,1.0421578884124756,random_individual,2,13,5164,9,Sleneset,8,1764414415,10,0.05
1,14,5337,0.12689071868972715,1.0494476556777954,random_individual,2,14,5337,9,Sleneset,8,1764414415,10,0.05
0,15,5531,0.1341420851409352,1.0465447902679443,random_individual,2,15,5531,9,Sleneset,8,1764414415,10,0.05
14,1,92,0.030297448030981736,1.0848164558410645,random_individual,3,1,92,9,Sleneset,8,1764414415,10,0.05
13,2,351,0.28235613581456187,1.0634260177612305,random_individual,3,2,351,9,Sleneset,8,1764414415,10,0.05
12,3,935,0.24831992005123782,1.0424470901489258,random_individual,3,3,935,9,Sleneset,8,1764414415,10,0.05
11,4,1291,0.18023082701253107,1.0503734350204468,random_individual,3,4,1291,9,Sleneset,8,1764414415,10,0.05
10,5,1688,0.16668040111400556,1.0475724935531616,random_individual,3,5,1688,9,Sleneset,8,1764414415,10,0.05
9,6,2246,0.1805723478345746,1.0398814678192139,random_individual,3,6,2246,9,Sleneset,8,1764414415,10,0.05
8,7,3324,0.18230681824630512,1.037044882774353,random_individual,3,7,3324,9,Sleneset,8,1764414415,10,0.05
7,8,3616,0.20954662259447215,1.028163194656372,random_individual,3,8,3616,9,Sleneset,8,1764414415,10,0.05
6,9,4199,0.14927202876950965,1.0439640283584595,random_individual,3,9,4199,9,Sleneset,8,1764414415,10,0.05
5,10,4685,0.15719306742829015,1.0409661531448364,random_individual,3,10,4685,9,Sleneset,8,1764414415,10,0.05
4,11,4887,0.15329526436179255,1.0412800312042236,random_individual,3,11,4887,9,Sleneset,8,1764414415,10,0.05
3,12,5045,0.15032160360130836,1.041770339012146,random_individual,3,12,5045,9,Sleneset,8,1764414415,10,0.05
2,13,5164,0.13973365244133729,1.0449414253234863,random_individual,3,13,5164,9,Sleneset,8,1764414415,10,0.05
1,14,5337,0.15367406524981933,1.040175437927246,random_individual,3,14,5337,9,Sleneset,8,1764414415,10,0.05
0,15,5531,0.1341420851409352,1.0465447902679443,random_individual,3,15,5531,9,Sleneset,8,1764414415,10,0.05
14,1,92,-0.08072043035229698,1.0819363594055176,random_individual,4,1,92,9,Sleneset,8,1764414415,10,0.05
13,2,351,0.02834085993177832,1.0825703144073486,random_individual,4,2,351,9,Sleneset,8,1764414415,10,0.05
12,3,935,0.06172892124560598,1.0793925523757935,random_individual,4,3,935,9,Sleneset,8,1764414415,10,0.05
11,4,1291,0.08971762076191737,1.065424919128418,random_individual,4,4,1291,9,Sleneset,8,1764414415,10,0.05
